Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,2.320951,-0.054069,1.196130,0.321126,0.445985,0.446183,0.446078,-0.179045,0.695941,-0.429064,-0.429091,0.321096,-1.178906,-1.303890,0.196085,-1.303909,0.196097,-0.428914,-1.054093,0.695952,-1.053718,0.133627,0.000000
0.004000,2.667781,-0.082416,1.417599,0.542508,0.792504,0.542683,0.292583,-0.582444,0.667558,-0.082401,-0.457356,0.542608,-1.707444,-1.332481,0.542737,-1.582354,0.042554,-0.332344,-1.332281,1.042771,-1.582537,-0.019792,0.000000
0.008000,2.997250,-0.127672,1.497194,0.872107,1.372120,0.622153,0.122358,-0.877934,0.497260,0.372338,-0.627789,0.747232,-2.127849,-1.252834,0.872306,-1.877858,-0.252796,-0.377905,-1.628004,1.497349,-2.127650,-0.190360,0.000000
0.012000,3.196116,-0.054069,1.571017,1.195939,1.945869,0.695947,-0.054140,-1.053917,0.321000,0.571160,-0.678948,0.945965,-2.428987,-1.179022,0.945979,-2.053958,-0.554013,-0.428914,-1.929077,1.946044,-2.553964,-0.366490,0.000000
0.016000,-1.468931,0.781416,-1.718810,-1.343902,-2.593675,-0.093553,-0.843781,-0.343682,0.781329,0.656296,0.531330,-2.093741,1.906210,0.031142,-0.718594,1.906266,0.781319,0.781186,2.781390,-2.343767,2.781527,-0.156292,1.000000
0.020000,-0.485653,0.764010,-1.235771,-0.860764,-2.110661,-0.360819,-0.985984,-0.610682,0.639175,0.514062,0.389160,-2.110826,1.514261,-0.235806,-0.360908,1.889209,0.514135,0.639302,2.639324,-1.735823,2.014057,-0.423268,0.000000
0.024000,0.406084,0.531268,-0.843872,-0.468815,-1.593622,-0.593553,-0.968836,-0.718844,0.531368,0.406495,0.156262,-1.968846,1.156211,-0.593779,-0.218902,1.906266,0.406166,0.531341,2.406313,-1.218721,1.406390,-0.656177,0.000000
0.028000,0.923370,0.298526,-0.451669,-0.076591,-1.201736,-0.951642,-0.826633,-0.701699,0.298341,0.298418,0.173221,-1.826670,0.798409,-0.701725,0.048384,1.798396,0.298393,0.423380,2.173301,-0.951712,0.923304,-0.764172,0.000000
0.032000,1.298215,0.048377,-0.201643,0.048383,-0.951820,-1.326761,-0.701579,-0.701699,0.048380,0.048107,0.048293,-1.451788,0.548244,-0.701725,0.298230,1.673227,0.423379,0.423380,2.048176,-0.701620,0.548506,-0.764172,0.000000
0.036000,1.411853,-0.338035,0.162003,0.161820,-0.713247,-1.587877,-0.588235,-0.587991,-0.088049,-0.088009,0.036987,-1.088099,0.411903,-0.713103,0.537043,1.411839,0.412034,0.411990,1.786929,-0.587975,0.286725,-0.650615,0.000000
0.040000,1.252839,-0.872149,0.377699,0.252734,-0.622120,-1.747291,-0.372004,-0.372172,-0.122157,-0.247066,0.002787,-0.747190,0.377756,-0.622078,0.752722,1.127867,0.627776,0.377819,1.502797,-0.622179,0.127975,-0.434624,0.000000
0.044000,1.020041,-1.230214,0.519876,0.269764,-0.480149,-1.855144,-0.230220,-0.230226,-0.105222,-0.355143,0.020028,-0.355027,0.519789,-0.605157,0.769805,0.769900,0.769975,0.394905,1.144957,-0.605261,0.019688,-0.167648,0.000000
