Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,0.596620,-0.903003,-0.403015,-0.277982,1.471844,-0.528017,-0.278018,-0.778033,0.346846,0.221958,-0.528322,-0.152973,-0.028113,-0.653054,-0.028216,1.346958,-0.277974,1.472008,-0.652995,0.033334,0.000000
0.004000,0.365940,-0.884435,0.240436,0.115501,1.365385,-0.759508,-0.634465,-0.634410,0.240729,0.365716,-0.259239,-0.134147,0.240630,-0.509406,0.240674,-0.259111,-0.134308,1.240887,-0.384495,0.177870,0.000000
0.008000,0.022263,-0.727784,0.772095,0.521841,1.146687,-0.728203,-0.978164,-0.478271,0.021996,0.646729,-0.103213,-0.102964,0.521896,-0.353171,0.521762,-1.603211,0.022075,0.647184,-0.103066,0.333715,0.000000
0.012000,-0.203209,-0.702801,1.171815,0.796889,0.796961,-0.703077,-1.203211,-0.453236,-0.078244,0.796990,0.296890,-0.078254,0.796732,-0.203229,0.671852,-2.578143,0.296687,-0.077983,0.171898,0.483906,0.000000
0.016000,-0.215706,-0.590715,1.409697,0.909480,0.409181,-0.465407,-1.340495,-0.465753,-0.465590,0.909259,0.534275,0.034119,0.784209,-0.090680,0.909451,-3.090664,0.534560,-0.840610,0.534352,0.597838,0.000000
0.020000,-0.240701,-0.490445,1.509789,0.884546,0.009357,-0.115700,-1.365500,-0.615634,-0.740630,0.884272,0.884364,0.009409,0.759500,0.134418,1.009158,-3.115402,0.759243,-1.615959,0.759322,0.697965,0.000000
0.024000,-0.052720,-0.428325,1.321953,0.696765,-0.428040,0.196936,-1.303232,-0.803068,-1.053105,0.946910,1.071736,-0.052956,0.571990,0.196986,1.071740,-2.553405,0.946714,-2.053462,0.946798,0.759172,0.000000
0.028000,0.209723,-0.290581,1.084721,0.459507,-0.915536,0.584539,-1.290484,-1.165747,-1.415700,0.959574,1.334480,-0.040600,0.334724,0.334340,1.084468,-1.790332,1.084256,-2.290944,0.959297,0.773144,0.000000
0.032000,0.584122,-0.290581,0.709050,0.209392,-1.165546,0.959372,-1.165458,-1.415769,-1.665681,0.959574,1.334480,-0.040600,0.084597,0.334340,1.084468,-1.040579,1.084256,-2.290944,0.959297,0.773144,0.000000
0.036000,0.727841,-0.146759,-1.896601,-2.522004,2.102891,0.853101,0.227970,-2.771946,-0.271917,0.353394,0.103178,-0.021773,-2.271812,-3.521940,-0.021852,10.978296,0.478036,-0.646949,-2.146768,0.414382,1.000000
0.040000,1.534439,0.159452,-2.090286,-2.340457,2.659272,0.909532,0.159328,-3.465681,-0.090619,0.159320,-0.215565,-0.590699,-2.965670,-3.965842,-0.465759,12.784806,0.159146,0.159498,-2.590676,0.097202,0.000000
0.044000,1.984343,0.359654,-2.015542,-2.140598,2.984430,0.984498,0.109318,-3.890619,0.109241,-0.140518,-0.640674,-1.015481,-3.515341,-4.265725,-0.765409,13.734366,-0.015608,1.109424,-2.765654,-0.203179,0.000000
0.048000,2.384257,0.384637,-1.990844,-1.740492,3.009479,1.009625,0.134323,-4.115605,0.384282,-0.365739,-0.865732,-1.240815,-3.865654,-4.365687,-0.865646,13.634780,-0.240762,1.884067,-2.740657,-0.428382,0.000000
0.052000,2.409773,0.409620,-1.840705,-1.340776,2.784518,1.034339,0.034302,-3.965724,0.534332,-0.465686,-0.965758,-1.465561,-3.965502,-4.215745,-0.965883,12.409296,-0.215797,2.534314,-2.215725,-0.528509,0.000000
0.056000,2.278030,0.278290,-1.721765,-0.721722,2.278235,1.028160,-0.221634,-3.596786,0.778124,-0.346914,-0.971745,-1.472033,-3.721806,-3.846999,-0.847084,10.153061,-0.097097,2.653054,-1.346871,-0.534164,0.000000
0.060000,1.946851,0.071674,-1.552777,-0.053190,1.696805,0.947015,-0.553075,-3.053261,0.821747,-0.178169,-0.678008,-1.427907,-3.428355,-3.178000,-0.428103,6.947266,0.072004,2.446672,-0.053073,-0.364513,0.000000
0.064000,1.609423,-0.265598,-1.265499,0.609498,0.859584,0.984498,-0.890401,-2.265644,0.859492,0.109347,-0.390610,-1.265525,-3.015425,-2.390528,0.109146,3.234659,0.484159,1.609125,1.359245,-0.077937,0.000000
0.068000,1.209509,-0.540749,-1.040617,1.209462,0.084505,0.959372,-1.290484,-1.540615,0.709442,0.584091,0.084512,-1.040779,-2.415661,-1.540488,0.584344,-0.540744,0.834137,0.584279,2.834486,0.272508,0.000000
0.072000,0.972060,-0.903003,-0.902827,1.721769,-0.528237,0.971729,-1.778331,-0.903208,0.596827,0.971896,0.596967,-0.778379,-1.903221,-0.653054,1.221830,-4.153130,1.221798,-0.653310,4.221807,0.659045,0.000000
0.076000,0.822092,-1.052902,-0.677944,2.072008,-1.053306,1.071822,-2.053388,-0.428200,0.321786,1.322050,0.946704,-0.678362,-1.428013,0.071849,1.697028,-7.053188,1.446952,-1.678156,5.322096,1.009490,0.000000
0.080000,0.809595,-1.315562,-0.565503,2.309267,-1.315841,1.059465,-2.315698,0.059325,0.059431,1.559593,1.309473,-0.565400,-0.940620,0.809341,1.934627,-9.190808,1.684353,-2.565885,5.934517,1.246003,0.000000
0.084000,1.009552,-1.240612,-0.365318,2.259400,-1.365458,1.009625,-2.365708,0.259276,-0.115679,1.634553,1.509525,-0.490681,-0.615692,1.259536,2.134571,-10.365547,1.634423,-2.990666,5.884523,1.321015,0.000000
0.088000,1.290742,-1.209215,-0.209330,2.165509,-1.334628,0.915710,-2.334329,0.415745,-0.084431,1.540426,1.415486,-0.459499,-0.209531,1.540538,2.040698,-10.459424,1.415393,-3.084669,5.415618,1.229204,0.000000
0.092000,1.509445,-1.115697,0.009703,1.884227,-1.115448,0.759598,-1.990630,0.509298,-0.115679,1.259412,1.259461,-0.365364,0.259246,1.884479,1.634446,-9.865712,1.134186,-2.865564,4.384286,0.945622,0.000000
0.096000,1.690656,-0.809148,0.315830,1.565545,-0.934323,0.440784,-1.684194,0.565627,0.065619,0.940406,0.815685,-0.309472,0.815686,2.065520,1.190539,-8.684629,0.690472,-2.309320,3.065490,0.503366,0.000000
0.100000,1.640667,-0.484368,0.640805,1.265563,-0.734411,0.140505,-1.109564,0.640732,0.390779,0.390702,0.390576,-0.109436,1.390742,2.140676,0.640562,-7.109642,0.140775,-1.734700,1.515690,-0.047333,0.000000
0.104000,1.559434,-0.190649,0.933933,0.934414,-0.690575,-0.190667,-0.565823,0.934235,0.684382,-0.190834,-0.190559,0.059418,2.059553,2.434265,-0.065871,-5.440776,-0.315656,-1.190471,0.059413,-0.628636,0.000000
0.108000,1.359477,0.109486,1.234210,0.734555,-0.640477,-0.515660,-0.015709,1.359502,0.984482,-0.640591,-0.765706,0.234155,2.609224,2.609382,-0.640776,-3.890527,-0.765494,-0.890792,-1.265847,-1.204450,0.000000
0.112000,1.009552,0.259384,1.509789,0.759489,-0.740673,-0.865779,0.384375,1.759405,1.134532,-1.115336,-1.115796,0.509498,3.134525,2.884461,-1.115443,-2.490608,-1.240767,-0.740952,-2.240721,-1.677309,0.000000
0.116000,0.540902,0.540612,1.790567,0.790656,-0.834608,-1.084501,0.790832,2.040720,1.165779,-1.459328,-1.459546,0.790725,3.415791,3.040696,-1.459643,-1.459223,-1.459327,-0.834249,-2.834610,-2.022099,0.000000
0.120000,0.147237,0.771874,2.021950,0.897013,-0.853395,-1.353063,1.021763,2.396811,1.021917,-1.728362,-1.728277,1.021943,3.646964,3.021815,-1.603370,-0.727865,-1.602992,-1.102829,-3.103110,-2.166801,0.000000
0.124000,-0.228204,0.896790,2.146740,1.022071,-0.728149,-1.478282,1.146789,2.646833,0.646947,-1.728362,-1.728277,1.146671,3.522070,2.897048,-1.728003,-0.228030,-1.728287,-1.353033,-2.978126,-2.166801,0.000000
0.128000,-0.578129,1.047026,2.296879,1.172062,-0.578335,-1.577963,1.296820,2.671868,0.296727,-1.703033,-1.578239,1.171970,3.296989,2.546814,-1.703076,0.172218,-1.828146,-1.578499,-2.828146,-2.016611,0.000000
0.132000,-0.815578,1.184095,2.309878,1.184529,-0.065790,-1.565606,1.184542,2.559539,-0.190549,-1.565778,-1.440527,1.059597,2.809596,2.059226,-1.565714,0.434188,-1.815899,-1.565777,-2.440696,-1.752322,0.000000
0.136000,-0.984292,1.265459,2.265681,1.140505,0.390394,-1.484461,1.015879,2.265707,-0.609452,-1.359382,-1.109456,0.890743,2.266018,1.390596,-1.359406,0.640972,-1.734410,-1.234292,-2.234257,-1.421337,0.000000
0.140000,-1.015535,1.359314,2.234484,0.984281,0.984349,-1.390546,0.984500,1.734370,-1.015670,-1.140665,-0.890738,0.609516,1.609392,0.859321,-1.265534,0.859174,-1.640675,-0.765690,-2.015750,-1.079208,0.000000
0.144000,-1.202995,1.296856,2.046648,0.796889,1.546992,-1.203129,0.671690,1.296915,-1.203155,-0.953437,-0.577982,0.297107,0.921965,0.296947,-1.078318,1.171888,-1.453203,0.047119,-1.953258,-0.765022,0.000000
0.148000,-1.302973,1.196924,1.822415,0.447040,1.946815,-1.178003,0.571669,0.696731,-1.303085,-0.803175,-0.303264,0.071773,0.446757,-0.178054,-0.928228,1.572137,-1.302943,0.946863,-1.928262,-0.489589,0.000000
0.152000,-1.459711,1.040611,1.540987,0.165758,2.040750,-1.084501,0.290728,0.290570,-1.334333,-0.584457,-0.209226,-0.209454,0.040596,-0.334289,-0.709191,1.915932,-1.084384,1.790770,-1.834308,-0.272702,0.000000
0.156000,-1.740900,0.884636,1.134118,-0.240581,2.009438,-0.990586,0.009297,-0.115591,-1.365580,-0.365739,0.009492,-0.490681,-0.240670,-0.240622,-0.490685,2.384686,-0.740529,2.509576,-1.865770,-0.052988,0.000000
0.160000,-1.902845,0.471740,0.596609,-0.653154,1.597090,-0.903263,-0.278018,-0.277990,-1.278026,-0.153183,0.221871,-0.528335,-0.403134,-0.028112,-0.278013,2.722138,-0.403269,2.971817,-1.653297,0.158410,0.000000
0.164000,-2.034067,0.090917,0.090947,-0.909503,1.090808,-0.909441,-0.534444,-0.534270,-1.284523,0.090864,0.340563,-0.659535,-0.534460,0.340634,-0.034580,3.090671,0.090375,3.215659,-1.409363,0.403239,0.000000
0.168000,-2.122069,-0.247029,-0.496608,-1.371943,0.377869,-0.746739,-0.746743,-0.746739,-1.496758,0.378038,0.627961,-0.621881,-0.621784,0.628300,0.378036,3.502972,0.503000,3.128017,-0.996916,0.689649,0.000000
0.172000,-1.928360,-0.428325,0.196889,2.197066,1.572041,-1.053196,-0.803128,1.196774,-1.053105,-0.428035,-0.678008,-1.427907,-0.427843,1.321734,-0.428103,1.697096,-0.178115,-0.427844,1.446734,-0.364513,0.000000
0.176000,-3.340558,-0.590715,-0.215829,1.784493,0.409181,-0.590627,-1.215469,1.409243,-1.715800,0.034387,-0.090533,-0.465382,0.284292,2.409460,0.034366,0.659367,0.284441,-0.965712,1.784190,0.097202,0.000000
0.180000,-4.471565,-0.971876,-0.846931,1.152972,-0.471876,-0.221972,-1.471895,1.402984,-2.221949,0.528299,0.528287,0.653053,0.778116,3.403148,0.528126,-0.096728,0.902908,-1.721977,2.028124,0.589522,0.000000
0.184000,-5.103201,-1.353036,-1.478683,0.271726,-1.228169,0.147095,-1.728321,1.147034,-2.728097,1.021869,1.146756,1.522032,1.147045,4.146933,1.147050,-0.477948,1.521846,-2.353141,2.147074,1.084669,0.000000
0.188000,-5.190682,-1.815898,-2.191029,-0.690555,-1.815861,0.559412,-1.815594,0.934235,-3.065632,1.309386,1.684217,2.309232,1.434404,4.559366,1.559136,-0.440523,2.059296,-3.190688,2.309553,1.496321,0.000000
0.192000,-4.728281,-2.353034,-2.853328,-1.728026,-2.478220,0.896763,-1.603294,0.521815,-3.103067,1.646875,2.147012,2.896984,1.521729,4.771876,1.896972,-0.228030,2.646675,-3.978052,2.272058,1.835622,0.000000
0.196000,-4.146635,-2.646753,-3.396687,-2.522004,-3.146840,1.103127,-1.396879,0.227982,-2.897019,1.853271,2.353051,3.102903,1.478066,4.853326,2.227913,0.103079,2.978283,-4.522280,2.353082,2.041365,0.000000
0.200000,-3.315563,-2.815558,-3.565674,-3.315594,-4.065471,1.309492,-1.065437,-0.065521,-2.565672,2.059324,2.559442,3.059366,1.309510,4.809269,2.434221,0.559147,3.059301,-4.815598,2.309553,2.122032,0.000000
0.204000,-2.484491,-2.734532,-3.484430,-3.609342,-4.859337,1.515856,-0.734486,-0.234508,-1.984344,2.015512,2.515768,2.640468,1.140615,4.640816,2.390732,0.765931,3.140790,-4.859419,2.140610,2.077623,0.000000
0.208000,-1.627904,-2.378017,-3.128257,-3.753100,-5.503391,1.622128,-0.503065,-0.378130,-1.378265,1.871754,2.372070,1.996823,0.871872,4.372031,2.247006,0.871861,2.871829,-4.378095,1.997094,1.935749,0.000000
0.212000,-0.991061,-1.865864,-2.490656,-3.490518,-6.115651,1.634485,-0.240755,-0.490788,-0.865620,1.759486,2.134333,1.259632,0.634268,4.134346,2.009407,0.634629,2.509604,-3.490367,1.634210,1.696575,0.000000
