Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,0.821114,-1.554169,0.070911,0.696037,-0.929117,1.446147,0.571035,0.570994,-0.803933,-0.178978,-0.679132,-1.929019,0.071135,-0.678762,0.695961,0.071058,0.696052,0.821064,0.320928,-0.553719,0.196107,0.258654
0.004000,2.258608,-3.866361,0.758761,1.383634,-2.991488,3.883659,2.008527,0.883627,-1.241539,0.008548,-1.116574,-3.241589,-0.366344,-0.491683,0.883430,0.008598,0.633587,1.258732,1.008654,-2.991681,0.883441,0.445757
0.008000,3.667576,-5.707272,1.417649,1.917783,-4.582477,5.917557,3.417724,1.167646,-1.707411,0.042700,-1.457371,-4.082465,-0.707252,-0.457416,0.792516,-0.082456,0.542647,1.292546,1.542679,-4.957502,1.417509,0.605264
0.012000,4.758645,-6.866330,1.883270,2.258658,-5.741716,7.633708,4.633620,1.383609,-2.116401,0.008548,-1.741369,-4.491589,-1.241608,-0.491683,0.633583,-0.116525,0.383547,1.133464,1.883457,-6.366770,1.883499,0.695780
0.016000,5.502914,-7.372251,2.127777,2.127861,-6.247325,8.628102,5.502976,1.377808,-2.622055,0.002960,-1.622259,-4.372223,-1.747145,-0.497240,0.377763,-0.122203,0.377852,0.627784,2.127751,-6.997006,2.127779,0.690261
0.020000,5.644787,-6.980276,2.019726,1.769814,-6.230211,9.020241,6.020032,1.019933,-2.855165,0.144846,-1.230173,-3.855276,-2.229996,-0.480106,0.019748,-0.105169,0.269826,-0.104992,2.269952,-6.980552,2.269760,0.582635
0.024000,5.122335,-6.127960,1.622054,1.122041,-5.752825,8.872249,6.122192,0.372239,-2.877848,0.497233,-0.502799,-2.877948,-2.627927,-0.377768,-0.377752,0.122161,0.247228,-0.877730,2.247233,-6.627878,2.372060,0.309431
0.028000,4.179144,-4.821228,0.803875,0.304012,-4.946071,8.178983,5.803945,-0.571075,-2.696036,1.179033,0.428883,-1.820965,-3.070924,-0.071218,-0.570861,0.553906,0.179069,-1.696195,2.303889,-5.820947,2.303981,-0.133766
0.032000,2.735645,-3.389155,-0.139064,-0.389065,-3.889215,7.236030,5.235809,-1.639287,-2.014153,1.985954,1.360989,-0.889121,-3.514227,0.360824,-0.639213,0.985853,0.110726,-2.514275,2.360826,-4.764354,2.110669,-0.701698
0.036000,1.065451,-1.934748,-1.184485,-1.059490,-2.809841,6.065549,4.315374,-2.809777,-0.934796,2.940349,2.440181,-0.184697,-3.934844,1.065149,-0.559580,1.565433,-0.059581,-3.059534,2.315389,-3.810058,1.940291,-1.372289
