Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-1.434550,-0.184601,-0.184736,0.315303,-0.309813,1.565212,2.065458,-0.184643,-1.809809,0.815506,-0.934673,-0.184665,-0.934779,-0.809719,-1.934651,0.440278,1.690461,-0.184604,1.065387,-3.809423,3.440558,1.502715,0.000000
0.004000,-4.497208,1.252661,-1.872018,-3.872245,-1.496812,4.877969,5.377830,-1.372047,-3.372350,2.127797,-1.247110,-1.997272,-1.497263,0.877814,-1.497205,1.877918,1.752885,2.753237,3.752759,-10.872395,6.377788,2.565336,0.000000
0.008000,-6.900563,2.474314,-3.150561,-7.525761,-2.400149,7.599518,8.099703,-2.150594,-4.525787,3.224557,-1.400522,-3.775589,-2.025688,2.474624,-1.025662,3.099492,1.599426,5.349328,5.849573,-16.775855,8.599714,3.286903,0.000000
0.012000,-8.554191,3.570954,-4.053903,-10.304252,-3.054093,9.446129,9.946292,-2.804033,-5.304245,4.196200,-1.428998,-5.053967,-2.429232,3.821137,-0.428969,3.946070,1.071161,7.446054,7.320967,-20.929131,9.946259,3.633593,0.000000
0.016000,-9.480264,4.395016,-4.355316,-12.105199,-3.605234,10.270108,10.769871,-3.105251,-5.480111,4.895006,-1.355200,-6.105148,-2.480148,4.769971,0.270015,4.394978,0.394898,8.894894,8.019904,-23.105125,10.520114,3.582295,0.000000
0.020000,-9.593901,4.781134,-4.343688,-12.843900,-3.844157,10.156530,10.406298,-3.093698,-5.093882,5.281180,-1.093699,-6.468978,-2.343913,5.281323,0.781079,4.531237,-0.343789,9.656444,8.156240,-23.344233,10.156169,3.218692,0.000000
0.024000,-9.042692,4.707550,-4.042723,-12.792642,-4.043101,9.082507,9.332404,-2.792762,-4.542661,5.332436,-0.792692,-6.417676,-1.917664,5.332602,1.332439,4.457553,-1.042680,9.957276,7.832486,-21.918318,9.332637,2.644821,0.000000
0.028000,-8.326917,4.298486,-3.701958,-12.076843,-4.076417,7.423321,7.423441,-2.326704,-3.576714,5.173255,-0.326642,-5.826910,-1.326626,5.173387,1.798170,4.173245,-1.451819,9.548085,7.173240,-19.327434,8.173350,1.985827,0.000000
0.032000,-7.315616,3.559877,-3.440346,-10.815380,-4.064994,5.434630,5.184553,-1.940389,-2.690261,4.809685,0.184729,-4.815515,-0.440412,4.559836,2.059707,3.809810,-1.690332,8.935055,6.559901,-16.190641,6.934528,1.372213,0.000000
0.036000,-6.508723,2.616339,-3.383552,-9.633531,-4.133530,3.491716,2.991626,-1.383600,-2.008548,4.241407,0.741422,-3.633460,0.491556,3.866678,2.241428,3.491494,-1.508521,8.116673,5.991431,-12.759056,5.741514,0.928844,0.000000
0.040000,-5.866397,1.633637,-3.616542,-8.491671,-3.991699,1.883489,1.008388,-0.991368,-1.491451,3.508536,1.258609,-2.366598,1.383618,3.133716,2.258476,3.133501,-1.116549,7.258887,5.633506,-9.741271,4.883752,0.696025,0.000000
0.044000,-5.508509,0.616516,-4.133505,-7.633731,-4.008833,0.741665,-0.508688,-0.883448,-1.258589,2.741600,1.741503,-1.133502,2.241621,2.491478,2.366578,2.991573,-0.383584,6.366244,5.491648,-7.258477,4.241438,0.679114,0.000000
0.048000,-5.338053,-0.213085,-4.713075,-7.088066,-3.838446,0.036878,-1.463169,-0.838082,-1.338084,1.911947,2.036895,0.037036,2.911785,1.911994,2.287148,2.911994,0.412065,5.662284,5.411917,-5.337969,3.786884,0.849359,0.000000
0.052000,-5.212983,-0.838154,-5.338259,-6.713263,-3.712797,-0.087928,-1.838232,-0.963190,-1.588196,1.037086,2.286966,1.036914,3.412000,1.412116,2.287148,2.911994,1.287045,4.912100,5.286971,-3.963370,3.287026,1.099370,0.000000
0.056000,-4.951756,-1.326736,-5.826601,-6.326826,-3.326332,0.173344,-1.701585,-1.201854,-1.951551,0.173368,2.298397,1.798339,3.548235,0.923356,2.423148,2.798407,2.048360,4.298313,4.923523,-2.951254,2.798243,1.360938,0.000000
0.060000,-6.105104,-0.855165,-0.980303,-7.105152,-7.980092,-2.355166,0.394910,2.269908,-1.354958,4.645091,1.144904,0.894785,2.770046,0.394791,-0.730028,3.644984,1.019921,2.269785,5.769842,-9.604794,9.020037,2.832541,1.000000
0.064000,-6.974358,-0.724613,-2.099643,-7.974362,-7.724987,-0.974526,0.900465,1.275520,-2.474648,5.400566,1.650660,1.025659,2.025572,-0.349287,-0.724603,4.150572,1.650666,3.025274,6.525731,-10.349414,9.650774,3.088190,0.000000
0.068000,-7.394954,-0.520081,-3.394732,-8.394971,-7.019641,0.605199,1.355137,0.105023,-3.520092,5.730071,2.230214,1.105230,1.230182,-0.894705,-0.520023,4.355075,2.230171,3.855022,6.730062,-10.395270,9.480128,3.042528,0.000000
0.072000,-7.338136,-0.338099,-4.338322,-8.338260,-5.712705,2.036797,1.662081,-1.213125,-4.213054,5.787058,2.786907,1.036914,0.411742,-1.337925,-0.337915,4.287059,2.537090,4.411977,6.662067,-9.838443,8.662133,2.724588,0.000000
0.076000,-6.838202,-0.213085,-5.088275,-7.838037,-4.213488,3.411823,1.786828,-2.463084,-4.463166,5.537143,3.161912,0.786944,-0.213011,-1.588222,-0.088001,4.036985,2.787047,4.912100,5.912046,-8.588311,7.162056,2.099417,0.000000
0.080000,-5.787058,-0.037037,-5.536816,-6.787060,-2.411572,4.588195,1.712965,-3.536932,-4.162057,4.963135,3.338185,0.338046,-0.786847,-1.662092,0.213058,3.588077,2.588070,5.087900,4.963216,-7.036838,5.088125,1.275534,0.000000
