Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-7.963417,-19.463023,-20.338440,1.662112,2.787174,-1.463129,-8.713278,2.161839,13.412190,2.287066,2.161972,0.661957,9.662273,7.287068,0.786795,11.412116,-1.463172,4.911915,-2.212747,-3.212880,3.287003,2.349540
0.004000,-5.099314,-17.099803,-15.974431,2.525610,2.650832,-2.099387,-8.474745,2.275725,12.900579,0.900789,0.775439,-0.849550,8.775627,6.650641,1.025565,8.900799,-2.599518,7.025497,-3.599317,-1.974304,1.650774,1.712975
0.008000,-1.582510,-13.082719,-9.957744,3.292596,2.542873,-2.332357,-7.582606,2.167559,11.167718,-0.582473,-0.707249,-2.457311,6.917870,5.417542,1.167744,5.542593,-3.457557,8.292829,-4.832468,-0.582312,-0.207202,0.855208
0.012000,2.150379,-7.849374,-2.974724,3.775797,2.400448,-2.224313,-5.849695,1.900525,8.400610,-1.974523,-2.099321,-3.724660,4.400800,3.650597,1.025565,1.650745,-4.099386,8.525573,-5.724782,1.025290,-2.224601,-0.161835
0.016000,5.832718,-1.792990,4.332172,3.957636,2.207338,-1.792513,-3.542887,1.332394,4.832566,-3.167598,-3.167712,-4.542822,1.332533,1.457356,0.707355,-2.417738,-4.417581,7.832445,-6.167622,2.457561,-4.042835,-1.230257
0.020000,8.997342,4.372406,11.122229,3.622400,1.996996,-1.002817,-1.002859,0.747102,0.871994,-4.127832,-3.877993,-5.127783,-1.752628,-1.002808,0.246966,-6.253020,-4.253044,6.497229,-6.127816,3.872061,-5.628031,-2.190512
0.024000,11.253184,10.002865,16.628129,3.003059,1.628009,-0.122335,1.628095,0.127748,-3.122098,-4.622381,-4.247181,-5.122305,-4.747048,-3.247162,-0.372302,-9.372155,-3.622094,4.628131,-5.621951,4.877850,-6.622504,-2.934703
0.028000,12.440265,14.565787,20.315630,1.940464,1.065406,0.815546,4.065388,-0.434663,-6.684849,-4.809809,-4.184661,-4.684856,-7.184962,-5.184838,-0.809672,-11.684958,-2.809835,2.565590,-4.559632,5.565553,-6.934576,-3.372240
0.032000,12.406380,17.406323,21.781398,0.656402,0.406501,1.656262,6.031519,-0.843665,-9.468717,-4.593901,-3.843963,-3.968818,-8.718854,-6.593993,-1.218606,-12.719155,-1.593714,0.781219,-3.093451,5.656180,-6.718700,-3.406313
0.036000,11.179304,18.679425,21.054189,-0.821003,-0.446020,2.178849,7.429065,-1.070918,-11.321101,-4.195952,-3.196202,-2.821200,-9.321214,-7.321287,-1.321065,-12.696209,-0.195831,-0.570840,-1.445655,5.178757,-5.945973,-3.008528
0.040000,9.014562,18.014453,18.514634,-2.235772,-1.485569,2.389309,8.014181,-1.235767,-12.111010,-3.610961,-2.485920,-1.610977,-8.860756,-7.485984,-1.110730,-11.610782,1.139047,-1.110847,0.389559,4.389172,-4.610976,-2.298409
0.044000,6.372099,15.997735,14.747678,-3.627851,-2.628009,2.122201,7.997059,-1.127861,-11.878139,-3.002877,-1.752688,-0.502878,-7.628044,-6.877953,-0.752800,-9.753175,2.372392,-1.127690,1.997549,3.247146,-2.878100,-1.315439
0.048000,3.429116,12.929053,10.429072,-4.696198,-3.821133,1.553845,7.303894,-0.946111,-10.821398,-2.320900,-1.070897,0.679173,-5.820966,-5.821265,-0.195820,-7.321371,3.428963,-0.695889,3.428901,1.804213,-1.196256,-0.258644
0.052000,0.684442,9.559810,6.059766,-5.315539,-4.940257,0.684617,6.309611,-0.690257,-9.315675,-1.815190,-0.565193,1.559548,-3.815515,-4.440506,0.434733,-4.940262,4.059914,0.184557,4.434827,0.559713,0.559653,0.747041
0.056000,-1.536960,6.087784,2.463072,-5.412051,-5.787203,-0.287027,5.088012,-0.412042,-7.412131,-1.411853,-0.161974,2.212982,-1.786897,-3.037031,0.838250,-2.662146,4.463323,0.837874,5.088306,-0.536702,1.838197,1.525575
0.060000,-3.082332,3.417774,-0.082537,-5.082567,-6.207382,-1.207275,3.917781,-0.332477,-5.457425,-1.082410,0.042603,2.542830,-0.332160,-1.832328,1.167744,-0.832289,4.417543,1.292644,5.167918,-1.207228,2.792476,1.980148
0.064000,-3.667817,1.457119,-1.292534,-4.292572,-6.042656,-1.792513,2.832571,-0.167628,-3.792485,-0.792608,0.082568,2.582349,0.582480,-0.792677,1.082437,0.332650,3.957475,1.082357,4.707663,-1.417507,3.332617,2.019900
0.068000,-3.520057,0.355321,-1.394691,-3.144970,-5.394902,-1.894929,1.979991,-0.269814,-2.394817,-0.519741,0.105123,2.230199,0.980191,-0.144892,0.729923,0.979958,3.105329,0.480081,3.855155,-1.020049,3.230099,1.667545
0.072000,-2.633496,0.241637,-0.633430,-1.758643,-4.133352,-1.758374,1.366535,-0.258633,-1.383504,-0.133338,-0.008443,1.741493,0.616266,0.241295,0.116523,0.991698,1.991646,-0.883717,2.866643,-0.258304,2.741443,0.929033
0.076000,-1.343650,0.655882,0.656023,-0.093645,-2.468858,-1.093604,0.781419,-0.468725,-0.468779,0.281159,0.031127,0.906114,-0.093727,0.281404,-0.593921,0.656037,0.656315,-2.469031,1.656712,0.781247,1.781293,-0.031223
0.080000,-0.014363,1.360566,1.860722,1.360751,-0.513938,-0.139217,0.361033,-0.514227,0.110752,0.860763,-0.013982,-0.014172,-0.889150,0.235615,-1.389221,0.110655,-0.639129,-4.264121,0.360534,2.111044,0.735786,-1.076660
0.084000,1.269928,2.020087,2.644685,2.644813,1.520050,1.020003,-0.229987,-0.605232,0.644856,1.520034,0.020048,-0.855028,-1.729943,0.144748,-2.105081,-0.355214,-1.979899,-5.855049,-0.729980,3.269655,-0.230235,-2.042594
0.088000,2.144824,2.270035,2.769544,3.645090,3.394887,2.019784,-0.855252,-0.480165,1.269815,2.145051,0.145089,-1.855134,-2.229978,0.144748,-2.480162,-0.730364,-3.104913,-6.979978,-1.604879,4.270112,-1.105028,-2.792734
0.092000,2.389239,2.013858,2.014337,4.264430,4.889080,2.889387,-1.611001,-0.360819,1.889040,2.639215,0.264195,-2.485874,-2.235770,0.389309,-2.486030,-0.860572,-3.860966,-7.485788,-2.235967,4.889104,-1.735946,-3.173483
0.096000,2.167599,1.292823,0.667373,4.542782,5.792794,3.292676,-2.332506,-0.082344,2.542667,3.042552,0.417726,-2.957364,-1.832267,0.792533,-2.207540,-0.707417,-4.457469,-7.207618,-2.457387,4.917536,-2.082340,-3.144818
0.100000,1.389358,0.138855,-1.235779,4.264430,6.014287,3.389090,-3.110692,0.264255,3.139399,3.264233,0.514277,-3.235954,-1.110690,1.389205,-1.485812,-0.235678,-4.486025,-6.235810,-2.485583,4.389172,-1.861045,-2.673209
0.104000,0.343927,-1.281413,-3.281196,3.593957,5.468917,2.968919,-3.656249,0.468886,3.718931,3.343900,0.718854,-3.031316,-0.031463,1.843897,-0.531182,0.343857,-4.281147,-4.781159,-2.281578,3.468680,-1.281161,-1.843836
0.108000,-0.906479,-2.656519,-5.281209,2.718955,4.343710,2.093689,-3.906591,0.718760,3.969003,3.093739,0.718854,-2.406445,0.968607,2.468611,0.468585,1.093623,-3.656089,-2.906447,-1.781517,2.093866,-0.531468,-0.718896
0.112000,-2.281316,-3.781677,-6.781030,1.593723,2.843942,1.093908,-3.781420,0.843827,4.093818,2.593801,0.843895,-1.531156,1.968678,2.718851,1.343775,1.718517,-2.781279,-1.031224,-1.281456,0.468494,0.593525,0.531247
0.116000,-3.286752,-4.412388,-7.661853,0.463058,1.088214,-0.162101,-3.287231,0.838107,3.838013,1.963011,0.837960,-0.412101,2.712939,2.838115,2.088071,2.213203,-1.661704,0.588287,-0.661978,-1.287193,1.587998,1.775712
0.120000,-4.196088,-4.695818,-7.821521,-0.696049,-0.571212,-1.320946,-2.321288,0.678978,3.303909,1.179045,0.803929,0.803991,3.179189,2.679097,2.428849,2.679072,-0.571138,1.929117,0.053698,-3.071312,2.679119,2.866579
0.124000,-4.616593,-4.616395,-7.366732,-1.741386,-2.116597,-2.241570,-1.116812,0.508409,2.508707,0.383533,0.883465,2.133553,3.258345,2.133537,2.383713,2.883457,0.633651,3.008620,0.633370,-4.616719,3.383650,3.695952
0.128000,-4.736024,-4.235633,-6.361050,-2.610956,-3.235721,-2.985872,0.139032,0.264255,1.764225,-0.235712,0.889401,3.139137,3.014119,1.514148,2.014048,3.139071,1.639456,3.639479,1.014013,-5.860626,3.889468,4.201634
