Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-4.491038,-0.240716,0.009454,-0.115628,2.009390,0.009396,-0.240563,-0.240663,0.634458,0.759449,0.384361,1.134561,0.509356,-0.865743,0.384355,0.884396,0.259309,-3.615436,1.259239,1.571968,0.000000
0.004000,-3.859654,-0.484311,-0.359374,-0.234419,2.640609,0.390708,-0.234416,0.265687,1.015677,0.640636,0.390573,1.640697,0.265658,-0.734385,0.515548,0.515611,0.390675,-5.734558,1.640757,1.328180,0.000000
0.008000,-2.584229,-0.834312,-0.834442,-0.084397,3.165618,0.540606,-0.209329,0.790719,1.290662,0.540688,0.290580,1.915647,-0.084387,-0.459422,0.540706,0.040665,0.540586,-7.334479,1.915501,0.853142,0.000000
0.012000,-0.903021,-1.153228,-1.153161,0.096855,3.597002,0.596859,-0.278109,1.221813,1.721938,0.346959,-0.028187,1.846826,-0.528163,-0.153240,0.471942,-0.653135,0.596885,-7.902507,2.096857,0.159390,0.000000
0.016000,1.109515,-1.515781,-1.515752,0.359346,3.859506,0.484352,-0.390583,1.609375,1.984463,0.109332,-0.515581,1.609293,-1.015559,0.109476,0.359384,-1.515625,0.484286,-6.890147,1.984346,-0.703078,0.000000
0.020000,3.359564,-1.515781,-1.890602,0.734305,3.984341,0.234411,-0.640616,1.734332,2.234310,-0.140630,-1.140689,0.984558,-1.765579,0.234350,0.109298,-2.390621,0.359323,-4.515493,1.734463,-1.703152,0.000000
0.024000,5.240314,-1.384270,-2.134480,0.865551,3.990633,-0.134438,-0.759403,1.865634,2.240649,-0.509404,-1.759436,0.115609,-2.509470,0.240594,-0.134453,-3.134444,0.115580,-0.759016,1.240753,-2.696879,0.000000
0.028000,6.640824,-0.859418,-2.359433,0.890650,3.640794,-0.484423,-0.859416,1.765703,2.015721,-0.859314,-2.234405,-0.734298,-3.234435,0.265568,-0.484425,-3.859370,-0.234361,3.891009,0.640588,-3.546964,0.000000
0.032000,7.403250,-0.096950,-2.596859,0.653067,3.153286,-0.721901,-0.971890,1.653083,1.528049,-1.096941,-2.721948,-1.471953,-3.846925,0.028067,-0.721839,-4.221902,-0.471923,8.653336,0.027992,-4.159453,0.000000
0.036000,7.134465,1.009243,-2.615569,0.384445,2.634317,-0.740596,-0.990663,1.384310,0.884305,-1.490566,-2.740733,-2.240678,-4.240771,-0.240652,-0.990561,-4.240661,-0.865578,12.885070,-0.490579,-4.428162,0.000000
0.040000,5.902969,2.278032,-2.596859,-0.096851,1.903180,-0.596930,-0.971890,1.028120,0.153126,-1.596864,-2.596956,-2.596810,-4.346938,-0.471909,-1.096969,-3.971923,-0.971995,15.778925,-0.846917,-4.284365,0.000000
0.044000,3.965633,3.465523,-2.284377,-0.784308,1.090749,-0.284335,-0.784323,0.840596,-0.659369,-1.784425,-2.159410,-2.659284,-4.034385,-0.784335,-1.159397,-3.284376,-1.034476,16.965438,-0.909388,-3.721872,0.000000
