Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,4.750081,-5.705586,-2.475304,4.770280,3.498659,-9.506372,-8.202577,-19.020574,-3.128406,-5.573594,-2.822324,-1.850054,-14.455993,2.937498,6.776405,6.154235,19.437706,9.915044,10.172487,2.288284,-4.255640,6.294867,0.000000
0.004000,5.597446,-6.664610,-3.781731,5.906257,5.523023,-8.916523,-7.657505,-22.022145,-2.267446,-5.709428,-3.133941,-2.832492,-14.030575,5.097608,8.852952,4.291939,18.080260,9.102518,9.245526,4.260937,-5.824545,6.882193,0.000000
0.008000,6.993797,-5.832917,-3.963307,6.171319,7.374251,-9.233847,-7.961598,-21.660689,-1.265862,-5.712624,-3.612727,-3.057253,-13.249836,4.212823,8.897687,3.467189,15.686079,9.762406,8.177303,6.176206,-7.278264,5.911990,0.000000
0.012000,7.366097,-4.393877,-3.260988,6.261075,8.257952,-10.505631,-7.276911,-19.338245,1.476297,-5.069411,-4.552446,-1.977181,-12.506160,2.814672,4.982695,2.224981,14.501678,11.670379,6.792063,6.940484,-8.626066,4.218162,0.000000
0.016000,6.550282,-3.812803,-2.241197,6.405527,6.810970,-10.033379,-6.337858,-17.689337,3.563409,-3.182916,-4.756944,-1.353241,-12.311982,3.096362,3.365038,1.183369,13.631836,8.534366,5.280344,5.846045,-7.013470,4.465359,0.000000
0.020000,8.691232,-3.082167,1.288669,7.738547,6.742812,-8.961944,-6.811210,-13.835365,2.155738,-4.341500,-4.865685,-0.627091,-13.130590,2.861007,5.240280,-1.690042,10.913867,4.944294,2.299614,6.244401,-6.543461,4.769554,0.000000
0.024000,12.796447,-2.755755,6.848980,10.481723,8.696668,-8.260721,-7.931954,-8.012020,-0.131546,-8.553153,-5.941195,1.116076,-13.775968,1.748959,5.712878,-7.566981,7.167623,5.961108,-1.354025,8.936423,-8.864381,3.681638,0.000000
0.028000,12.600832,-3.371188,9.150074,11.847701,7.323328,-5.994656,-8.512407,-4.947102,0.386465,-9.141234,-6.733762,2.221573,-13.105613,1.980636,4.163765,-11.138414,5.454857,3.747089,-2.920497,9.288207,-6.548757,4.250998,0.000000
0.032000,9.510652,-3.839078,7.651794,10.748888,4.073691,-3.515176,-9.789022,-3.026171,3.252028,-6.293514,-7.099478,1.778154,-11.946993,2.977949,2.465297,-9.288994,5.819406,-2.693763,-3.241894,7.473566,-0.870248,5.851895,0.000000
0.036000,9.580064,-3.829983,8.186241,10.141631,4.376876,-3.528242,-11.500739,1.688587,5.173405,-5.454540,-7.857421,1.893077,-10.539407,3.088271,0.152811,-7.716073,4.398895,-4.382030,-4.932654,7.382086,-0.964250,4.642548,0.000000
