Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-2.707040,10.542594,-6.957916,-3.457151,-8.207668,1.667935,9.292693,-10.207170,-3.457742,6.542519,2.292744,9.293036,-6.082531,-6.457152,-10.207780,4.292557,7.667567,-8.707510,6.792713,1.418202,11.292624,-4.644750
0.004000,11.077227,-6.923434,13.827152,6.076803,8.452036,-11.673603,-6.673199,2.826815,1.451778,-5.298538,-13.048468,2.701230,4.326526,5.951406,1.951992,-12.548404,-5.548226,4.826868,-8.423261,5.576798,1.076413,0.014508
0.008000,8.542646,-5.207257,9.167838,5.292968,6.167387,-9.082287,-4.707762,-0.957272,1.417863,-3.832542,-10.582574,0.168125,5.042637,6.667930,0.917568,-9.832429,-2.207191,3.417905,-5.957751,3.667107,2.792368,-0.894616
0.012000,5.002947,-2.247326,3.502810,3.377747,3.377920,-5.247007,-1.747194,-4.622590,0.627767,-1.497049,-6.747425,-2.747482,4.752798,6.378045,-0.371936,-5.872078,1.253105,1.502765,-2.746978,1.502712,5.002711,-2.434640
0.016000,1.003110,1.378158,-2.122323,0.752638,0.377929,-0.997073,1.502494,-6.997130,-0.372099,1.127751,-2.247122,-5.497742,3.752959,5.252898,-1.747249,-1.372479,4.252648,-0.747353,0.502964,-0.621775,7.253389,-4.434450
0.020000,-2.690224,4.809919,-6.940288,-2.440383,-2.440448,3.184669,4.434588,-7.815310,-1.565407,3.684696,2.434924,-7.815897,2.434772,3.684734,-2.815175,3.059914,6.434822,-2.690456,3.434792,-2.439914,8.684695,-6.627580
0.024000,-5.486212,7.639116,-10.235765,-5.485510,-4.610939,6.514554,6.389074,-6.861041,-2.236172,5.514166,6.389380,-9.485895,1.014091,2.014209,-3.360598,6.764243,7.514564,-4.110832,5.639354,-3.735734,8.889826,-8.673108
0.028000,-7.139498,9.235851,-11.639497,-8.139459,-6.139474,8.610924,7.111145,-4.389178,-2.389418,6.235854,9.111197,-10.139564,-0.139153,0.735930,-3.139020,9.235928,7.360980,-4.514290,6.860993,-4.263921,7.736253,-10.202029
0.032000,-7.281667,9.468795,-11.156123,-9.906046,-6.781430,9.219158,6.468655,-1.281410,-1.781459,5.968640,10.343835,-9.781314,-0.531486,-0.031364,-2.406107,10.218949,6.218990,-4.031510,6.968972,-4.155936,5.219366,-10.968775
0.036000,-6.138966,8.235738,-9.139128,-10.764568,-6.764380,8.486088,4.860968,1.485724,-0.514040,4.735668,9.985913,-8.389098,-0.388943,-0.014168,-1.139525,9.735706,4.485933,-2.764071,6.235882,-3.389478,1.985673,-10.827051
0.040000,-3.792415,5.957405,-6.292697,-10.417758,-6.167643,6.832419,2.582317,3.207038,1.082480,2.832556,8.207428,-5.917722,0.332598,0.457510,0.332178,8.082226,2.457343,-1.042385,4.957607,-2.417613,-1.543040,-9.730486
0.044000,-0.906234,3.219127,-3.406372,-9.281196,-5.531618,4.719001,0.468668,2.968677,2.593585,0.718514,5.468919,-2.655990,1.343977,1.343543,1.468869,5.843628,0.843547,0.843651,3.593584,-1.281423,-4.531267,-7.843663
0.048000,1.979947,0.730432,-1.020120,-7.519785,-5.020130,2.480196,-1.020012,0.730226,3.480401,-1.019956,2.480050,1.229648,2.230460,2.230395,2.105392,3.605029,-0.019781,2.105383,2.605369,-0.519659,-6.394731,-5.457214
0.052000,4.360894,-1.014269,0.360417,-5.389379,-5.014199,0.986010,-1.389444,-3.264179,3.361070,-2.139310,-0.139151,5.361101,2.610576,2.485887,1.986081,1.860874,0.235610,2.610989,2.110997,-0.263782,-6.764658,-2.951899
0.056000,5.878126,-1.622181,0.503296,-3.497082,-5.497519,0.377777,-0.497258,-8.122128,2.002583,-2.372333,-1.871891,9.502475,2.127965,2.002745,0.877601,1.002665,1.627757,2.002664,2.628129,-0.747367,-5.622609,-0.684315
0.060000,6.133419,-0.741511,-0.366035,-2.116496,-6.616864,0.883721,1.758760,-12.991624,-0.616413,-1.741645,-2.366430,13.383703,0.758870,0.633570,-0.991415,1.258688,3.883814,0.133748,3.758728,-1.991542,-3.116094,1.071233
0.064000,5.241424,1.241482,-1.883884,-1.383684,-8.133539,2.366359,4.866809,-16.633849,-4.508481,-0.258291,-1.508405,16.741336,-1.508248,-1.758392,-3.383520,2.491330,6.616330,-2.508415,5.491677,-3.758035,0.116446,2.054158
0.068000,3.241887,3.991645,-3.508428,-1.258714,-9.758442,4.616712,8.366923,-18.008756,-8.883524,1.491752,0.491386,18.992250,-4.383550,-4.758785,-6.008371,4.491508,9.366881,-5.758332,7.491397,-5.883696,3.366273,2.304297
