Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,2.253167,1.253083,0.877884,2.753108,-0.872199,-1.996867,16.378014,10.878004,-1.872561,-2.747396,-12.622586,16.752677,-1.997193,-2.747529,-8.247446,-9.497184,-11.247224,-5.372118,-6.122496,6.377362,5.878188,1.939219,0.000000
0.004000,2.076588,3.451687,1.327055,0.701352,-7.173229,-2.674350,21.202172,13.701890,-2.923426,-1.673052,-11.798732,16.951504,-4.423740,-5.297808,-12.173260,-8.423368,-9.548239,-8.173474,-4.673005,6.701514,11.202115,1.639841,0.000000
0.008000,1.161848,5.287062,1.412126,-1.712862,-13.088584,-2.713128,24.162234,14.912127,-3.838419,-0.088031,-8.963399,14.286973,-6.837805,-7.713079,-15.213034,-5.838479,-5.963589,-10.463050,-2.087857,6.286501,15.912511,1.100397,0.000000
0.012000,-0.155986,6.468625,1.594176,-4.031104,-18.031522,-2.405182,24.343886,14.469148,-4.406608,1.593618,-4.531302,9.219332,-8.656051,-9.531345,-17.031630,-2.031133,-0.906353,-12.031369,1.093710,5.218272,19.344282,0.405615,0.000000
0.016000,-1.480332,6.644898,1.645218,-5.980365,-21.105474,-1.855440,21.395069,12.269734,-4.355300,3.020189,0.894993,2.395383,-9.730355,-10.480113,-16.980631,2.270129,4.894623,-12.355049,4.519961,3.769410,20.895471,-0.291991,0.000000
0.020000,-2.531125,5.593670,1.968485,-7.031401,-22.156600,-1.656986,15.468889,8.594295,-3.531521,3.843610,6.218604,-4.905997,-9.781116,-10.281937,-15.156430,6.594053,10.594316,-11.406606,7.468811,2.593130,20.344031,-0.842732,0.000000
0.024000,-2.667902,3.332569,2.582693,-6.917725,-20.918003,-1.791570,7.082621,3.957204,-1.917218,3.832700,10.582246,-11.542164,-8.667701,-8.793139,-11.792728,9.957476,15.082576,-9.167720,9.582542,1.831864,17.457387,-1.105393,0.000000
0.028000,-2.099808,0.150576,3.525271,-5.724129,-17.724556,-2.473614,-2.599431,-0.849337,0.400195,2.775500,13.275891,-16.224424,-6.349333,-6.349380,-7.224660,11.900475,17.775531,-6.099481,10.276037,1.900623,12.775404,-1.037610,0.000000
0.032000,-0.520000,-3.520174,4.729866,-3.394706,-13.145111,-3.769270,-12.144811,-5.269669,2.979849,0.980078,13.730404,-18.145193,-3.270381,-3.020021,-2.144920,11.980462,17.854970,-2.269678,9.480147,2.730650,6.730605,-0.582895,0.000000
0.036000,1.741521,-6.883782,5.991458,-0.633873,-7.758539,-5.384279,-20.134039,-8.633732,5.616511,-1.383686,11.742010,-16.758312,0.241289,0.616511,2.741472,10.116782,15.366567,1.366527,7.116412,4.366145,0.366940,0.179670,0.000000
0.040000,4.309884,-9.440274,7.184994,2.309586,-2.565162,-7.065438,-25.190885,-10.565638,7.934874,-3.940188,7.809797,-12.565756,3.809545,4.184920,6.684659,6.560059,10.559562,4.559963,3.684841,6.185817,-5.565256,1.122991,0.000000
0.044000,6.764629,-10.736147,7.889376,4.639009,1.889063,-8.361094,-26.361243,-10.735948,9.514022,-6.110695,2.389074,-6.360381,6.764507,7.138982,9.264320,1.889528,4.138967,6.889236,-0.361101,7.764831,-9.986251,2.077610,0.000000
0.048000,8.434898,-10.315228,7.934463,5.935100,5.059613,-8.940490,-23.565532,-9.440556,10.059407,-7.565320,-3.315022,0.684487,8.809930,9.185151,10.184547,-2.940310,-2.939971,7.809585,-4.315287,8.810959,-12.440372,2.871243,0.000000
0.052000,9.150624,-8.224525,7.025913,6.025482,6.400532,-8.475149,-17.225012,-6.849772,9.650843,-7.724289,-8.474659,7.026095,9.650400,9.901062,9.400505,-7.224908,-9.349643,7.525602,-7.474247,8.651339,-12.724511,3.337255,0.000000
0.056000,8.622333,-4.753016,5.247093,4.747094,6.122188,-7.127027,-8.127707,-3.627635,8.247473,-6.502924,-12.128274,11.622442,9.121986,9.372180,7.247332,-10.253054,-14.252967,6.122176,-9.377867,7.121438,-10.753427,3.309011,0.000000
0.060000,6.849301,-0.525671,2.474653,2.474509,4.599522,-4.649769,1.849313,-0.275614,5.974717,-4.150589,-13.526040,13.474481,7.474330,7.724841,4.349346,-11.275545,-16.776124,3.724503,-9.650478,4.223714,-7.151173,2.786513,0.000000
0.064000,4.202055,3.951661,-0.798000,-0.298436,2.076534,-1.672953,11.201797,2.576657,3.202183,-0.798200,-12.798501,12.201741,4.952086,5.326910,1.076994,-10.423692,-16.548732,1.076437,-8.173061,0.451761,-2.548118,1.764111,0.000000
0.068000,1.093821,7.844088,-4.156574,-3.281030,-0.531603,1.468100,18.094193,4.468996,0.344136,2.968758,-9.906653,8.469434,1.968831,2.468219,-1.531249,-7.781479,-13.656188,-1.406125,-5.406394,-3.907103,1.968643,0.405615,0.000000
0.072000,-1.957241,10.542666,-7.332247,-5.582500,-2.707555,4.417543,21.292998,5.167441,-2.207014,6.542977,-5.582811,2.793038,-0.957838,-0.332257,-3.207496,-3.832157,-8.707186,-3.207739,-1.582530,-8.081791,5.667714,-1.144934,0.000000
0.076000,-4.474223,11.525521,-9.599370,-6.724849,-3.974773,6.525266,20.275747,4.650489,-4.349599,9.400794,-0.724856,-3.349744,-3.349435,-2.475037,-3.474261,0.650407,-2.599380,-3.974188,2.275909,-11.475566,7.900838,-2.661591,0.000000
