Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,9.946089,0.768197,-10.925065,2.615983,6.859238,11.016191,-0.372029,-11.631892,2.092728,8.313981,-3.125243,0.948957,-5.801774,-4.622147,-1.635306,-0.269787,-3.532853,-1.185853,2.864800,4.351049,-3.433445,-3.242028,0.000000
0.004000,8.345451,1.712391,-9.227335,2.592328,8.355666,11.386387,-0.589800,-12.236669,1.201518,8.258977,-3.104628,0.064548,-4.433901,-3.453802,-2.162754,-0.681213,-3.445200,-0.815492,1.844780,5.415865,-5.089748,-3.936350,0.000000
0.008000,8.881801,1.772433,-9.587223,3.090611,9.051914,12.119448,-0.970132,-13.132114,1.437089,8.968054,-3.348842,-0.317050,-4.002555,-3.483505,-2.338570,-0.658433,-4.786683,-1.324896,1.459289,6.090772,-5.159174,-3.761303,0.000000
0.012000,5.533291,3.211093,-10.706003,3.707171,10.186091,13.628332,0.546085,-11.974130,2.723351,8.789888,-2.165831,0.152839,-6.042706,-4.330060,-3.575562,-0.774405,-4.312845,-2.777267,0.244660,7.072980,-5.324946,-3.811177,0.000000
0.016000,0.104582,2.804925,-9.386416,5.779665,13.303061,13.706525,-0.702263,-11.514687,5.549166,7.779483,-1.824883,-3.755922,-4.432929,-2.293378,-2.474200,-0.824108,-5.764848,-1.978400,-2.154775,9.799041,-8.289007,-3.433700,0.000000
0.020000,0.840749,1.201443,-9.245590,7.772800,15.582516,14.245325,-3.642682,-14.229151,8.211331,8.370181,-2.339741,-9.168629,-1.538829,-0.242833,-0.709759,-0.276000,-9.553014,-1.415906,-3.606514,12.045977,-9.800792,-2.497832,0.000000
0.024000,3.629772,2.437607,-11.749155,7.540064,15.072943,16.616778,-2.816584,-15.888772,8.568858,9.955740,-1.285710,-9.234473,-3.237012,-1.639897,-2.346105,0.266585,-10.372386,-3.925006,-3.703446,11.740327,-7.353883,-2.275844,0.000000
0.028000,4.010476,5.987164,-13.501650,6.799125,15.228338,19.930214,-0.162437,-15.445738,7.340968,11.120396,0.095526,-7.263631,-6.001903,-4.068668,-5.795869,0.030499,-10.096721,-7.330302,-4.652632,12.003847,-5.272523,-2.955498,0.000000
0.032000,5.602701,7.470561,-12.611059,6.918163,16.635969,21.563719,-0.776899,-16.137246,6.103696,11.928721,-0.547254,-9.246445,-4.574769,-4.076589,-6.630996,-0.297400,-12.341419,-7.899116,-5.807611,13.522180,-5.411375,-3.387738,0.000000
0.036000,8.143531,9.256524,-12.000815,5.469859,16.099152,23.022510,-0.624561,-17.522608,3.980427,12.733457,0.033679,-10.727943,-4.220171,-4.298376,-7.763755,-0.066145,-12.426532,-8.398408,-5.777786,12.955490,-3.670060,-4.196476,0.000000
0.040000,8.599954,12.637727,-12.032110,2.632007,14.012427,24.498407,2.450814,-16.095052,0.710570,12.695194,1.744763,-7.655705,-6.551772,-6.245948,-10.615744,-0.220775,-9.255754,-9.989821,-5.249135,10.863857,-1.067297,-5.866762,0.000000
0.044000,12.125145,14.508456,-12.101219,1.187518,12.669375,24.792853,4.120391,-14.058032,-1.911986,12.192980,1.282236,-5.102739,-7.816666,-8.128172,-12.314881,-1.013253,-8.170880,-11.114808,-4.993384,10.317819,-0.028742,-6.440800,0.000000
0.048000,17.476031,14.135252,-12.313761,0.599193,12.105313,24.299259,3.430272,-14.723756,-2.594726,11.328456,0.206532,-6.271477,-7.453325,-8.290552,-11.282589,-1.249340,-8.802241,-10.142769,-4.687676,10.636685,-0.290860,-6.116131,0.000000
0.052000,18.245852,14.015167,-12.351575,-0.727784,10.850049,23.270529,4.020196,-15.054273,-2.588472,9.671152,1.164887,-6.428605,-8.250927,-7.750935,-10.434904,-1.029821,-6.492755,-8.891379,-4.252975,9.632173,-0.432546,-6.183607,0.000000
0.056000,17.404517,13.327625,-12.582373,-1.062771,9.787515,21.682230,4.781883,-14.048656,-2.107948,8.298436,1.489977,-4.243769,-8.822170,-7.673705,-9.817036,-1.097471,-5.301172,-8.526075,-4.094156,8.964701,-0.759839,-5.597834,0.000000
0.060000,14.499811,1.999652,-12.107738,7.738462,7.277996,17.142139,-4.087426,-13.014909,6.083892,14.073888,1.443460,-17.149266,-8.555007,-7.678656,-6.251736,3.098245,-10.308869,-11.998365,0.193211,5.296083,10.407813,1.900846,1.000000
0.064000,16.367573,3.159292,-11.600506,7.564483,7.245706,17.402375,-3.596674,-13.019597,4.722581,14.243684,1.455089,-16.339679,-8.276186,-7.980643,-7.805197,2.654375,-10.766193,-13.711125,-0.694833,5.755384,10.905129,2.313528,0.000000
