Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,0.024962,-2.066024,1.728625,-1.619963,-4.121101,-4.539940,7.412750,0.223555,-3.220553,-5.772938,-1.607045,7.333460,-0.046096,-2.710796,1.076752,-1.186999,1.760303,2.954348,-1.608255,1.308834,-0.500765,5.176518,0.000000
0.004000,-0.312920,-1.005322,-1.532616,-3.291473,-1.523673,-4.449569,7.666852,1.701608,-0.143361,-8.222936,1.332033,5.928298,-1.102740,0.992290,2.386704,-2.444475,4.454234,2.335010,-3.137589,-1.419223,-2.122246,3.911681,0.000000
0.008000,0.977589,0.686702,-2.957383,-4.217245,-0.964458,-3.459618,9.207858,3.302241,0.634409,-9.364233,2.273727,4.031642,2.662517,2.201382,1.970934,-2.755447,2.856309,-0.735801,-2.523895,-2.428707,-3.454627,2.056553,0.000000
0.012000,-0.038132,2.202949,-2.706295,-4.883631,0.000848,-3.146566,8.868372,4.900981,1.150817,-9.965900,2.913163,3.575725,3.973311,1.893114,1.270819,-2.131615,1.737129,-0.228878,-4.055491,-3.053238,-3.833430,1.555112,0.000000
0.016000,-2.154251,0.236525,-4.220563,-6.129655,-0.290916,-2.736646,9.019331,3.655308,1.353014,-10.504545,3.881349,4.915232,0.925062,1.647505,0.662824,-1.479856,4.742324,0.210597,-3.768623,-0.639672,-1.969126,2.644291,0.000000
0.020000,-2.358890,-3.690286,-4.723707,-6.201612,-3.228736,-1.926256,9.817840,1.397763,-0.550628,-9.499140,2.439507,6.081616,1.375599,0.691758,-0.281103,-0.951128,5.350631,-1.428526,0.042085,3.717949,0.265982,3.659939,0.000000
0.024000,-2.812996,-6.919355,-1.856756,-4.469522,-5.255051,-2.860685,7.174359,1.315412,-2.300899,-8.177638,-0.754062,7.058737,3.149251,-0.189727,0.221260,-1.058685,3.649478,1.814936,0.926437,5.713925,0.595078,5.036605,0.000000
0.028000,-4.242559,-9.989419,-0.173160,-3.249379,-5.804954,-4.665161,3.973492,0.644301,-2.419805,-7.519842,-2.382959,8.482971,0.023217,-0.337092,0.952696,-1.476460,5.817263,6.224960,0.274670,7.245582,1.465239,7.155219,0.000000
0.032000,-3.928338,-11.892778,-0.730005,-3.341530,-7.392070,-4.275323,4.597818,-1.608512,-3.406666,-5.547436,-2.891939,9.282934,-2.328047,-1.876886,-0.621948,-1.116049,7.266140,3.550354,2.899456,11.310223,4.034013,8.015124,0.000000
0.036000,-3.216462,-10.129638,-1.068175,-3.309107,-7.258086,-2.819930,5.311626,-1.562603,-4.139057,-3.464741,-3.235139,8.551927,-1.048830,-3.584931,-2.427508,-0.382395,4.069763,0.223324,4.102719,13.458252,4.785334,7.145006,0.000000
0.040000,-2.359720,-3.387037,0.697665,0.161616,-3.467217,-2.590752,3.220749,-0.268656,-1.217535,2.184630,-0.771323,4.284725,2.714117,-0.335545,2.655081,0.862249,-3.593326,2.266289,0.311236,-2.316707,-0.741873,1.690430,1.000000
0.044000,-1.553204,-2.358538,-1.173642,-0.753918,-1.587302,-2.674626,4.014476,1.263351,0.164530,-0.081223,0.569366,2.938616,1.235432,1.618496,2.566032,-1.526276,-1.259639,0.661102,-1.207544,-1.483753,-0.599036,1.227797,0.000000
0.048000,1.526335,2.127807,-2.132518,-1.680828,-1.518500,-0.724257,7.027498,2.386918,-0.960193,-0.423908,1.460483,1.388206,3.803108,0.983781,-1.136594,-2.648645,-2.880738,-4.741983,-0.819650,-1.710720,0.798477,-0.123847,0.000000
0.052000,2.665337,6.983151,-1.034794,-1.559667,-0.255739,0.056599,5.560264,3.924131,-1.028549,-0.501701,1.973075,0.850863,2.880469,-0.814772,-3.843705,-3.006792,-4.884201,-4.720772,-3.522844,-2.171330,2.562796,-0.112103,0.000000
0.056000,2.869560,6.879161,-0.938519,-0.698172,0.341757,-0.553556,3.440014,3.274791,0.125469,-1.082690,1.308752,1.149061,-0.763875,-2.062156,-4.093659,-3.602696,-3.882469,-3.058318,-4.510107,1.060356,3.738056,1.058778,0.000000
0.060000,4.274634,5.183112,-0.514717,0.194324,-1.721804,-0.425972,4.381285,1.772127,-1.193409,-0.088117,-0.972025,1.344192,0.693247,-3.588026,-5.372290,-3.767240,-4.624025,-4.948146,-1.591668,4.561288,4.747054,1.656218,0.000000
0.064000,3.578531,5.101261,1.954072,1.251212,-3.347201,-1.094012,3.218016,1.553472,-2.415784,1.800587,-2.696455,2.081067,2.517729,-4.109800,-5.202788,-3.279270,-7.019859,-3.064681,-1.356821,1.657443,6.130284,2.742843,0.000000
