Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,4.552879,-3.079614,-4.591501,-0.193037,-1.552232,-4.039851,4.719433,-4.758611,0.467549,1.181413,-5.345376,4.051913,-0.471131,3.082759,2.759722,-0.931074,-0.916317,4.556118,-0.315059,-2.785191,2.726645,0.881034
0.004000,4.276189,-0.828992,-1.046262,1.427206,-0.336035,-2.391926,3.479498,-3.154261,1.280434,-0.022944,-4.087226,1.900799,-0.200780,2.134836,1.774249,-1.449594,0.317684,1.097912,-0.666843,-3.291683,0.131182,-0.342742
0.008000,2.891095,-0.700595,1.098678,1.476987,1.568448,-2.304573,2.445602,-0.254861,1.368084,-2.332049,-3.421170,1.280413,0.116274,1.112939,2.246857,-2.729280,0.186856,0.713564,-2.475223,-4.867037,3.359767,-0.781692
0.012000,0.479121,0.123899,3.323955,1.141601,2.322951,-0.905695,2.615324,1.862804,0.675365,-3.719323,-1.682663,0.601619,-0.008706,0.787081,0.808067,-2.997098,0.889950,-0.001351,-2.782234,-3.987303,1.135328,-0.683096
0.016000,-0.382652,2.566199,6.194528,2.963148,3.733544,1.633721,1.834158,3.754472,0.877997,-5.414931,0.709572,-0.880297,0.335976,0.703119,0.131236,-3.410907,1.149495,-2.381157,-4.131377,-3.985154,-4.638512,-1.362227
0.020000,0.401713,1.903119,5.490922,3.670982,4.692772,0.611511,1.044098,4.977789,0.973187,-6.444067,0.239555,-0.413443,0.521143,0.162519,1.793959,-4.274436,-1.261111,-1.602261,-6.165325,-5.320516,0.092038,-1.094834
0.024000,0.513707,-1.058273,2.202246,1.782940,3.059230,-1.942773,1.973493,3.793809,0.340786,-5.214356,-1.480659,1.304611,0.175475,-0.390254,1.977215,-3.567302,-2.846658,0.976905,-4.982906,-3.897037,6.445389,0.833707
0.028000,0.814277,-1.785552,0.249081,1.733886,1.182084,-2.476181,2.253645,1.884787,0.669239,-3.443589,-2.251296,1.675925,0.288944,0.278005,1.193869,-1.943614,-2.201804,1.920389,-2.519995,-2.298042,3.182765,1.593687
0.032000,2.527940,-2.920952,-1.746412,1.929376,0.024814,-4.338460,1.064850,0.605549,1.357481,-2.404944,-3.956400,2.225802,1.174986,1.564896,2.844430,-1.646262,-2.079839,4.171770,-1.931558,-3.268042,3.273819,1.528219
0.036000,3.028616,-5.593450,-4.863614,-1.005157,-2.581928,-6.750875,1.057438,-1.881965,0.557320,-0.268343,-5.960932,3.811603,1.257867,2.696348,3.982966,-0.841130,-0.888041,7.086603,0.106228,-1.869637,6.180737,2.738980
