Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-0.900489,-0.275508,1.474381,-2.900640,-3.775736,-0.775491,0.599348,-0.525569,-3.400666,-2.525434,-0.525554,4.224298,1.849560,-2.650467,-4.275833,-0.900329,1.974432,2.599590,0.849406,4.724094,3.474676,1.661848
0.004000,0.701916,-0.423532,1.951507,-3.173437,-4.173249,-2.298448,1.326746,0.576798,-3.423457,-4.048227,-1.798352,5.576945,2.576788,-2.673313,-4.423534,-1.673081,2.201644,4.076737,0.326949,4.077356,2.701995,2.014026
0.008000,2.019781,-0.729957,2.269733,-3.230191,-4.355352,-3.855332,1.770090,1.769818,-3.105291,-5.230357,-2.980285,6.269814,3.394966,-2.605125,-4.105284,-2.230443,2.144925,5.520072,-0.104878,3.271033,1.895112,2.207114
0.012000,3.122126,-0.877980,2.247033,-3.128034,-4.377844,-5.127979,2.122280,2.747165,-2.627889,-6.002959,-4.003033,6.372355,3.997369,-2.378067,-3.503058,-2.628086,1.997254,6.747240,-0.502779,2.372320,1.122431,2.309752
0.016000,3.724411,-1.150540,2.099270,-2.775781,-4.275763,-6.025783,1.974498,3.474472,-2.025591,-6.275570,-4.775730,5.849435,4.599404,-1.775623,-2.775571,-2.650619,1.724398,7.724429,-0.900680,1.350418,0.599287,2.286658
0.020000,3.968581,-1.156002,1.718940,-2.281265,-4.031373,-6.531367,1.718528,3.718883,-1.156178,-6.156176,-5.031246,4.843631,4.843900,-1.031180,-1.906097,-2.406069,1.218625,8.094131,-1.156093,0.219326,0.344049,2.156436
0.024000,3.820777,-0.928778,1.321050,-1.678917,-3.678845,-6.304227,1.195998,3.571051,-0.428984,-5.429212,-4.804083,3.571056,4.821071,-0.054055,-1.179019,-1.928898,0.570886,7.821427,-1.428953,-1.054552,0.321249,1.883803
0.028000,3.486102,-0.514203,0.860628,-0.889280,-3.264463,-5.639355,0.610857,2.860927,0.360811,-4.389296,-4.014306,2.360986,4.485993,0.860858,-0.639218,-1.389429,-0.014093,6.736154,-1.764333,-2.390024,0.736090,1.548305
0.032000,2.980182,0.105201,0.480299,-0.269905,-2.770060,-4.394842,0.104901,1.855140,1.105023,-3.144820,-2.894885,1.355182,3.855238,1.605301,-0.394818,-0.645175,-0.644716,5.105473,-2.144787,-3.770291,1.354869,1.167902
0.036000,2.457333,0.957292,0.082408,0.457302,-2.167519,-2.792447,-0.167643,0.707446,1.707321,-1.792766,-1.417469,0.582241,2.832331,2.332521,-0.542519,-0.167341,-1.167605,2.957653,-2.542688,-5.167357,2.082583,0.770179
0.040000,2.088149,1.838332,-0.037087,0.963169,-1.536862,-1.036971,-0.162118,-0.411807,2.088088,-0.536880,0.087958,0.212929,1.712951,2.588050,-0.786918,0.338327,-1.661968,0.588121,-3.037035,-6.413238,2.713395,0.400682
0.044000,1.883697,2.633616,0.008313,1.508385,-0.741405,0.633689,0.133445,-1.116598,2.258566,0.508334,1.508669,0.133674,0.633339,2.633391,-1.241444,0.383393,-1.991543,-1.866769,-3.491640,-7.491134,3.008534,0.070957
0.048000,1.860908,3.236088,0.235740,1.860638,0.110717,2.110722,0.610857,-1.389153,2.360672,1.360804,2.735693,0.235806,-0.514393,2.360991,-1.639257,0.235603,-2.139214,-4.139302,-3.889056,-8.263860,2.860964,-0.201676
0.052000,2.019781,3.520118,0.644765,2.144786,1.144942,3.145059,1.269659,-1.105044,2.269810,1.769925,3.269954,0.519736,-1.480227,1.769795,-1.730243,-0.105044,-2.104981,-5.855341,-4.105212,-8.731415,2.144651,-0.417857
0.056000,2.502912,3.502640,1.252951,2.377856,2.252700,3.752835,1.877819,-0.247089,2.127896,1.752810,3.377900,0.627996,-2.372048,1.127985,-1.622120,-0.747237,-1.997248,-6.872438,-4.247216,-8.748214,0.877959,-0.559626
0.060000,2.906606,3.031259,2.031171,2.531470,3.406308,3.656435,2.281110,1.031254,2.031261,1.531136,2.906151,0.656185,-2.843734,0.406389,-1.093744,-1.468958,-1.718687,-7.218861,-4.093580,-8.345052,-0.968876,-0.656491
0.064000,3.468522,2.219042,2.843655,2.718758,4.593655,3.218703,2.343722,2.468685,1.843765,1.093898,1.968803,0.468669,-3.156350,-0.281114,-0.156131,-2.281474,-1.281379,-7.031516,-3.781463,-7.530330,-3.031049,-0.718716
0.068000,3.838357,1.087837,3.713102,2.963178,5.588085,2.463224,2.088212,3.963294,1.713095,0.463102,0.713085,-0.037092,-3.287067,-0.786899,1.087899,-2.911737,-0.911866,-6.161856,-3.162075,-6.536426,-5.162257,-0.724489
0.072000,4.093596,-0.031352,4.468622,3.343808,6.343748,1.343658,1.468542,4.968785,1.718868,-0.031184,-0.781411,-0.656426,-3.281176,-1.031180,2.468613,-3.406139,-0.406093,-5.031132,-2.406500,-5.405334,-7.031260,-0.718716
0.076000,4.139174,-1.235749,5.014276,3.639307,6.889193,0.264224,0.514178,5.389171,1.764147,-0.485943,-2.110915,-1.235723,-3.110691,-0.985839,3.764053,-3.610925,0.139284,-3.861055,-1.485657,-4.235047,-8.486054,-0.673170
0.080000,3.968581,-2.281199,5.468701,3.843621,6.968782,-0.781283,-0.656104,5.218824,1.843765,-0.781374,-3.031183,-1.781113,-3.031157,-0.656147,4.843654,-3.531397,0.593708,-2.781325,-0.281292,-3.406326,-9.156134,-0.593625
0.084000,3.434663,-2.940476,5.434866,4.059664,6.684597,-1.565310,-1.815337,4.434636,2.059522,-0.815196,-3.690470,-2.190461,-2.815381,-0.190431,5.684568,-3.065492,0.934694,-1.815221,0.809664,-2.941571,-9.190335,-0.502534
0.088000,2.696294,-3.304254,5.071240,4.071015,5.946236,-2.053931,-3.054215,3.195992,2.195966,-0.679094,-3.679197,-2.304033,-2.679141,0.446107,6.070956,-2.429264,1.320988,-1.304178,1.946178,-2.804384,-8.304284,-0.366538
0.092000,1.730033,-3.394925,4.355123,3.980209,4.980354,-2.144953,-3.894866,1.605100,2.355202,-0.395073,-3.269961,-2.395135,-2.520071,1.105139,5.980377,-1.519989,1.605255,-0.895122,2.979945,-3.145951,-6.895090,-0.207449
0.096000,0.764423,-3.235977,3.389308,3.764165,3.889465,-2.110613,-4.610755,0.014209,2.514133,0.139147,-2.360966,-2.235808,-2.361002,1.639395,5.639279,-0.610713,1.639152,-0.860757,3.889156,-3.736694,-5.110956,-0.048360
0.100000,-0.229836,-2.855267,2.020035,3.270028,2.645022,-1.729977,-4.855216,-1.355084,2.644803,0.644843,-1.230273,-2.230089,-2.105091,2.144828,5.019916,0.270065,1.644857,-0.855214,4.520175,-4.355435,-3.105151,0.082504
0.104000,-1.229955,-2.480020,0.519702,2.644978,1.394955,-1.355133,-4.605230,-2.230222,2.770003,1.144834,0.019980,-2.230089,-1.730246,2.395085,4.269989,1.144879,1.520008,-0.855214,4.894813,-4.979775,-1.229814,0.207594
0.108000,-1.968975,-2.093848,-1.093702,1.906419,0.406148,-0.968705,-4.218973,-2.593728,2.656351,1.656235,1.156139,-2.593681,-1.343618,2.656238,3.531486,1.781107,1.281385,-0.593596,5.156526,-5.217752,0.281348,0.218499
0.112000,-2.638977,-1.764482,-2.639434,0.985870,-0.264303,-0.639372,-3.514134,-2.389312,2.360672,1.860795,1.985883,-3.014469,-0.639219,2.735673,2.985973,2.235745,0.985707,-0.139089,4.985928,-5.013372,1.360569,0.173595
0.116000,-3.065460,-1.690197,-3.940608,0.059646,-0.815371,-0.440366,-2.565294,-1.815465,1.934626,2.059651,2.434744,-3.565577,0.059657,2.809836,2.559600,2.559823,0.559811,0.684565,4.684957,-4.316239,1.809611,-0.002814
0.120000,-3.309630,-1.559653,-4.934691,-0.809825,-1.184767,-0.434573,-1.684590,-1.184737,1.440207,2.065356,2.565235,-4.059900,0.815238,2.815460,2.190349,2.690383,0.190297,1.690577,4.190610,-3.059159,1.815311,-0.247222
0.124000,-3.616307,-1.491376,-5.616543,-1.741346,-1.366438,-0.366307,-0.741735,-0.616519,0.758595,1.883615,2.383505,-4.241697,1.508591,2.633391,2.008375,2.883902,-0.116456,2.758667,3.508702,-1.365322,1.508772,-0.553853
0.128000,-3.695744,-1.446041,-5.946334,-2.571089,-1.446027,-0.321210,0.179022,-0.321152,-0.071008,1.679055,1.804152,-4.070931,2.179114,2.429179,1.679109,2.928968,-0.446031,3.804033,2.804015,0.552494,1.178799,-0.883578
0.132000,-3.781040,-1.156002,-6.031565,-3.406128,-1.781253,-0.156130,0.968571,-0.656217,-1.031282,1.593889,1.218652,-3.406250,2.718920,2.218640,1.218871,2.968732,-0.656126,4.718589,2.093997,2.593498,0.968528,-1.219077
0.136000,-3.900846,-0.775839,-5.900506,-4.150740,-2.150649,0.224506,1.724513,-1.400707,-2.150487,1.474494,0.724358,-2.150425,2.974462,1.724454,0.474248,3.099292,-0.650421,5.224643,1.474609,4.474918,1.099630,-1.462842
0.140000,-4.082508,-0.207232,-5.582708,-4.707307,-2.582333,0.792563,2.292620,-2.707490,-3.082499,1.417446,0.417602,-0.457471,2.917757,1.042575,-0.457244,3.292811,-0.582291,5.292819,0.917742,6.168755,1.542972,-1.645025
0.144000,-4.258311,0.616456,-5.133421,-5.258577,-3.258407,1.491361,2.741489,-4.258683,-4.008738,1.366509,0.366362,1.491632,2.616556,0.241543,-1.633544,3.616227,-0.383606,4.991847,0.366690,7.490229,2.491724,-1.696344
0.148000,-4.451693,1.548293,-4.826759,-5.576778,-3.951784,2.423505,2.923338,-5.701744,-4.826794,1.423150,0.673459,3.548178,2.173222,-0.826617,-2.951833,3.798480,-0.076853,4.298447,0.048273,8.422539,3.548144,-1.639252
0.152000,-4.423044,2.451728,-4.548365,-5.798497,-4.548269,3.326688,3.076644,-6.923501,-5.548518,1.576774,1.201572,5.326924,1.451885,-1.923247,-4.173422,3.951572,0.201708,3.326801,-0.298255,9.077676,4.702100,-1.485936
