Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,0.718556,-7.031296,3.468614,-2.656227,-3.406174,-7.906331,-4.281473,5.093717,-0.156305,-8.156273,-5.281400,1.968747,4.718659,0.843687,0.218739,-2.531425,3.718738,6.844106,2.968917,6.844678,-0.406116,4.406388,0.000000
0.004000,-0.911738,-6.161979,1.213262,-5.911957,-5.787160,-7.412026,-2.411883,3.837986,-2.286904,-6.912014,-3.912040,3.462985,3.837957,0.462972,-1.036840,1.213135,4.338089,6.838419,6.088261,3.963254,2.962957,4.525578,0.000000
0.008000,-2.633644,-5.008689,-1.133734,-8.758708,-7.758778,-6.383731,-0.508301,2.491392,-4.258631,-5.508799,-2.383495,4.741434,2.741337,-0.133323,-2.258505,4.616461,4.616644,6.741745,8.866709,1.115981,6.241746,4.553904,0.000000
0.012000,-4.224677,-3.599487,-3.349633,-10.849761,-9.224618,-5.099580,1.150535,0.775617,-6.099539,-3.849401,-0.974417,5.525525,1.650680,-0.599407,-3.474390,7.400415,4.775601,6.275438,11.275523,-0.849790,9.025746,4.338332,0.000000
0.016000,-5.633735,-2.133602,-5.258545,-12.133590,-9.883772,-3.758689,2.491298,-0.883404,-7.383509,-2.133674,-0.008449,5.866414,0.491457,-1.133615,-4.258645,9.241791,4.491554,5.616353,12.741660,-1.007735,10.866500,3.804184,0.000000
0.020000,-6.758613,-0.883784,-6.758551,-12.383700,-9.758514,-2.383684,3.241562,-2.633575,-7.883749,-0.633619,0.616498,5.366475,-0.633696,-1.383688,-4.758487,10.116766,3.991497,4.616636,13.241453,1.241910,11.491371,2.929020,0.000000
0.024000,-1.002726,-0.127832,-1.252912,0.747280,2.372100,1.247025,2.872014,-2.252929,-0.127956,-0.002808,1.372082,0.121994,-3.252807,-2.252907,2.247398,2.372043,2.622213,-4.377971,-1.627833,-0.378091,-1.003069,1.684513,1.000000
0.028000,-2.093951,0.281291,-2.718808,-0.093578,1.531451,2.406207,2.531118,-1.968877,-0.968679,0.906176,3.906313,1.281389,-4.093903,-3.218707,1.031128,3.406046,3.906374,-5.343568,-0.718963,-2.469790,0.656520,1.843801,0.000000
0.032000,-2.838054,0.537203,-3.963197,-0.838185,0.786845,3.286906,2.036769,-1.462973,-1.588221,1.786996,5.787050,2.662151,-4.463134,-3.838284,0.036838,3.912102,4.786889,-5.713202,0.036644,-5.088684,2.161674,1.974395,0.000000
0.036000,-3.127842,0.497357,-4.628131,-1.002778,0.247106,3.622129,1.247171,-0.752987,-1.752999,2.247275,6.872174,3.747136,-4.252753,-3.752915,-0.877676,4.121994,5.247283,-5.627902,0.496995,-7.752400,3.122145,2.059741,0.000000
