Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,7.559724,2.684953,4.934684,3.809611,-3.690458,-12.940259,1.184504,7.059738,6.309824,-16.190721,-0.440132,-3.065472,3.309705,9.185029,6.434958,-0.065438,-2.815363,16.934783,-2.815511,-9.313383,-13.565773,-4.502815
0.004000,9.792737,-0.832579,8.167576,10.417616,7.167928,-4.707318,-0.957414,2.417737,2.667921,-6.707499,-5.707122,-4.707427,-5.207950,-3.207686,0.292796,-6.207530,0.042500,-5.832685,-5.082590,9.042198,-4.957519,4.105101
0.008000,9.417578,0.042511,7.167592,9.917924,7.667585,-2.207154,-0.457268,1.292567,2.292613,-4.457677,-4.832812,-4.207424,-5.832405,-4.457244,-0.707545,-6.082556,-0.457509,-7.832445,-6.082665,9.042198,-3.207139,3.980049
0.012000,9.224929,1.099787,6.099386,9.099462,7.849370,-0.150845,-0.025564,0.474487,1.849331,-2.525512,-3.525654,-3.525731,-6.526004,-5.400776,-1.525783,-5.650578,-0.775531,-9.400826,-6.775541,9.098384,-2.275892,3.286877
0.016000,9.156293,2.281008,5.031179,8.156303,7.781577,1.531536,0.406141,-0.218850,1.406535,-0.968815,-1.968804,-2.843682,-7.218523,-5.843774,-2.093571,-4.718703,-1.093916,-10.843944,-7.468934,9.033554,-1.718825,2.218962
0.020000,8.866930,3.366657,4.116628,6.866715,7.366786,2.741618,0.616323,-0.883592,0.866634,0.366775,-0.008848,-2.133600,-7.884033,-5.883491,-2.258586,-3.633665,-1.133714,-11.883849,-7.758579,8.990334,-1.633338,0.929100
0.024000,8.508930,4.508306,3.133853,5.383507,6.758660,3.758513,0.758470,-1.491557,0.133495,1.508671,2.008246,-1.491651,-8.491202,-5.866687,-2.366480,-2.366600,-0.991526,-12.616897,-7.991431,9.007622,-1.491794,-0.304033
0.028000,7.758612,5.258703,2.258637,3.758372,6.008421,4.508740,1.008340,-2.116513,-0.741416,2.758440,3.883667,-0.866381,-8.866091,-5.866687,-2.366480,-0.991540,-0.741522,-13.241729,-7.866486,8.882283,-1.116212,-1.304039
0.032000,6.508343,5.508835,1.258653,2.258387,5.133644,5.258374,1.133477,-2.991370,-1.616327,4.133364,5.758305,-0.241466,-8.866091,-5.866687,-2.241498,0.258545,-0.491518,-13.491514,-7.616596,8.631607,-0.491177,-1.928887
0.036000,4.900855,5.526008,0.275879,0.650483,4.275438,6.025787,1.400762,-3.849649,-2.724289,5.525571,7.150781,0.400482,-8.599239,-5.974636,-2.224411,1.400636,-0.099326,-13.474466,-7.099778,8.026525,0.650284,-2.162015
0.040000,2.957205,4.957797,-0.792328,-0.792822,3.457406,6.957348,1.707328,-4.792886,-3.667658,7.082269,7.957776,0.832352,-7.667958,-6.292881,-2.292760,2.332512,0.082298,-13.043087,-6.417744,7.330681,2.082541,-1.980233
