Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-8.309622,-5.934476,-8.684370,2.065687,2.815662,-3.934336,-4.559445,7.940969,5.440582,4.190687,-5.934356,-5.934610,-5.934519,7.565525,4.315739,-6.309586,6.440823,-2.684977,15.816229,1.628121,0.000000
0.004000,-14.166076,-8.165529,-13.540600,6.334482,6.709601,-5.915804,-8.415810,13.459400,9.709433,9.584415,-11.165869,-10.790716,-11.540823,11.959546,4.959500,-12.415944,9.584481,-8.540753,28.834683,3.521847,0.000000
0.008000,-18.996906,-9.747096,-17.122359,9.878278,9.753126,-7.372086,-11.497221,17.878405,13.128510,14.003469,-15.372266,-14.747120,-15.996987,15.378157,5.378335,-17.122139,12.003323,-13.623014,39.128894,5.065760,0.000000
0.012000,-21.909700,-10.409428,-19.159700,12.465800,11.715800,-8.284423,-13.409600,20.465900,15.340900,16.840900,-18.034600,-17.159600,-18.909700,17.215900,5.340764,-20.034700,13.340800,-17.034716,45.591300,6.028195,0.000000
0.016000,0.077860,0.203129,0.703246,-3.421829,-5.047071,0.578114,3.953043,-0.546846,-0.046710,-2.296734,3.578161,4.328384,5.953129,1.453072,2.578113,5.078340,1.952992,-14.422999,-5.046664,0.390520,1.000000
0.020000,-0.222138,-0.096727,0.153163,-3.596921,-4.597059,0.527999,3.653384,-0.096892,0.028120,-2.222002,3.402980,4.028352,5.403303,1.528309,2.153226,4.653045,1.903193,-12.723030,-4.222180,0.340583,0.000000
0.024000,-0.471775,-0.472048,-0.347117,-3.471855,-3.971798,0.403149,3.403334,0.402941,0.153099,-2.097054,3.028300,3.528035,4.653036,1.528309,1.778266,4.153356,1.903193,-11.223057,-3.222251,0.340583,0.000000
0.028000,-0.703000,-0.703262,-0.953226,-3.203252,-3.203284,0.421906,2.922039,0.796781,0.296883,-1.953126,2.797061,2.922057,3.796741,1.547007,1.296895,3.547021,1.796897,-9.828965,-1.953234,0.359374,0.000000
0.032000,-0.815635,-0.815657,-1.315420,-2.815739,-2.565694,0.434508,2.559567,1.184385,0.434398,-1.690577,2.559228,2.309376,2.684467,1.434374,0.809472,2.934235,1.559198,-8.564282,-0.690675,0.371987,0.000000
0.036000,-0.840545,-0.965786,-1.590461,-2.465554,-1.840626,0.409304,2.159488,1.534581,0.534302,-1.340643,2.284297,1.659241,1.659540,1.284345,0.284478,2.159329,1.284254,-6.964311,0.409354,0.346761,0.000000
0.040000,-0.790725,-0.790770,-1.790800,-2.040714,-1.165755,0.334277,1.834223,1.709159,0.709428,-1.165478,1.959492,1.084409,0.584123,1.084455,-0.290696,1.459248,0.834382,-5.164344,1.333939,0.271856,0.000000
0.044000,-0.609319,-0.734171,-1.859277,-1.609332,-0.484426,0.140556,1.515760,1.890491,0.765845,-0.859434,1.640457,0.390511,-0.359518,0.765699,-0.734496,0.640481,0.390789,-2.984972,2.015269,0.078031,0.000000
0.048000,-0.503182,-0.502957,-1.753449,-1.128309,-0.003004,-0.003050,1.246907,1.997004,0.872018,-0.628122,1.121922,-0.252922,-1.253174,0.496805,-1.253186,-0.253112,-0.128133,-0.379137,2.496397,-0.190700,0.000000
0.052000,-0.440909,-0.315497,-1.690630,-0.690770,0.559438,-0.190617,0.934445,2.059354,1.059289,-0.440700,0.434389,-0.940513,-1.940835,0.184282,-1.565611,-1.065859,-0.565449,2.309050,2.809615,-0.503189,0.000000
0.056000,-0.565456,-0.190657,-1.565560,-0.315572,0.934301,-0.440609,0.684395,2.309270,1.184268,-0.190803,-0.315796,-1.565810,-2.565889,0.059183,-1.815752,-1.940531,-0.940830,5.185468,2.934471,-0.878227,0.000000
0.060000,-0.684589,-0.184235,-1.559335,0.065784,1.315622,-0.684446,0.440747,2.565422,1.315514,-0.059529,-1.059387,-2.184405,-3.059672,0.065416,-2.059337,-2.809611,-1.184388,7.814832,3.190643,-1.246831,0.000000
0.064000,-0.884407,-0.259299,-1.634604,0.365558,1.740682,-1.009464,0.240707,2.740520,1.615619,0.115636,-1.884591,-2.634256,-3.509529,0.115723,-2.134481,-3.634400,-1.259297,10.114791,3.366088,-1.571933,0.000000
0.068000,-1.134586,-0.384540,-1.759674,0.740756,1.990787,-1.134313,-0.009342,2.990436,1.740597,0.365532,-2.509470,-3.134572,-3.884663,0.115723,-2.009410,-4.384364,-1.259297,11.864759,3.615801,-1.821873,0.000000
0.072000,-1.309494,-0.559556,-1.934546,1.190609,2.190694,-1.184429,-0.309402,3.065775,1.940798,0.440659,-3.184225,-3.559585,-4.309276,0.190514,-1.934267,-4.809659,-1.059261,13.191205,3.940859,-1.996908,0.000000
0.076000,-1.477904,-0.852989,-1.978122,1.521938,2.272007,-1.228097,-0.478235,3.146829,1.896918,0.521718,-3.603010,-3.728329,-4.603122,0.271984,-1.853072,-5.228073,-0.728240,13.897075,4.272375,-2.040666,0.000000
0.080000,-1.559673,-0.934476,-2.059616,1.815555,2.190694,-1.059286,-0.684276,2.940557,1.815819,0.565608,-3.809517,-3.934527,-4.809623,0.315613,-1.684377,-5.309348,-0.434463,14.314714,4.315429,-1.996908,0.000000
0.084000,-1.440540,-0.940497,-1.940771,1.934464,2.184530,-0.940592,-0.815502,2.434489,1.434616,0.559281,-3.940593,-3.940835,-4.940894,0.059183,-1.440540,-5.190661,-0.190487,14.685296,4.308970,-1.878244,0.000000
0.088000,-1.103178,-0.852989,-1.602912,2.021818,1.896851,-0.728114,-0.978335,1.772027,0.897092,0.396769,-3.728316,-3.853309,-4.853043,-0.227964,-1.353041,-4.728384,-0.103024,14.897057,3.896728,-1.665628,0.000000
0.092000,-0.746863,-0.747016,-1.246943,2.002962,1.753011,-0.622021,-1.121963,0.878354,0.377981,0.378185,-3.497077,-3.621878,-4.621803,-0.747055,-1.121811,-4.246756,-0.246982,15.379401,3.253071,-1.434479,0.000000
0.096000,-0.247047,-0.371695,-0.622158,1.878280,1.378148,-0.496879,-1.246788,-0.247050,-0.371888,0.128289,-3.121984,-3.246936,-4.121962,-1.247003,-1.121811,-3.621929,-0.496818,16.002919,2.377999,-1.184281,0.000000
0.100000,0.109268,-0.015641,0.109587,1.734358,1.109256,-0.390493,-1.265592,-1.265422,-1.140564,0.109309,-2.890746,-2.890525,-3.640801,-1.765649,-1.140723,-3.015594,-0.890612,16.858786,1.233838,-0.953132,0.000000
0.104000,0.559264,0.309503,0.809640,1.434584,0.934301,-0.440609,-1.315601,-2.190789,-1.815603,-0.065460,-2.565528,-2.440674,-2.940518,-2.315903,-1.065580,-2.440650,-1.440501,17.808768,-0.065316,-0.753129,0.000000
0.108000,0.746628,0.621803,1.496677,1.121727,0.747016,-0.503033,-1.378014,-3.128106,-2.378201,-0.002986,-2.253088,-2.003045,-2.253362,-2.627981,-1.128115,-1.878177,-2.003363,18.623460,-1.253607,-0.565738,0.000000
0.112000,0.903125,0.903193,2.028083,0.903150,0.528028,-0.596817,-1.472032,-3.721983,-2.846772,0.028251,-2.096868,-1.596956,-1.347083,-2.972112,-1.096848,-1.347096,-2.472066,19.152862,-2.472035,-0.409494,0.000000
0.116000,0.909623,1.159294,2.409519,0.659559,0.534486,-0.715511,-1.590456,-4.090883,-3.090460,0.034578,-1.840486,-1.215707,-0.590757,-2.965880,-1.090544,-0.965664,-2.965878,19.158744,-3.465506,-0.278217,0.000000
0.120000,0.665401,1.165717,2.665884,0.415584,0.540650,-0.709357,-1.709279,-4.209347,-3.084192,0.165457,-1.709410,-0.709476,0.040356,-2.834549,-1.084492,-0.584231,-3.209436,18.541108,-4.209264,-0.146941,0.000000
0.124000,0.596629,1.097075,2.596841,0.222020,0.471960,-0.778229,-1.903318,-4.153232,-2.903189,0.346948,-1.403153,-0.278155,0.721958,-2.653357,-1.028008,-0.278053,-3.278068,17.223485,-4.652720,0.034272,0.000000
0.128000,0.390854,1.015589,2.515913,0.140439,0.515699,-0.734268,-2.109359,-3.859671,-2.609353,0.515786,-1.109262,0.140549,1.265725,-2.359532,-0.984385,0.015654,-3.234545,15.141170,-4.859379,0.203129,0.000000
0.132000,0.234357,0.734600,2.109577,-0.140479,0.609341,-0.515635,-2.515839,-3.640929,-2.265760,0.609498,-0.640602,0.484345,1.734263,-1.890747,-0.765511,0.484381,-2.890551,12.485336,-4.640880,0.421923,0.000000
