Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,3.615556,-0.509475,-0.759495,0.490571,1.697798,2.240552,1.115755,-0.634372,1.115628,3.865722,3.615819,2.615609,1.865704,1.740664,4.615778,3.865556,3.865944,-60.758720,1.990611,2.803138,0.000000
0.004000,3.552946,-1.071631,-1.197178,1.053210,2.377218,2.053101,0.928312,0.178298,2.428043,4.803428,3.803211,2.553027,2.428159,2.928313,5.553239,3.928285,4.553219,-73.826925,2.927778,2.865811,0.000000
0.008000,3.227906,-1.521810,-1.646740,1.478267,2.899821,1.728061,0.603086,0.603194,3.353134,5.478278,3.853078,2.603185,2.978136,4.103159,6.228380,3.853307,4.978081,-83.271472,3.602795,2.790527,0.000000
0.012000,2.771651,-1.853191,-2.103427,1.521783,3.035851,1.397022,0.272018,0.897159,3.897018,5.647088,3.772044,2.521736,3.272090,4.896974,6.521837,3.521841,5.022066,-87.355840,3.897013,2.584548,0.000000
0.016000,2.040977,-1.959484,-2.584463,1.165738,2.814483,1.165708,-0.084367,0.665900,3.915772,5.415711,3.415570,2.290735,3.290556,5.290808,6.415683,3.040790,4.665683,-84.706759,4.040514,2.228002,0.000000
0.020000,1.159106,-1.965736,-2.965729,0.534527,2.235718,0.659215,-0.465582,0.409558,3.409398,4.659408,2.909494,1.909261,3.034532,5.159189,5.784419,2.284321,3.909430,-74.712905,3.784777,1.722036,0.000000
0.024000,0.046777,-1.703132,-3.327991,-0.453169,1.380881,0.297060,-0.828297,-0.078044,2.421927,3.672121,2.172003,1.421950,2.421671,4.546671,4.796948,1.296978,2.796793,-58.207097,3.421615,1.109449,0.000000
0.028000,-1.253383,-1.503052,-3.627896,-1.503283,0.296288,-0.253296,-1.253330,-0.502940,1.246910,2.246871,1.246729,0.746892,1.496890,3.621749,3.497148,0.246904,1.747136,-36.500587,2.996723,0.434572,0.000000
0.032000,-2.484272,-1.359245,-3.734200,-2.484385,-0.802892,-0.734295,-1.609228,-0.734200,0.015629,0.765744,0.140687,-0.109469,0.390447,2.390568,1.890680,-0.859589,0.640497,-11.861483,2.640776,-0.296863,0.000000
0.036000,-3.559301,-1.059126,-3.809621,-3.309443,-1.776983,-1.309395,-1.934454,-0.684537,-0.934332,-0.559164,-0.934189,-1.059243,-0.809323,0.940703,0.440849,-1.934531,-0.309192,12.813060,2.191031,-0.996961,0.000000
0.040000,-4.340596,-0.840857,-3.590483,-3.715599,-2.545388,-1.840631,-2.215862,-0.215496,-1.715503,-1.840788,-2.090488,-1.965761,-1.965673,-0.340667,-0.965577,-2.840586,-1.090437,35.033439,1.909641,-1.653113,0.000000
0.044000,-4.878111,-0.628273,-3.003143,-3.628126,-2.919562,-2.253023,-2.377988,0.621755,-1.878178,-2.753310,-3.003295,-2.878262,-2.877977,-1.503222,-2.128084,-3.753322,-1.628261,52.248031,1.746899,-2.190798,0.000000
0.048000,-4.915411,-0.290638,-2.290497,-3.040431,-2.947643,-2.540573,-2.415477,1.709327,-1.665762,-3.415567,-3.790653,-3.665599,-3.540745,-2.290891,-3.040539,-4.290793,-1.915668,63.331641,1.459095,-2.603138,0.000000
