Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-0.146734,-0.271821,-0.021744,-0.521922,0.478166,-0.396748,-1.146912,-0.646807,0.853242,1.353347,-0.896785,-0.646838,0.228231,1.853073,2.103178,-1.021912,0.227791,-1.022033,-0.146838,-0.209162,0.000000
0.004000,-0.071921,-0.321952,-0.071908,-0.696974,0.303292,-0.696977,-1.196811,-0.571823,0.803164,1.428015,-1.071840,-0.696788,0.678192,2.553173,2.803068,-0.571871,0.802833,-2.696427,-0.321898,-0.384466,0.000000
0.008000,-0.027977,-0.403201,-0.028114,-0.778131,0.221824,-1.028179,-1.153263,-0.528046,0.721916,1.347125,-1.278249,-0.778101,1.096902,3.096882,3.221885,-0.153028,1.471743,-4.027673,-0.403043,-0.590935,0.000000
0.012000,0.046836,-0.578086,0.046999,-0.827989,-0.078060,-1.203021,-0.953061,-0.453062,0.671839,1.046897,-1.203059,-0.703060,1.546863,3.296974,3.296838,0.421802,1.922153,-4.953757,-0.578103,-0.765589,0.000000
0.016000,0.228057,-0.646945,0.103001,-0.771944,-0.396907,-1.271959,-0.647012,-0.271889,0.478172,0.603038,-1.147030,-0.646838,1.853241,3.353097,3.228131,0.853036,2.228210,-5.397506,-0.771888,-0.959073,0.000000
0.020000,0.415453,-0.584424,0.165639,-0.709348,-0.709433,-1.209515,-0.334310,-0.209477,0.290637,0.165400,-0.959491,-0.459354,1.915741,3.040758,2.790576,1.290686,2.290526,-5.084677,-0.959431,-1.146713,0.000000
0.024000,0.521861,-0.478110,0.271806,-0.853101,-0.978065,-0.978224,0.146839,-0.103064,0.146792,-0.478092,-0.853239,-0.103204,1.896949,2.521895,2.146901,1.521902,2.146963,-4.103468,-1.103281,-1.290852,0.000000
0.028000,0.796781,-0.328003,0.296755,-0.827989,-1.328164,-0.702972,0.671840,-0.078144,-0.078045,-0.953063,-0.578027,0.046876,1.796864,1.921841,1.296776,1.546904,1.796732,-2.703317,-1.203153,-1.390840,0.000000
0.032000,0.903189,0.028106,0.403187,-0.971743,-1.596796,-0.346793,1.028090,-0.096778,-0.221890,-1.472109,-0.346942,0.403026,1.403069,1.153195,0.403257,1.403086,1.403116,-0.721607,-1.347002,-1.409669,0.000000
0.036000,1.065526,0.315644,0.440610,-1.059450,-1.809244,0.190723,1.315691,-0.059286,-0.309270,-1.934636,-0.184370,0.565652,1.065652,0.315560,-0.434376,1.190677,0.815453,1.191199,-1.309267,-1.372011,0.000000
