Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-0.213019,-0.463063,-0.213175,3.536824,2.286786,-0.588234,-1.338030,-1.088006,0.286901,1.161870,0.162129,-0.087953,-2.713183,-0.963052,0.787105,0.286821,0.536915,-0.337993,0.036883,2.036868,-2.212938,-0.900556
0.004000,0.025363,-0.599490,-0.349485,3.775575,2.775392,-0.224617,-0.474616,-1.224558,0.400406,1.150790,0.025780,0.650474,-2.849473,-0.349303,1.525280,-0.724291,-0.224402,-1.099440,-0.974313,2.775397,-2.849405,-1.161884
0.008000,-0.099428,-0.599490,-0.599588,3.525702,2.900794,0.275571,0.650663,-1.349468,0.400406,1.150790,0.025780,1.525556,-2.849473,0.275759,2.025691,-1.474521,-0.849371,-1.724404,-1.849445,3.150516,-3.224661,-1.286735
0.012000,-0.457268,-0.582248,-1.082379,2.792769,2.542700,1.042754,1.917569,-1.457388,0.167758,1.167614,0.417783,2.417651,-2.582300,0.792873,2.417588,-2.082311,-1.207353,-2.457277,-2.457262,2.917699,-2.957297,-1.269598
0.016000,-0.878037,-0.377759,-1.752822,1.497067,1.747090,1.747114,2.997113,-1.627920,-0.128032,1.122065,0.871971,3.122326,-2.127998,1.122374,2.497073,-2.252804,-1.252992,-3.002904,-2.628028,2.372358,-2.002833,-1.065187
0.020000,-1.389465,-0.139088,-2.264136,-0.139336,0.610571,2.360655,3.735865,-1.889381,-0.514400,1.110986,1.486002,3.610770,-1.514148,1.360897,2.235809,-2.014363,-1.014242,-3.139083,-2.389231,1.360933,-0.764443,-0.701652
0.024000,-1.883829,0.116523,-2.633435,-1.633378,-0.883578,2.741344,4.116490,-1.883718,-0.883480,0.991574,1.866489,3.616532,-0.883533,1.491472,1.866721,-1.633482,-0.633442,-3.133612,-1.758393,0.366621,0.866237,-0.196131
0.028000,-2.093946,0.406316,-2.843906,-2.968748,-2.343822,2.656329,3.906261,-1.718849,-0.968797,0.781063,1.906103,3.281208,-0.218845,1.531540,1.281295,-1.093640,-0.093760,-2.718692,-0.968815,-0.593918,2.531463,0.343663
0.032000,-2.025685,0.474378,-2.650549,-3.775457,-3.650795,2.099465,3.224308,-1.400753,-0.775613,0.474530,1.599319,2.349598,0.474508,1.474502,0.724208,-0.525435,0.349509,-2.025639,-0.025651,-1.275706,3.974279,0.912221
0.036000,-1.554253,0.445943,-1.929065,-4.053875,-4.429221,0.946130,2.070999,-0.554071,-0.429083,0.071155,0.696008,1.071139,1.071050,1.446219,0.071046,-0.178839,0.696081,-1.053844,0.695895,-1.304077,4.820851,1.383469
0.040000,-0.735647,0.389376,-0.735898,-3.610853,-4.735760,-0.360845,0.764260,0.514115,0.139194,-0.610850,-0.485989,-0.360713,1.639199,1.389181,-0.486041,-0.110891,0.639317,-0.110927,1.139131,-0.985699,5.014394,1.701715
