Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,3.769778,-5.855236,0.519961,2.894876,4.520060,-3.480117,-4.855160,-0.730048,3.144771,-1.480137,-2.605326,-1.480143,1.644790,4.145049,5.519874,-2.355353,-0.605017,3.769945,-1.855070,3.019772,-7.105130,-0.542733,0.000000
0.004000,5.031470,-6.593715,1.406291,3.406423,5.906444,-2.343668,-2.968849,-0.593901,0.531490,-3.718607,-1.843920,0.406342,0.656387,1.281391,5.531498,-3.968663,-0.468732,3.281279,-2.968716,5.656352,-8.094018,0.468647,0.000000
0.008000,6.337937,-6.536976,2.213287,3.463058,6.713067,-0.911855,-0.661932,-0.286886,-2.162054,-5.787020,-0.912013,2.338138,-0.536932,-1.912065,4.838323,-5.286846,-0.286856,2.338019,-3.911912,7.838331,-8.412056,1.525541,0.000000
0.012000,7.219042,-5.531215,2.843902,3.343849,6.844004,0.593721,1.968906,0.218715,-5.031578,-7.531215,0.093650,4.218769,-1.656198,-5.156439,3.468636,-6.281417,-0.031352,1.093779,-4.656199,9.219033,-7.781492,2.531203,0.000000
0.016000,7.684914,-3.815489,3.309576,2.809466,6.184771,2.059602,4.559625,0.559539,-7.565594,-8.815516,1.059832,5.809719,-2.690389,-8.190589,1.559597,-6.690481,0.434552,-0.315432,-4.815513,9.809906,-6.315547,3.372190,0.000000
0.020000,7.451978,-1.423208,3.576730,2.076859,4.826745,3.576742,6.951714,0.951836,-9.673368,-9.298330,1.951825,7.076879,-3.798350,-10.798508,-0.673362,-6.548456,1.076724,-1.798185,-4.548238,9.326960,-4.173240,3.889316,0.000000
0.024000,6.809672,1.184799,3.434666,1.059705,3.059806,4.934792,8.934709,1.059657,-11.065755,-9.065426,2.809545,7.809735,-4.690371,-12.690512,-2.940418,-5.815385,1.684764,-3.315294,-3.940372,8.185005,-1.565324,4.122148,0.000000
0.028000,5.662049,3.662046,3.036888,0.037069,1.161931,6.037173,10.161995,0.911936,-11.463082,-7.963012,3.412161,7.912065,-5.463117,-13.713468,-4.962984,-4.713207,2.286953,-4.463277,-2.838172,6.287016,1.037078,3.974398,0.000000
0.032000,4.065612,5.690560,2.315499,-0.934869,-0.559495,6.690412,10.565500,0.565326,-10.934643,-6.434716,3.815207,7.565365,-5.934848,-13.809900,-6.309811,-3.184558,2.690444,-5.184777,-1.684620,4.190616,3.315506,3.502787,0.000000
0.036000,2.258626,7.008532,1.383413,-1.616321,-2.116376,6.883571,10.258678,0.008556,-9.491405,-4.366673,4.008704,6.758689,-6.241516,-12.866791,-6.866598,-1.616348,2.758464,-5.491436,-0.366496,2.008638,5.008742,2.696107,0.000000
0.040000,0.269875,7.395053,0.394871,-1.980341,-2.980065,6.645092,9.019882,-0.730048,-7.230085,-2.105282,3.895035,5.520039,-6.105282,-10.980186,-6.605059,-0.105106,2.520027,-5.230208,0.770042,0.019620,5.895010,1.707370,0.000000
0.044000,-1.707149,6.792807,-0.707322,-2.082650,-3.207278,6.042799,7.292737,-1.707441,-4.457275,0.167569,3.542750,4.167604,-5.582392,-8.457514,-5.457389,1.167581,1.917594,-4.457314,1.667764,-1.332193,5.792813,0.605190,0.000000
0.048000,-3.400599,5.474546,-1.775568,-1.900412,-2.900593,4.974487,5.224569,-2.525540,-1.525435,2.224521,3.099356,2.724548,-4.775729,-5.525582,-3.775792,2.099645,0.974327,-3.275542,2.224587,-2.275737,5.099489,-0.463140,0.000000
0.052000,-4.957592,3.667806,-2.832374,-1.457376,-2.207401,3.792718,2.917653,-3.207492,1.292741,3.917699,2.542728,1.292693,-3.582410,-2.457487,-1.582354,2.667745,-0.207377,-1.957477,2.542595,-2.582620,3.792563,-1.394927,0.000000
0.056000,-5.929314,1.571032,-3.554132,-0.928931,-1.304151,2.445920,0.820874,-3.678980,3.571012,5.196085,1.821237,0.196082,-2.053877,0.570877,0.446023,2.821243,-1.553891,-0.553945,2.446079,-2.428906,2.196010,-2.116524,0.000000
0.060000,-6.628122,-0.252989,-4.127922,-0.377649,-0.252811,1.247272,-0.877990,-3.877870,5.122430,5.872247,1.247254,-0.752888,-0.502732,2.997117,2.247347,2.622250,-2.752905,0.622149,2.122194,-2.002649,0.872122,-2.565493,0.000000
0.064000,-6.872251,-1.747229,-4.372198,0.002814,0.502699,0.252723,-2.122376,-3.747205,5.877699,6.128072,0.752666,-1.372213,1.002907,4.877936,3.377969,2.252747,-3.872196,1.502941,1.877810,-1.497354,-0.122278,-2.684654,0.000000
0.068000,-0.695983,-2.945962,2.678961,-3.571158,-4.571256,-3.321027,-2.071075,5.554021,2.053993,-2.821001,-0.196162,0.179027,3.429115,1.804055,-0.571072,-0.071084,3.428918,0.429067,0.304166,-3.071017,2.428814,1.616570,1.000000
0.072000,-0.253032,-2.877989,2.747225,-2.877830,-3.627745,-3.127868,-2.252932,5.247311,1.622268,-2.502698,0.497129,-0.127962,2.747097,0.247250,-0.628029,-0.003038,3.497182,0.622149,0.497198,-2.503038,1.747364,1.309634,0.000000
0.076000,0.082247,-2.542736,2.582284,-1.792622,-2.292825,-2.542765,-2.292723,4.582415,1.082363,-1.917480,1.207340,-0.292658,1.707536,-1.542536,-0.542787,0.207428,3.082476,0.582397,0.457293,-1.542596,0.832261,0.894973,0.000000
0.080000,0.474560,-2.025743,2.224357,-0.525632,-0.775505,-1.525713,-2.275623,3.599539,0.474658,-1.150744,1.849437,-0.525573,0.474365,-3.275620,-0.525738,0.349453,2.474436,0.349563,0.349331,-0.525466,0.099501,0.411925,0.000000
0.084000,0.746940,-1.377989,1.872334,0.871985,0.872051,-0.377699,-2.127967,2.497269,-0.252694,-0.127813,2.372225,-0.752888,-0.752871,-4.752965,-0.502878,0.622030,1.622107,-0.127746,-0.002705,0.497115,-0.752842,-0.065404,0.000000
0.088000,1.093946,-0.656215,1.343931,2.093759,2.468843,0.968786,-1.781354,1.343829,-0.906263,0.843731,2.718870,-0.906383,-1.781409,-5.781321,-0.656314,0.718560,0.468684,-0.781383,-0.531378,1.469003,-1.281210,-0.468858,0.000000
0.092000,1.559818,0.059799,0.809623,3.184905,3.559745,2.184624,-1.315367,0.309784,-1.565317,1.684774,2.684596,-0.940238,-2.565461,-6.315556,-0.815174,0.684537,-0.690347,-1.440416,-0.940333,2.184700,-1.565324,-0.752923,0.000000
0.096000,1.934541,0.684799,0.309633,3.809722,4.184668,3.184799,-0.815507,-0.565271,-2.065340,2.309550,2.434699,-0.940238,-2.940528,-6.190580,-1.190240,0.684537,-1.815489,-1.940440,-1.315261,2.559720,-1.440229,-0.877801,0.000000
0.100000,2.201591,1.326792,-0.173384,3.951767,4.326807,3.826786,-0.298219,-1.298392,-2.173520,2.701790,1.951825,-0.923183,-3.048215,-5.548340,-1.548258,0.451521,-2.798252,-2.298209,-1.423223,2.826812,-1.173501,-0.860876,0.000000
0.104000,2.338048,1.588025,-0.536846,3.712893,3.838072,3.963060,0.088186,-1.662059,-2.162054,2.838206,1.337929,-0.786998,-2.661842,-4.287004,-1.912087,0.087953,-3.411900,-2.161916,-1.411777,2.712889,-0.786766,-0.724333,0.000000
0.108000,2.412139,1.662046,-0.963037,3.036922,3.037050,3.537048,0.411779,-1.838105,-1.838011,2.661864,0.412095,-0.838163,-1.963149,-2.463273,-1.963232,-0.213109,-3.838064,-1.838221,-1.088201,2.412001,-0.213025,-0.525579,0.000000
0.112000,2.247432,1.497299,-1.252699,2.247222,1.997262,2.747222,0.497281,-1.878005,-1.252740,2.372027,-0.502893,-0.877873,-1.127938,-0.502995,-1.877990,-0.627711,-3.877804,-1.002859,-0.752870,2.122016,0.121976,-0.315390,0.000000
0.116000,1.889233,1.139292,-1.485905,1.264323,0.889206,1.514194,0.389088,-1.860949,-0.360874,1.764258,-1.485995,-1.110788,-0.110706,1.639348,-1.360725,-0.985741,-3.735911,0.264096,-0.110667,1.889264,0.139362,-0.173358,0.000000
0.120000,1.338075,0.588025,-1.661917,0.338059,-0.036801,0.088007,0.088186,-1.912118,0.587824,1.088096,-2.411829,-1.411923,0.838126,3.713032,-0.411824,-1.161789,-3.287073,1.588124,0.463170,1.713201,-0.037044,-0.099482,0.000000
0.124000,0.679245,-0.070961,-1.820954,-0.446159,-0.696033,-1.446011,-0.320910,-1.946231,1.679100,0.428939,-3.196228,-1.696003,1.678989,5.429143,0.804041,-1.321221,-2.696099,3.054124,0.929045,1.804231,-0.696019,-0.133561,0.000000
0.128000,-0.093655,-0.843715,-1.968922,-0.968667,-1.093743,-2.843756,-0.718824,-2.093952,2.656214,-0.218757,-3.719016,-1.968883,2.406230,6.781512,2.156293,-1.343771,-2.093667,4.531198,1.406367,1.781337,-1.468641,-0.281311,0.000000
0.132000,-0.775405,-1.525455,-2.150468,-1.150449,-1.150459,-3.900503,-1.025646,-2.275481,3.474298,-0.900464,-4.150696,-2.275618,2.849414,7.724621,3.474448,-1.025698,-1.400540,5.599393,1.724374,1.849473,-2.525801,-0.463140,0.000000
0.136000,-1.377734,-2.002989,-2.252680,-1.252758,-1.002718,-4.752839,-1.252884,-2.503001,4.122384,-1.377733,-4.127702,-2.377948,3.122165,8.122309,4.622118,-0.752725,-0.752760,6.247351,1.747266,1.872366,-3.377720,-0.690255,0.000000
0.140000,-1.821219,-2.445962,-2.320945,-1.070976,-0.696033,-5.071020,-1.320957,-2.696104,4.303848,-1.696036,-3.945919,-2.321183,3.178976,8.054034,5.429207,-0.321111,-0.071092,6.554010,1.678901,1.678861,-4.196139,-0.883519,0.000000
0.144000,-2.218862,-2.593715,-2.343823,-0.843978,-0.343836,-5.093837,-1.093718,-2.843825,4.281414,-1.968867,-3.343737,-2.093868,3.031154,7.531371,5.781412,0.281408,0.406271,6.281425,1.531342,1.281493,-4.593899,-1.031269,0.000000
0.148000,-2.383570,-2.633462,-2.383674,-0.758568,-0.133427,-4.633444,-0.758615,-2.758543,3.991769,-2.008424,-2.508577,-1.633638,2.616516,6.616420,5.616740,0.866519,0.991393,5.491494,1.241485,0.741313,-4.508664,-1.071066,0.000000
0.152000,-2.338262,-2.463243,-2.337919,-0.712894,-0.087915,-3.963014,-0.213045,-2.588283,3.411982,-1.962952,-1.338052,-1.088133,2.162026,5.537148,4.911942,1.412070,1.537021,4.287006,0.912031,0.037062,-4.088005,-1.025551,0.000000
0.156000,-2.212999,-2.213243,-2.088108,-0.712894,-0.212899,-3.088173,0.286814,-2.088165,2.911959,-1.713042,-0.088133,-0.337968,1.411892,4.162021,3.787132,1.912124,1.911987,2.786933,0.537104,-0.838346,-3.213188,-0.900673,0.000000
0.160000,-1.940085,-1.940489,-1.565239,-0.815203,-0.565447,-2.190516,0.809693,-1.565507,2.309738,-1.440211,1.184780,0.434598,0.559723,2.934629,2.559643,2.184702,2.309626,1.184641,0.184759,-1.565490,-2.315471,-0.752923,0.000000
0.164000,-1.548305,-1.548208,-1.048275,-0.923450,-0.923246,-1.298173,1.201688,-0.798274,1.826664,-1.048340,2.326671,1.076833,-0.423309,1.701837,1.201580,2.201713,2.576833,-0.298396,-0.173155,-2.173261,-1.298172,-0.610890,0.000000
0.168000,-1.031262,-1.281215,-0.156041,-0.906094,-1.281395,-0.656185,1.468718,0.093838,1.468722,-0.656099,3.093716,1.593828,-1.406342,0.593635,-0.031333,2.218725,2.593899,-1.781148,-0.531378,-2.531382,-0.406392,-0.468858,0.000000
0.172000,-0.480104,-0.980236,0.769772,-0.854939,-1.605235,-0.105152,1.520020,0.894880,1.269809,-0.355172,3.645138,1.894963,-2.355174,-0.355260,-0.980234,1.894718,2.520027,-2.855022,-0.854954,-2.480144,0.269969,-0.417626,0.000000
0.176000,0.292795,-0.582482,1.792631,-0.707413,-1.707463,0.167709,1.292452,1.667596,1.042481,0.042614,3.667698,2.042603,-3.207343,-1.082361,-1.582354,1.417608,2.292560,-3.707420,-1.207299,-2.207601,0.667730,-0.394983,0.000000
0.180000,1.042774,-0.207482,2.792612,-0.457578,-1.707463,0.417752,1.042522,2.292592,0.917849,0.292524,3.167470,1.917618,-3.707339,-1.707629,-1.832269,0.792540,1.917594,-4.207444,-1.582227,-1.707212,0.917496,-0.394983,0.000000
0.184000,1.895096,0.144764,3.644994,0.019713,-1.480250,0.519958,0.644937,2.644989,0.769786,0.394928,2.269837,1.520008,-3.855161,-2.230293,-1.729978,0.144921,1.394884,-4.355095,-1.730094,-1.104893,0.895021,-0.417626,0.000000
0.188000,2.718634,0.593785,4.218784,0.468686,-1.156411,0.593721,0.218741,2.968757,0.343545,0.593821,1.218620,1.093888,-3.656180,-2.656138,-1.531209,-0.531182,0.843650,-4.281270,-1.906112,-0.656287,0.843711,-0.343751,0.000000
0.192000,3.457420,1.082265,4.582615,0.957395,-0.792660,0.582469,-0.042698,3.082365,-0.292576,0.707315,-0.167528,0.707478,-3.042562,-3.042639,-1.417682,-1.042709,0.332399,-3.917538,-1.792582,-0.542364,0.832261,-0.230079,0.000000
0.196000,4.053885,1.679039,4.554202,1.304059,-0.321079,0.804070,-0.195945,3.054039,-1.071276,0.678849,-1.571029,0.179027,-2.071118,-3.321136,-1.196052,-1.571248,-0.320988,-3.446192,-1.571090,-0.696078,1.054040,-0.008454,0.000000
