Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,7.872499,-6.584056,1.985518,-5.284189,-16.156656,-12.879851,0.564335,2.192131,0.087989,-7.694575,0.397349,0.908839,7.165640,6.963478,5.986678,2.242146,9.133149,8.302456,3.811086,-13.472395,1.702935,2.756057
0.004000,9.460345,-6.998276,2.805011,-5.324558,-17.028226,-15.125617,0.845510,3.132999,0.227536,-8.654180,-1.405673,1.124896,7.729692,7.348718,6.415133,1.282122,9.553832,9.114118,3.918577,-14.010923,1.939498,3.649120
0.008000,10.261647,-7.623315,3.143298,-3.449788,-16.168889,-15.020034,0.735783,3.454518,0.268237,-8.894081,-2.150950,1.016701,7.832859,6.512504,5.621110,-0.131272,9.593859,8.642655,3.625024,-12.976949,1.962427,3.744930
0.012000,12.014034,-4.316965,3.078816,-4.141678,-16.602125,-14.728018,0.272693,3.411971,-0.298996,-9.168483,-3.380998,0.569605,7.165640,5.480168,4.313998,-0.522012,9.568744,8.147891,4.272149,-13.054908,3.480793,4.439380
0.016000,12.545284,0.272304,2.105338,-6.123470,-16.694889,-13.184233,-0.062623,2.394229,-1.506467,-8.395022,-2.676062,0.300615,6.220320,4.653652,3.242565,-0.499577,9.162189,7.503221,4.882171,-13.469318,4.777696,4.552674
0.020000,12.458955,2.742797,1.172762,-7.755093,-15.821280,-11.654715,0.087891,1.512830,-2.754639,-7.248471,-1.291489,0.426455,5.575528,4.250093,2.921077,-0.779078,8.310621,6.961078,4.785048,-13.267242,4.992448,4.372942
0.024000,12.624233,4.650755,0.745932,-7.998240,-15.317706,-11.530109,0.415988,0.868823,-2.956853,-7.615143,-1.506867,0.821284,5.673649,4.650958,3.335427,-1.306296,7.971563,6.816610,4.274332,-12.813852,4.214530,3.980610
0.028000,14.030569,7.024844,0.669902,-8.512699,-16.034330,-11.450209,0.782345,0.693801,-3.115781,-9.139599,-2.357439,1.211785,5.556465,4.795356,3.216117,-1.575514,7.484168,6.794862,4.097000,-12.742048,4.385661,4.183420
0.032000,15.227357,8.851229,0.939858,-9.689945,-16.832505,-11.475891,1.805618,0.995981,-3.485969,-10.908770,-2.440172,2.175222,5.756070,4.847619,2.824689,-2.129841,6.908869,6.630976,3.706324,-12.780002,4.676471,4.396020
0.036000,15.255395,7.387155,1.581786,-9.287203,-16.019040,-12.556446,2.876536,1.721697,-3.126764,-11.947807,-3.325615,3.117352,6.252279,5.592238,3.744487,-3.317017,6.163256,7.136614,2.663067,-11.839373,3.392991,4.534491
0.040000,11.933608,4.982344,1.383530,-8.001056,-13.792713,-11.518695,2.459647,1.422417,-1.941905,-10.453840,-3.670904,2.683240,6.279753,6.710243,5.361333,-3.053408,4.953794,7.894683,1.791139,-10.487410,1.423869,3.640029
