Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,4.893170,-1.145386,0.360262,0.193140,1.552543,0.996723,3.228381,0.296962,-1.532568,-2.007980,-2.463652,2.856038,-3.842902,-2.813648,-1.838032,0.197449,1.083210,-1.061683,-0.350695,1.993329,-1.581578,0.986274,0.000000
0.004000,6.988771,2.454308,-0.707785,-1.117727,0.741976,-0.155800,2.492301,-0.761437,-1.783414,-2.086071,-0.767052,2.411766,-3.180617,-2.938252,-1.840955,0.718267,1.796165,-0.666901,-0.460236,1.054111,-2.654133,0.462056,0.000000
0.008000,5.562794,1.279878,-0.364302,0.016678,1.402910,1.137030,3.379212,-0.423205,-1.030877,-1.793229,-0.833216,3.027697,-3.405940,-2.705081,-1.807048,-0.848824,0.695837,-1.230876,-1.182602,1.630705,-2.585821,0.078303,0.000000
0.012000,2.816729,-5.443626,0.462224,2.412241,3.903379,4.217274,4.868885,0.400206,-1.071366,-1.254125,-1.842354,4.003837,-3.826481,-2.312761,-2.050242,-2.896384,-0.470354,-2.155911,-1.973765,3.952287,-1.995536,0.254797,0.000000
0.016000,1.749768,-8.689681,0.149329,3.213958,5.260903,5.324198,5.098239,0.096810,-1.582831,-0.610557,-1.907981,4.003837,-3.867532,-1.719963,-1.710588,-3.043864,-0.653685,-2.253589,-2.108353,5.155591,-2.063848,0.159264,0.000000
0.020000,3.383490,-5.997005,-1.118180,2.071032,4.362466,4.219780,4.501127,-1.161741,-2.025418,-0.348198,-0.912828,3.484146,-3.395905,-1.356636,-1.002635,-1.691500,-0.055821,-1.712290,-1.940035,4.299145,-2.995108,-0.607836,0.000000
0.024000,5.365134,-2.227041,-2.404807,1.097823,3.039326,3.463624,4.346906,-2.445629,-1.740133,-0.245104,-0.041398,3.342733,-2.449915,-1.047591,-0.247329,-1.342279,0.312878,-1.365765,-2.217894,3.041223,-4.281356,-1.952993,0.000000
0.028000,5.181592,-1.798090,-1.973382,1.136524,2.538213,3.580881,4.065580,-2.021889,-1.278000,-0.934225,-0.535746,3.297952,-1.788542,-0.955680,-0.280652,-2.115389,0.355316,-0.693646,-2.234592,2.407757,-4.207206,-1.746544,0.000000
0.032000,2.129961,-4.069455,0.305458,2.013158,2.823472,3.619466,2.497950,0.241224,0.033938,-2.560099,-1.655158,2.484829,-1.536765,-0.954446,-0.841870,-2.919573,0.598740,0.354068,-1.674199,2.223066,-3.145161,0.030942,0.000000
0.036000,1.349405,-5.327929,1.077179,2.732502,3.536618,4.154136,2.144315,0.998762,0.687347,-3.553022,-1.926270,2.401160,-1.557746,-1.071649,-1.059342,-3.690828,0.868644,0.501167,-1.707929,2.694365,-3.634437,0.383524,0.000000
0.040000,4.887119,-3.060930,-0.257242,1.889243,3.459572,4.224791,2.693974,-0.335797,0.061396,-3.622551,-0.764900,2.945599,-1.491153,-1.693439,-1.255768,-3.873091,1.568698,0.149409,-2.323093,2.576681,-5.288518,-0.488824,0.000000
0.044000,7.388125,-1.274181,-0.708422,0.949410,3.312486,3.789338,2.770237,-0.780439,-0.747454,-3.522539,0.078559,3.144755,-1.743843,-2.661284,-2.036796,-4.064630,1.957089,-0.383751,-2.344800,2.459560,-5.345737,-0.236228,0.000000
0.048000,5.959123,-3.703810,-0.358566,2.194947,4.543300,5.363284,4.283636,-0.427639,-0.524066,-2.837186,0.050587,4.157820,-2.095054,-2.771085,-2.650629,-5.629402,0.873737,-1.529143,-3.235819,3.720861,-4.936450,-0.448344,0.000000
0.052000,4.331452,-9.035679,0.044182,3.872587,6.455423,7.953455,5.572200,-0.026701,-0.664614,-1.596631,-0.206539,5.048327,-3.295559,-2.611936,-2.750596,-6.899214,-0.417392,-2.646628,-4.197639,5.340282,-4.030880,-0.237442,0.000000
0.056000,3.596277,7.566790,-6.048656,-5.251644,-3.589750,-7.245322,-5.627743,-5.986295,-3.686398,1.032099,3.587950,-5.320365,2.733420,4.133992,5.779334,12.551913,4.564469,4.294917,3.706980,-2.855922,-4.531833,-3.402994,1.000000
