Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-4.656719,-1.553250,-2.743874,-1.284804,3.363473,-1.477947,-2.139179,-2.183107,0.950993,5.567954,1.962426,-0.023776,-0.758781,1.522735,10.764196,-6.467339,3.256457,0.066111,6.369921,-0.183943,-6.467339,-3.885272,0.000000
0.004000,-4.744107,-1.070871,-4.414252,-2.705990,4.826863,-0.946031,-0.142857,-3.118721,1.153518,4.456394,3.081166,0.833072,-1.386778,1.786506,12.968764,-9.779548,3.645442,1.444630,6.111824,1.583656,-9.779548,-3.805668,0.000000
0.008000,-3.388307,-1.038039,-7.185696,-3.131636,7.135105,-0.879423,2.327356,-4.835130,1.478333,2.650012,2.961906,1.987713,-2.109180,1.706056,15.979340,-14.170973,3.807875,3.878257,5.222931,5.019915,-14.170973,-3.245122,0.000000
0.012000,-2.583824,-0.648263,-9.393758,-3.116659,8.564462,0.094012,5.223517,-5.567301,1.569635,1.892522,2.707801,2.840193,-2.051032,0.460396,16.423755,-16.279367,3.608681,4.035496,4.267272,7.737908,-16.279367,-3.506323,0.000000
0.016000,-2.274110,0.735735,-10.047084,-3.232530,8.687829,1.096946,6.249125,-5.414719,1.419125,1.571352,1.410849,2.802076,-2.137912,-0.648761,13.691275,-14.599716,3.417180,2.763291,3.614554,8.784387,-14.599716,-3.287412,0.000000
0.020000,-1.497899,2.325985,-9.803940,-3.098530,8.249663,1.821075,5.239499,-5.181654,1.416358,0.600794,-0.788007,2.381593,-2.599674,-1.282471,10.625484,-12.042957,3.158997,2.291575,3.372400,9.106893,-12.042957,-2.250899,0.000000
0.024000,-1.013410,3.904450,-8.142457,-2.952707,7.380988,2.860167,4.441109,-4.286281,1.429085,-0.415982,-2.489495,1.995654,-2.823372,-2.572312,7.233789,-9.613742,2.417789,2.029808,2.725661,9.093574,-9.613742,-1.586701,0.000000
0.028000,-2.136603,5.533426,-5.507411,-3.912776,4.814951,3.598569,4.148574,-2.298242,0.726334,-1.146838,-3.020066,1.811023,-2.456015,-4.195164,2.404478,-5.059453,2.072405,0.720081,2.884107,7.006323,-5.059453,-0.928308,0.000000
0.032000,-3.818822,6.305400,-3.661100,-5.728866,1.327489,2.939146,3.334203,-0.310203,-0.737822,-1.946629,-3.114254,2.132241,-1.894375,-5.016811,-2.104989,0.752611,2.817888,-0.184042,3.553766,3.422606,0.752611,1.180374,0.000000
0.036000,-3.849665,6.159760,-2.970216,-6.753570,-0.574066,1.331978,3.232754,0.571755,-2.040954,-3.100489,-2.841854,2.829473,-1.388146,-5.313553,-3.670542,3.095489,3.366741,0.360040,3.342505,1.913773,3.095489,3.202818,0.000000
0.040000,-1.879579,5.615085,-2.818992,-5.978736,-0.108674,0.112092,4.762133,0.831648,-2.633589,-4.228499,-2.437318,3.448484,-0.750572,-5.998699,-4.036848,1.905409,2.562269,0.973807,1.178071,3.487298,1.905409,4.089243,0.000000
0.044000,-0.374706,4.771553,-3.607727,-4.778256,0.902085,-1.030719,6.372809,1.018883,-2.612562,-4.172098,-1.889129,3.712923,-0.009700,-5.999358,-4.591693,0.913512,2.024530,0.293928,-0.954474,4.559464,0.913512,4.537846,0.000000
0.048000,0.636682,3.587915,-4.399427,-2.895954,2.465020,-2.560811,6.351269,1.193262,-1.345397,-3.014321,-1.960956,3.024030,0.833102,-3.842370,-3.756058,-0.956473,1.420963,-0.356469,-3.000322,5.000888,-0.956473,4.531213,0.000000
0.052000,2.857365,2.382389,-3.580052,-0.070136,5.326287,-3.400078,5.565386,0.927221,0.962613,-2.422899,-2.862860,1.760994,1.276394,-1.446669,-0.691614,-5.807055,-0.209353,0.511918,-5.550407,7.130950,-5.807055,3.145602,0.000000
0.056000,4.357098,1.780468,-2.301076,1.934342,7.563061,-3.043246,4.700290,0.287271,2.256339,-3.138089,-3.893510,0.918837,0.872779,-0.179908,1.556723,-9.149679,-1.541304,1.514315,-6.532973,9.352340,-9.149679,1.834621,0.000000
0.060000,3.669560,1.701334,-1.915604,1.785366,7.820005,-2.535119,3.139643,-0.064842,1.798168,-3.829778,-4.551472,0.688147,0.433592,0.626572,1.746609,-8.180348,-1.358353,1.554518,-5.341139,9.191563,-8.180348,1.804769,0.000000
0.064000,4.035819,1.684497,-0.232377,1.745955,8.187554,-2.179239,0.934170,-0.048075,1.692478,-4.391433,-5.450666,0.109635,0.105228,1.411951,2.299435,-8.097935,-1.605422,2.029808,-5.025243,9.245790,-8.097935,1.647219,0.000000
0.068000,6.210238,1.664293,2.165456,2.577541,9.305516,-1.432273,-0.755026,-0.438193,1.993499,-5.943230,-6.120825,-0.281465,-0.840188,1.034099,2.846873,-9.582346,-2.483416,3.296652,-5.928087,10.997216,-9.582346,1.296463,0.000000
0.072000,6.535373,2.354608,1.524979,1.986366,8.569567,-0.452177,-0.855780,-1.188249,0.585784,-7.537328,-5.500131,0.704426,-2.001093,-1.149267,0.660485,-7.083472,-1.495139,2.866033,-4.711341,11.060956,-7.083472,2.209424,0.000000
0.076000,6.122850,3.414495,-0.277843,1.175273,6.764152,-0.523543,-0.178990,-0.763478,-0.918767,-8.463236,-4.634141,1.704214,-1.257485,-2.601327,-2.537283,-3.507346,-0.374350,0.891614,-3.362057,9.677700,-3.507346,3.155553,0.000000
0.080000,6.874644,1.623884,-0.370751,1.585155,5.386694,-3.598951,-1.292149,-0.910471,-1.435593,-11.165759,-6.122858,0.331193,-0.758097,-3.865450,-4.203840,-6.441830,-2.625331,-0.514601,-7.040199,8.694961,-6.441830,32.290687,0.000000
0.084000,9.512991,1.723222,2.024116,4.589902,6.166034,-3.865385,0.647194,0.722102,0.559777,-11.176726,-3.981600,2.207285,1.257923,-2.825532,-1.987825,-6.212251,-1.539594,2.118255,-6.000833,9.713851,-6.212251,2.560180,0.000000
0.088000,6.683161,1.061530,-0.151329,3.169505,2.477782,-4.521954,2.270378,0.292860,-1.105798,-11.196310,-1.674326,3.558866,1.159414,-3.722354,-2.653100,-2.321190,0.607942,1.241828,-1.753680,5.655413,-2.321190,3.242620,0.000000
0.092000,4.436775,0.138864,-0.278831,1.736496,-0.447296,-5.070047,2.577505,1.275422,-1.827916,-9.692296,-0.105650,3.483028,2.358628,-2.540000,-2.585092,-0.160797,1.067030,0.361827,0.052008,2.136388,-0.160797,3.246766,0.000000
0.096000,3.765944,-1.953969,1.527945,1.490567,-0.878656,-5.245132,0.779217,1.761114,-1.162239,-6.813521,0.766438,2.174726,2.822443,-0.556441,-0.624952,-0.871117,-0.453002,2.124509,-1.002307,0.530517,-0.871117,2.687049,0.000000
0.100000,0.657244,-2.800868,0.010767,-1.117699,-2.650889,-3.434333,-0.339502,0.160957,-2.590981,-2.240381,2.470636,1.663715,0.856361,-0.883517,-0.084246,2.463658,-0.028111,3.195698,1.531834,-2.283561,2.463658,2.978931,0.000000
0.104000,-2.396196,-2.535686,-3.876569,-4.413304,-3.980702,-0.967917,-1.184447,-1.047404,-3.974902,2.673512,3.434880,0.925984,0.133959,-0.546550,-0.660639,6.375323,0.393360,2.247798,4.538324,-4.630530,6.375323,3.117409,0.000000
0.108000,-0.796225,-3.395213,-4.898563,-3.887552,-0.842922,0.205344,-3.348924,-0.012863,-2.010520,6.011325,1.273971,-1.216136,2.767031,2.354932,0.605944,3.397670,-3.266515,3.467292,0.602085,-2.819169,3.397670,2.412580,0.000000
0.112000,2.466690,-4.978729,-4.435997,-1.037299,4.164083,0.496518,-4.992953,0.303479,0.588551,6.634080,-2.057177,-2.811112,4.564142,4.668865,3.693955,-2.758763,-7.610318,7.243702,-4.732267,1.440003,-2.758763,1.907591,0.000000
0.116000,4.312119,-4.895386,-4.151341,0.731498,6.970899,0.690634,-3.881184,0.191138,1.066643,4.395294,-4.627365,-2.981847,5.094314,5.573600,5.734225,-6.891176,-9.522754,8.445328,-6.066603,4.940002,-6.891176,1.764138,0.000000
0.120000,6.109999,-3.888536,-3.311210,1.847637,8.423228,0.425152,-1.939061,1.993061,1.264741,0.370492,-7.104042,-2.909582,7.899777,7.423294,6.551679,-10.498698,-11.058175,7.193672,-7.162771,7.667508,-10.498698,1.201104,0.000000
0.124000,7.900168,-2.825282,-2.298111,3.395728,9.265528,0.078788,-0.991972,3.296437,1.667578,-3.098139,-8.585983,-2.730907,10.197644,8.604989,6.679617,-13.079004,-12.139637,6.737143,-9.250473,9.863213,-13.079004,0.393453,0.000000
0.128000,8.181609,-0.742550,-1.187161,4.310867,7.935715,0.236745,-0.361737,1.254183,0.815976,-4.746286,-7.462500,-2.395791,7.372342,7.172712,6.198840,-12.007637,-10.647817,6.488778,-7.500590,9.740489,-12.007637,-0.647206,0.000000
0.132000,6.020041,2.272107,-0.726572,2.823470,4.026252,1.076963,0.290733,-1.404547,-0.983508,-3.925346,-3.930101,-1.996352,2.817654,4.370144,4.034000,-6.869592,-6.827219,3.985465,-2.288809,6.106351,-6.869592,-1.999648,0.000000
0.136000,1.883246,4.383461,-3.313187,-0.744864,-1.097313,1.988548,-0.069203,-3.196409,-2.684497,0.243591,0.954815,-1.527429,0.523208,1.872231,1.471880,0.244399,-2.776651,1.422295,3.104337,0.381156,0.244399,-3.305654,0.000000
0.140000,-1.781910,4.514790,-6.811097,-3.234895,-4.558400,2.215968,-1.417918,-5.814898,-3.339107,5.741072,4.845671,-1.596517,-1.970993,0.572499,1.023424,5.389312,-0.119587,1.797524,6.724681,-3.612591,5.389312,-3.956585,0.000000
0.144000,-3.557943,3.086174,-6.784410,-3.252236,-5.746128,1.053174,-3.146026,-7.513981,-2.126170,9.062435,5.858026,-2.734083,-4.320851,1.758810,3.167391,6.057445,0.411313,3.811252,8.559268,-5.415389,6.057445,-4.285781,0.000000
0.148000,-4.853342,0.858644,-5.879046,-3.074883,-6.277032,-1.213417,-4.127858,-5.759007,0.077811,9.776841,4.550910,-3.882371,-2.434808,5.261031,5.324151,4.720199,-0.522250,4.622461,9.114327,-6.834796,4.720199,-4.166375,0.000000
0.152000,-4.920168,-0.820842,-7.694717,-2.746190,-6.116230,-2.984250,-4.041000,-3.410471,1.528134,8.872866,2.209077,-4.117031,2.007689,8.580590,6.684330,2.910061,-1.944822,4.801141,8.168633,-6.135558,2.910061,-3.742648,0.000000
0.156000,-0.883613,-1.224087,-7.278605,0.473745,-3.051619,-4.053792,-4.305741,-2.928133,3.321532,5.583621,-1.433773,-4.676484,3.771963,10.928813,8.360314,-1.760979,-3.725602,5.276431,4.930952,-1.636647,-1.760979,-3.928391,0.000000
0.160000,5.522700,-0.785484,-2.385089,5.177924,1.001630,-4.805516,-5.635695,-2.218877,5.467412,0.299991,-5.464895,-5.783081,3.736390,12.423076,8.540100,-6.856837,-5.683348,4.895842,0.389827,3.375039,-6.856837,-4.352947,0.000000
0.164000,8.951394,0.888951,0.136292,7.222603,2.389298,-3.899641,-5.277150,-1.731509,5.727485,-2.559201,-6.424396,-5.999079,3.434706,10.888587,5.537605,-7.206111,-6.680175,3.223393,-1.639081,5.109341,-7.206111,-4.887788,0.000000
0.168000,10.016757,3.917920,-0.821457,6.804051,1.874559,-1.319990,-3.132129,-3.466362,3.961755,-1.952112,-3.785092,-5.286363,1.005493,6.219839,1.400504,-4.463923,-6.139016,1.475899,-1.422837,5.192108,-4.463923,-5.615834,0.000000
0.172000,9.899811,6.233843,-0.499242,6.156911,1.177747,0.818142,-2.050238,-5.442664,2.242505,-0.670567,-0.591499,-4.482323,-2.873995,1.832006,-1.399985,-1.892447,-4.062437,-0.432408,-0.412369,4.305455,-1.892447,-5.963274,0.000000
0.176000,7.114961,6.642981,-0.130573,4.065727,-0.704240,1.783013,-1.513114,-5.883643,0.524916,0.892980,2.562114,-3.592123,-4.918063,-0.576883,-3.120410,1.495308,-2.172228,-1.299901,1.676329,1.080395,1.495308,-5.421799,0.000000
0.180000,2.333037,6.586577,-3.154056,0.749627,-3.061829,2.747884,0.675683,-6.697974,-1.952419,3.716921,6.583750,-1.932426,-5.960620,-3.326038,-4.456348,5.449160,-0.628259,-0.807637,4.282220,-2.170351,5.449160,-4.425088,0.000000
