Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-0.104885,-5.480528,2.645282,2.519675,-0.730081,-4.230335,-0.229920,-0.605081,6.144801,0.520027,-1.730034,-1.105178,-0.730078,4.394943,3.019936,0.519999,1.019491,-0.730286,-0.230062,-1.605039,-1.605576,-1.667381,0.000000
0.004000,0.337717,-9.412365,5.463496,4.087893,-2.286596,-7.786811,-1.412181,1.337763,6.838379,0.588045,-2.786917,-0.287009,1.338341,5.087807,3.838264,0.713128,1.838393,-0.037033,-0.537160,-2.410200,-2.037053,-2.474866,0.000000
0.008000,0.520051,-12.230745,7.645220,5.270397,-3.730045,-10.230218,-1.980406,2.769747,6.394849,0.894900,-3.230058,0.770109,3.019676,5.020048,4.144816,1.270005,2.270160,0.769801,-0.479826,-3.230341,-2.355042,-3.292704,0.000000
0.012000,0.303897,-13.821397,8.679056,5.678851,-4.821091,-11.696262,-1.695891,3.429525,5.179320,1.554212,-3.196255,1.803801,4.303890,4.553711,4.053748,1.803778,2.554448,1.679134,-0.195793,-3.822041,-2.446056,-3.883585,0.000000
0.016000,0.087742,-13.787573,8.463214,4.963401,-5.536625,-12.162443,-0.786892,3.337807,3.963148,1.963094,-2.786917,2.588001,4.838404,4.088038,3.713206,2.213142,2.463243,2.338452,0.088240,-3.911919,-2.161776,-3.974368,0.000000
0.020000,-0.060037,-12.809413,7.440415,3.565737,-6.059865,-12.059785,0.565756,2.690850,3.315208,2.065121,-2.309445,2.815238,4.940665,4.190340,3.190528,2.190630,2.190599,2.690273,0.065175,-3.436312,-1.684231,-3.497362,0.000000
0.024000,-0.269574,-11.395195,6.104891,1.729881,-6.520382,-11.895251,1.730335,1.855525,3.730455,1.605226,-2.269832,2.480240,4.730498,5.105078,2.855116,1.730317,2.105216,2.730442,-0.019838,-2.518803,-1.020162,-2.582372,0.000000
0.028000,-0.400443,-10.025771,5.099262,-0.025508,-7.025465,-11.525400,2.599148,0.974835,5.099613,0.724081,-2.900475,1.724737,4.349688,6.599750,2.849344,0.974386,2.224558,2.474194,-0.400745,-1.399067,-0.525762,-1.462723,0.000000
0.032000,-0.519549,-9.520236,4.730123,-1.395184,-7.519820,-11.145002,2.730154,0.605005,6.855091,-0.519569,-3.895033,0.980362,4.230489,8.105050,3.355348,0.230304,2.855229,2.230413,-0.769791,-0.519007,-0.520144,-0.582771,0.000000
0.036000,-0.650418,-9.775289,5.099262,-2.025795,-7.900283,-10.525536,2.224618,0.724337,7.974844,-1.650371,-5.150511,0.474350,4.474533,9.224393,3.974224,-0.275625,3.724585,2.349533,-0.900275,-0.152003,-1.025780,-0.213271,0.000000
0.040000,-1.008470,-10.883261,6.117155,-1.883229,-8.383908,-9.633956,1.116299,1.366363,7.991556,-2.383885,-6.133449,0.616666,5.116327,9.241665,4.741888,-0.258444,4.866585,2.866184,-0.758587,-0.384189,-1.883114,-0.445801,0.000000
0.044000,-1.412105,-12.411750,7.213536,-1.411802,-8.537414,-8.411901,-0.037029,2.213522,6.338282,-2.662141,-6.662154,1.462946,6.088114,8.213331,5.213260,0.338125,5.712654,4.087862,-0.286737,-1.035808,-2.912365,-1.099593,0.000000
0.048000,-1.690018,-13.690671,8.059736,-0.815302,-8.690094,-7.190549,-1.190356,3.059694,3.434769,-2.440309,-6.565498,2.809967,7.184746,6.184564,5.059984,1.059695,6.185173,5.559555,0.559432,-1.691172,-3.440474,-1.752589,0.000000
0.052000,-1.837797,-14.588384,8.411706,-0.587897,-8.963269,-6.338345,-1.838148,3.662271,0.161646,-2.087851,-5.838198,4.287004,8.287024,4.036887,4.287190,1.662189,6.161886,6.912127,1.412190,-1.964553,-3.213500,-2.025733,0.000000
