Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,7.378174,4.003004,-0.246940,-0.746890,-3.121967,4.753422,-2.871944,1.753214,-1.871815,-2.496979,-0.871817,-1.371862,-1.121924,-1.746896,-2.371853,-1.496976,-1.496925,5.503191,-0.746967,-0.809467,0.000000
0.004000,17.566023,7.565794,-1.684467,-4.184527,-7.559487,10.815753,-2.059392,2.065539,-5.434342,-6.434440,-0.434459,-2.434311,-2.934461,-5.059333,-6.184396,-3.309404,-3.434508,12.065411,0.565540,0.503040,0.000000
0.008000,25.953639,10.203269,-3.046920,-7.046974,-11.297013,15.828520,-1.421875,2.203247,-8.297021,-9.547073,-0.046915,-3.421865,-4.296878,-7.796996,-9.296875,-4.796913,-5.046965,17.453992,1.953100,1.765588,0.000000
0.012000,31.697400,11.696902,-4.053188,-9.053260,-13.678300,19.197200,-0.928235,2.071902,-10.178300,-11.678300,0.196891,-4.178254,-5.303164,-9.678270,-11.303300,-5.678210,-6.053220,20.946696,3.071989,2.884477,0.000000
0.016000,-1.284031,-1.409282,0.340695,2.090593,2.090767,-1.159526,-4.534316,0.340753,3.090667,2.590641,-0.409442,-1.909328,-0.534374,0.715751,1.715607,1.090694,0.840713,-2.534540,-0.534470,-0.596970,1.000000
0.020000,-0.734169,-1.609597,0.015652,2.515744,2.515600,-0.609344,-4.734399,0.265663,2.890636,2.765481,-0.609358,-2.234352,-0.984328,0.265641,1.765683,0.640553,0.390580,-1.984397,-0.234488,-0.296988,0.000000
0.024000,-0.202796,-1.703304,-0.328075,2.796971,2.671794,0.046741,-4.828179,0.171991,2.671852,2.796932,-0.828147,-2.453275,-1.328071,-0.078187,1.671916,0.171793,-0.203195,-1.078777,0.046845,-0.015655,0.000000
0.028000,0.177930,-1.572038,-0.696883,2.928159,2.803043,0.678288,-4.696826,0.053119,2.178026,2.803019,-1.071953,-2.571858,-1.571879,-0.446995,1.428254,-0.321792,-0.696816,0.052543,0.303085,0.240585,0.000000
0.032000,0.521679,-1.478330,-0.978160,2.896827,2.646849,1.271950,-4.353172,-0.103171,1.771974,2.646779,-1.353065,-2.603064,-1.603098,-0.603238,1.271975,-0.853162,-1.228088,1.147187,0.521797,0.459297,0.000000
0.036000,0.653153,-1.097049,-1.346968,2.778121,2.403155,1.653375,-3.971944,-0.096807,1.278149,2.403287,-1.596870,-2.471998,-1.596821,-0.596875,1.153001,-1.221890,-1.721897,2.152961,0.653025,0.590525,0.000000
0.040000,0.821604,-0.803027,-1.428103,2.446966,2.197071,1.946978,-3.428207,-0.303242,0.821828,2.196996,-1.928236,-2.178181,-1.428171,-0.553042,1.072005,-1.553198,-1.928231,2.697462,0.696768,0.634268,0.000000
0.044000,0.846940,-0.277960,-1.528090,1.971887,1.847074,1.971947,-2.903102,-0.403023,0.471775,1.846977,-2.278254,-1.778262,-1.278186,-0.278027,0.971852,-1.653230,-2.028198,3.096668,0.721862,0.659362,0.000000
0.048000,1.046889,0.296806,-1.703152,1.421916,1.421858,1.922009,-2.203269,-0.453168,0.046970,1.547009,-2.578238,-1.328174,-0.953109,0.046948,0.921775,-1.703063,-1.953082,2.921751,0.671903,0.609403,0.000000
0.052000,1.415975,0.790763,-1.709380,0.790685,0.915667,1.915551,-1.584386,-0.584512,-0.209320,1.165539,-2.834333,-0.834397,-0.709466,0.415520,0.665679,-1.584412,-1.834477,2.540882,0.665687,0.603187,0.000000
0.056000,2.090463,1.215673,-1.659386,0.215750,0.215672,1.840644,-0.909295,-0.784329,-0.534370,0.590628,-2.909384,-0.284449,-0.534374,0.590616,0.465708,-1.284319,-1.534389,1.841213,0.715646,0.653146,0.000000
0.060000,2.847122,1.596953,-1.653158,-0.403254,-0.402963,1.847101,-0.278193,-0.903201,-0.903176,-0.028246,-2.653070,0.096986,-0.403054,0.721878,-0.028000,-1.028217,-1.153161,1.096404,0.846874,0.784374,0.000000
0.064000,3.734570,1.734290,-1.515634,-1.015635,-1.265676,2.109277,0.359324,-1.015709,-1.390751,-0.765484,-2.265745,0.484422,-0.390666,0.609469,-0.515659,-0.765726,-0.765719,0.484194,1.109329,1.046829,0.000000
0.068000,4.709667,1.834447,-1.415646,-1.540642,-2.040506,2.334430,0.959269,-1.165635,-1.790552,-1.540599,-1.665557,0.709346,-0.415608,0.334453,-1.165646,-0.415617,-0.415554,-0.166104,1.459500,1.397000,0.000000
0.072000,5.409491,1.659551,-1.340572,-1.965538,-2.840664,2.784305,1.534470,-1.340761,-2.340637,-2.215611,-0.965740,0.909306,-0.465658,-0.090677,-1.715816,-0.090697,-0.090615,-0.590701,1.909357,1.846857,0.000000
0.076000,5.721741,1.471757,-1.153222,-2.278097,-3.527994,3.222125,1.971904,-1.403124,-2.778204,-2.903137,-0.028043,0.971958,-0.528097,-0.528062,-2.278086,0.096952,0.096893,-0.778314,2.347013,2.284513,0.000000
0.080000,5.759403,1.009288,-0.990616,-2.365725,-3.990820,3.509270,2.384289,-1.490687,-3.115756,-3.365770,0.884419,0.884341,-0.615643,-0.865528,-2.740538,0.259412,0.259362,-0.865773,2.759344,2.696844,0.000000
0.084000,5.265691,0.640527,-0.734420,-2.484431,-4.359622,3.640573,2.765517,-1.359342,-3.234524,-3.734390,1.640634,0.890582,-0.609366,-1.234336,-2.984536,0.265618,0.390580,-0.734585,3.015584,2.953084,0.000000
