Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-0.221687,-0.096837,2.528316,4.278555,4.028323,-0.471986,0.028222,0.653208,2.778304,1.277999,-0.971891,0.903252,-0.596944,-0.596759,-0.971782,-1.221830,-2.346869,-6.846056,-1.221896,-0.909489,0.000000
0.004000,-0.890815,0.109288,3.734678,6.734109,5.234610,-1.390707,-0.390641,1.484462,4.734509,2.359372,-1.390575,0.984424,-0.390623,-0.140679,-1.140722,-1.265805,-3.140762,-11.014717,-2.265582,-1.952971,0.000000
0.008000,-1.359290,0.265499,4.890941,8.890843,6.015738,-2.234322,-0.859459,2.140672,6.390756,3.140762,-1.859402,0.890662,-0.109305,0.390583,-1.359294,-1.359316,-3.734518,-13.984888,-3.234511,-2.922135,0.000000
0.012000,-1.771719,0.603341,5.727913,10.353708,6.103136,-3.021938,-1.021875,2.728143,7.478237,3.478107,-2.146777,0.728317,0.228018,0.853214,-1.521872,-1.396720,-4.147003,-15.523322,-4.021887,-3.709636,0.000000
0.016000,-2.065638,1.184281,6.184140,10.934465,5.559625,-3.690638,-0.940667,3.059309,8.059604,3.434277,-2.315693,0.559345,0.684435,1.309295,-1.815528,-1.315846,-4.315696,-15.565505,-4.690817,-4.253324,0.000000
0.020000,-2.103288,1.646907,6.271644,10.521689,4.146676,-3.978212,-0.603012,3.271923,8.022153,2.896825,-2.103217,0.521907,1.271855,1.646832,-1.978105,-1.228401,-4.228020,-14.478675,-4.978194,-4.540596,0.000000
0.024000,-1.921887,2.328136,5.828109,9.078238,2.078235,-4.047058,0.078176,3.328138,7.203129,1.953049,-1.546955,0.578230,1.828053,1.828079,-2.046827,-0.922091,-3.671998,-12.548188,-4.921884,-4.484533,0.000000
0.028000,-1.615560,3.009365,4.884261,6.634502,-0.240566,-3.740708,1.009399,3.259400,5.884642,0.759228,-0.615570,0.884367,2.384251,2.009325,-1.990513,-0.490426,-2.990566,-10.240537,-4.615574,-4.178138,0.000000
0.032000,-1.052963,3.447034,3.571692,3.572024,-2.678176,-3.303253,2.071785,3.071832,4.196894,-0.303104,0.446811,1.446941,2.946886,2.072029,-1.803120,0.071649,-2.053135,-8.054471,-4.053440,-3.615761,0.000000
0.036000,-0.490793,3.634211,1.884389,0.259686,-4.865880,-2.490602,3.009419,2.759312,2.259589,-1.240772,1.634234,2.134422,3.259426,2.134420,-1.490692,0.759584,-0.865624,-6.240607,-3.240822,-2.803054,0.000000
0.040000,0.240798,3.615724,0.115592,-3.134533,-6.509616,-1.509294,3.740561,2.365531,0.240732,-1.884566,2.740489,2.740731,3.490531,1.990608,-0.884289,1.490483,0.240501,-5.133927,-2.134515,-1.821721,0.000000
0.044000,0.928322,3.053271,-1.822201,-6.197011,-7.322153,-0.446951,4.178124,1.928058,-1.571969,-2.072100,3.678142,3.303305,3.428088,1.803122,-0.196757,2.177912,1.428012,-4.573143,-0.947140,-0.759551,0.000000
0.048000,1.515734,2.265744,-3.609701,-8.484584,-7.359479,0.640757,4.140725,1.265726,-3.109563,-1.734395,4.390783,3.640585,3.140654,1.515498,0.640626,2.765765,2.265559,-4.483814,0.265477,0.328260,0.000000
0.052000,1.978220,1.102940,-5.146710,-10.021732,-6.397181,1.728135,3.603255,0.603116,-4.396899,-1.147005,4.603260,3.603146,2.478238,1.228186,1.478009,3.228264,3.103106,-4.647583,1.603337,1.415636,0.000000
0.056000,2.159620,-0.090829,-6.090557,-10.465741,-4.840844,2.534528,2.659476,-0.090663,-5.215573,-0.215804,4.534314,3.159514,1.659391,0.784272,2.159497,3.409219,3.534457,-4.590512,2.659159,2.346990,0.000000
0.060000,2.309361,-1.440809,-6.565487,-9.815766,-2.815647,3.184451,1.309389,-0.940563,-5.690536,0.684502,3.934492,2.184451,0.559226,0.309474,2.809487,3.434493,3.684284,-3.940400,3.684398,3.121887,0.000000
0.064000,2.047100,-2.578194,-6.328356,-8.328422,-0.703052,3.546801,-0.203115,-1.703079,-5.828090,1.546726,3.046981,1.047043,-0.578276,-0.203070,3.046830,3.172157,3.672076,-2.702208,4.421774,3.609512,0.000000
0.068000,1.621836,-3.378200,-5.503408,-6.127793,1.371761,3.621906,-1.628266,-2.503165,-5.628234,2.121901,1.871781,-0.377948,-1.753115,-0.753050,3.121915,2.621708,3.372053,-0.754352,4.871772,3.809429,0.000000
0.072000,0.990786,-3.759485,-4.134728,-3.509324,2.990461,3.365626,-3.009340,-3.009376,-5.134370,2.365479,0.490685,-1.884442,-2.759292,-1.259355,2.865800,1.990891,2.865604,1.990017,4.865462,3.678179,0.000000
