Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,2.509403,0.259582,-6.490895,-9.616122,-4.240686,1.759418,1.759506,-0.740792,-1.740732,0.884422,1.884430,1.759499,1.134277,0.634363,3.509490,2.259258,2.134507,-3.615935,2.634316,3.322080,0.000000
0.004000,1.446975,-0.303103,-7.178063,-9.553217,-5.053353,1.946825,1.821984,-0.303040,-1.303099,0.071713,2.322004,2.196953,1.446795,1.196895,4.071953,2.197023,3.071943,-4.177371,2.946971,3.134241,0.000000
0.008000,0.165654,-0.959569,-7.334596,-8.334731,-5.084422,2.165673,1.540713,0.290756,-0.584281,-0.834363,2.540540,2.415549,1.540609,1.790553,4.290688,1.790681,3.540842,-4.459336,2.915653,2.603059,0.000000
0.012000,-1.065625,-1.565680,-6.690511,-6.065505,-4.315552,2.059332,1.059321,0.684260,0.309484,-1.690689,2.684379,2.434398,1.434482,1.934299,4.059584,1.059411,3.684397,-4.314611,2.559153,1.747008,0.000000
0.016000,-2.015725,-2.265571,-5.390852,-2.890763,-2.765833,1.984430,0.234419,0.984256,1.359433,-2.390607,2.484518,1.984378,0.984468,1.984383,3.484426,0.109231,3.359414,-3.765651,1.859202,0.671941,0.000000
0.020000,-2.877980,-2.752954,-3.628054,0.746833,-0.753070,1.621944,-0.628065,1.246789,2.496856,-3.003291,2.121891,1.371786,0.371746,1.871764,2.496861,-1.128247,2.621801,-2.627808,0.996920,-0.565561,0.000000
0.024000,-3.421974,-3.171965,-1.547163,4.453546,1.453220,1.203051,-1.421847,1.328204,3.578254,-3.422083,1.703242,0.703170,-0.296971,1.703117,1.203002,-2.296976,1.578321,-1.297830,-0.171754,-1.859260,0.000000
0.028000,-3.621787,-3.246805,0.753449,7.628288,3.378016,0.628190,-2.121792,1.503127,4.503203,-3.746825,1.128136,-0.121997,-0.871875,1.503062,0.003211,-3.496823,0.378301,0.126969,-1.246996,-3.059425,0.000000
0.032000,-3.484258,-3.109598,2.765408,9.890524,4.765651,0.015724,-2.609408,1.640588,5.265625,-3.984334,0.515683,-0.734327,-1.234524,1.390725,-1.234338,-4.359440,-0.609271,1.641598,-2.484569,-4.047116,0.000000
0.036000,-3.178239,-2.552919,4.572006,10.946701,5.196877,-0.678116,-2.678110,1.696930,5.696916,-4.053167,-0.053114,-1.053189,-1.303126,1.447035,-2.303278,-4.928245,-1.428040,2.821861,-3.428276,-4.740733,0.000000
0.040000,-2.759532,-2.009175,5.740981,10.615869,4.615545,-1.259449,-2.509348,1.990731,5.740785,-4.134608,-0.509363,-1.134345,-1.009371,1.740752,-2.884294,-4.884463,-1.884315,3.740120,-4.134491,-5.072145,0.000000
0.044000,-2.340466,-1.215503,6.159601,9.034711,3.159408,-1.715639,-1.965717,2.159460,5.409389,-4.090650,-0.965612,-0.840614,-0.340654,2.159538,-3.090660,-4.340624,-1.840671,4.159325,-4.465938,-5.028265,0.000000
0.048000,-2.078009,-0.453245,6.046868,6.422227,0.797023,-2.078125,-1.078098,2.546770,4.672072,-3.953325,-1.203073,-0.203152,0.671951,2.671985,-2.953300,-3.328208,-1.328129,3.922275,-4.453410,-4.640655,0.000000
0.052000,-1.965682,0.284528,5.409245,3.159730,-1.965519,-2.340743,-0.215614,2.909301,3.659385,-3.840534,-1.215691,0.534315,1.784525,3.159532,-2.465702,-1.840702,-0.465716,3.408249,-4.090647,-3.903158,0.000000
0.056000,-2.027966,0.722018,4.347258,-0.153247,-4.778222,-2.403315,0.721796,3.096909,2.347015,-3.403341,-1.153108,1.471790,2.971858,3.471924,-1.778247,-0.028267,0.722040,2.347759,-3.527971,-2.965505,0.000000
0.060000,-2.315624,0.934527,2.934148,-3.190531,-7.065741,-2.315775,1.434428,3.309295,0.934485,-2.940591,-1.065542,2.309523,4.059513,3.434290,-0.940737,1.809497,1.934323,1.184964,-2.565473,-1.878121,0.000000
0.064000,-2.615523,0.884633,1.634489,-5.365788,-8.490809,-2.240566,1.884462,3.259443,-0.615729,-2.115615,-0.990595,2.884418,4.759306,3.134348,-0.115596,3.634234,2.884384,-0.115072,-1.490752,-0.803053,0.000000
0.068000,-2.946744,0.678131,0.428175,-6.571849,-8.947115,-2.071960,1.928268,2.928180,-1.946863,-1.196930,-0.821772,3.178148,4.928171,2.428071,0.552979,5.053353,3.803065,-1.322782,-0.322079,0.240451,0.000000
0.072000,-3.165638,0.209227,-0.415526,-6.540785,-8.165892,-1.915685,1.709475,2.334383,-3.165682,-0.040737,-0.790733,2.959290,4.709468,1.334416,0.959528,6.084585,4.209564,-2.166183,0.709319,1.146926,0.000000
0.076000,-3.190480,-0.315577,-1.065356,-5.440342,-6.315588,-1.815816,1.059321,1.434397,-4.065789,1.309347,-0.815716,2.434398,3.934330,-0.065689,1.184448,6.559313,4.184315,-2.565427,1.684344,1.871720,0.000000
0.080000,-2.965465,-0.715646,-1.215427,-3.590480,-3.840529,-1.715639,0.284450,0.534410,-4.590632,2.534374,-0.965612,1.409484,2.659340,-1.465511,1.159385,6.409513,3.784309,-2.590379,2.534621,2.346705,0.000000
0.084000,-2.490595,-0.990521,-0.990679,-1.115455,-0.740717,-1.615771,-0.490661,-0.615720,-4.865738,3.634342,-1.240673,0.259434,1.134277,-2.865616,0.884338,5.759295,3.009544,-2.241041,3.009607,2.571881,0.000000
0.088000,-1.721946,-0.972042,-0.597191,1.403060,2.278240,-1.596968,-1.221965,-1.721898,-4.846975,4.403093,-1.471826,-1.096908,-0.471993,-4.097074,0.528241,4.528330,2.028103,-1.347735,3.403166,2.590742,0.000000
0.092000,-0.928096,-0.553031,0.072025,3.822170,4.946826,-1.553199,-1.803178,-2.553154,-4.428105,4.821885,-1.803162,-2.303244,-2.053051,-4.928138,0.071891,2.946746,0.821951,-0.302217,3.321740,2.384427,0.000000
0.096000,-0.171688,0.078026,0.828125,5.703096,6.953225,-1.547034,-1.921910,-3.296801,-3.797026,4.953077,-2.046932,-3.171868,-3.421855,-5.421910,-0.296900,1.203060,-0.546872,0.828140,3.077984,2.015679,0.000000
0.100000,0.553038,0.928059,1.553350,6.928571,8.053375,-1.572001,-1.821850,-3.572018,-2.946865,4.428309,-2.196828,-3.947033,-4.321882,-5.322024,-0.696938,-0.446911,-1.696755,2.053318,2.552890,1.490655,0.000000
0.104000,1.209360,1.959648,2.334581,7.334733,8.334496,-1.415725,-1.415623,-3.665822,-2.040679,3.709309,-2.165536,-4.165629,-4.915842,-4.915688,-1.040666,-2.040797,-2.915531,3.083864,1.834148,0.896731,0.000000
0.108000,1.547062,2.921941,2.921941,7.171647,7.671935,-1.078206,-0.703230,-3.328069,-1.078204,2.672040,-2.078223,-4.078191,-5.078257,-4.203185,-1.203090,-3.453041,-3.828080,3.922275,1.047028,0.234292,0.000000
0.112000,1.796917,3.672188,3.296760,6.422227,6.547079,-0.828227,0.046985,-2.828076,-0.203202,1.421798,-1.703231,-3.578169,-4.703295,-3.203191,-1.453073,-4.328322,-4.703117,4.546092,0.171698,-0.390810,0.000000
0.116000,1.853081,4.353138,3.478425,5.352849,4.978269,-0.397004,0.728020,-2.146966,0.603089,0.228121,-1.146799,-3.021862,-4.146861,-2.146888,-1.521754,-4.897127,-5.271927,4.728247,-0.646739,-0.959329,0.000000
0.120000,1.909605,4.534694,3.409493,4.034182,3.409460,0.159363,1.284337,-1.465560,1.284380,-0.715780,-0.590620,-2.215544,-3.465537,-1.090584,-1.590759,-5.090709,-5.590778,4.533616,-1.340427,-1.403136,0.000000
