Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,4.116677,-1.114252,6.178201,-3.112306,-5.432769,-0.818984,1.105449,3.606647,5.894638,1.196506,-3.450963,-3.878341,0.910382,2.908474,1.955386,-5.553310,-2.095611,-5.721337,-3.308925,-3.936101,1.950420,8.597639
0.004000,4.433986,2.102269,7.166743,-4.639989,-7.179132,0.397360,1.596254,3.000451,3.293159,-0.872498,-4.077801,-3.468255,1.305144,0.176185,-2.583770,-6.352227,-0.326662,-5.151886,-1.717507,-4.110577,6.519587,10.489595
0.008000,4.427199,2.299464,7.938431,-4.637428,-8.457779,0.869324,2.125158,2.956219,1.564346,-2.274725,-3.991697,-1.925552,2.632871,-2.720789,-7.310672,-7.618499,2.107817,-5.621649,-0.201122,-5.098600,10.721808,12.216715
0.012000,4.842925,2.007392,8.554804,-4.468397,-8.957461,0.916408,2.675353,3.237564,0.765535,-3.227441,-3.979298,-0.758218,3.673714,-3.574162,-9.065192,-8.244280,2.892245,-6.094143,-0.196281,-5.348141,11.770444,12.579936
0.016000,4.118374,2.764548,8.333066,-5.417276,-10.217602,1.600252,2.827749,2.691552,-0.116849,-2.154855,-3.052128,-0.270020,2.994439,-3.921000,-10.010572,-6.816187,4.282755,-7.167496,0.828761,-6.291530,13.087764,11.907468
0.020000,3.514298,2.314347,8.051742,-5.821926,-10.759345,1.937689,2.761636,2.389179,-0.415188,-1.057297,-1.702015,0.198649,2.683846,-4.743182,-10.766544,-6.070456,6.003855,-8.486656,1.772720,-7.218689,13.884605,11.526742
0.024000,3.336130,0.651207,8.202172,-5.929491,-11.169858,0.183239,2.918515,2.927940,-0.073119,-1.860175,-1.788119,1.198911,4.077959,-4.271581,-9.224694,-6.607971,5.918307,-6.992701,1.298320,-8.277719,13.020209,12.458862
0.028000,2.002412,1.707878,7.391412,-8.350990,-13.244295,-0.914273,4.078294,2.215152,-1.119736,-2.817885,-2.066407,2.653739,4.317424,-3.622819,-7.186061,-5.519362,6.179300,-4.346189,1.790873,-9.975820,13.215197,13.609790
0.032000,-0.851675,2.749666,5.575503,-10.550955,-14.442186,-0.349262,4.359555,0.928073,-1.893280,-1.726570,-0.977362,3.042127,3.333484,-3.972152,-6.333723,-3.480199,7.469762,-3.065266,3.850640,-11.604941,14.314499,13.624377
0.036000,-2.850554,1.196285,4.109296,-10.186002,-12.451870,0.166423,3.231151,0.970130,-0.556098,-0.396764,0.024202,1.755456,3.168703,-3.295942,-4.295091,-2.795575,6.796982,-2.292342,4.239115,-11.209326,12.238722,12.435523
