Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,5.153213,3.438634,-8.046681,3.773539,16.621141,7.633497,2.722074,-5.312748,-4.198594,-8.014149,5.396232,-0.457598,-7.277625,0.534551,3.237504,-0.535640,-0.436538,-3.497930,-5.327958,18.497982,-16.242525,-7.662456,0.000000
0.004000,5.533521,1.190158,-7.029473,3.139332,16.513119,7.340998,2.263674,-5.201062,-5.650415,-9.164185,5.463196,0.650342,-6.486506,-0.860506,3.008536,-1.638421,0.427696,-2.438166,-5.039825,18.469745,-15.315617,-5.177812,0.000000
0.008000,7.838419,3.393509,-5.200446,5.460283,18.480913,8.373347,2.384955,-4.608081,-5.024883,-8.224636,5.188289,-1.174554,-7.944755,-1.081689,2.248837,-2.045294,-2.470253,-5.444042,-7.003155,20.662788,-16.477770,-7.334238,0.000000
0.012000,9.585202,4.585435,-2.916802,5.709716,18.090235,9.161589,2.787853,-4.224009,-5.244003,-8.378680,4.796370,-2.021533,-9.141859,-1.247267,1.703548,-1.933015,-3.995225,-6.473526,-7.208199,21.091984,-16.552164,-8.174723,0.000000
0.016000,13.806457,2.643498,1.130111,5.892036,19.217260,8.976627,3.159918,-4.103484,-7.211183,-12.581368,3.672070,-0.422803,-10.278613,-3.408432,0.312531,-5.350303,-3.585718,-4.786162,-7.466849,23.593747,-17.635902,-5.570448,0.000000
0.020000,17.752771,3.808972,4.020184,6.801402,21.239064,9.815411,4.531005,-4.203922,-8.458574,-15.205990,2.738795,0.770292,-11.675417,-5.683277,-2.069800,-8.706448,-4.176111,-5.544513,-8.769482,26.741186,-18.777950,-4.950820,0.000000
0.024000,17.525574,5.881615,4.080258,6.236544,20.124641,10.785390,5.394359,-4.017510,-7.675129,-14.340523,2.320794,0.475452,-11.579956,-5.758652,-3.226554,-8.520799,-4.658475,-7.458969,-8.087342,25.901618,-17.623839,-5.775968,0.000000
0.028000,16.608554,4.230658,4.232880,5.058731,17.823781,9.824014,5.120964,-3.530591,-7.222200,-14.665073,1.670885,1.383779,-9.918714,-6.021847,-3.451551,-8.962134,-3.082000,-7.191963,-6.158856,23.465741,-15.665469,-3.548990,0.000000
0.032000,15.638851,3.864989,3.968227,4.364123,16.824581,9.733683,5.376886,-3.410870,-7.624940,-14.503974,1.637051,2.495382,-8.446200,-7.447795,-4.474630,-9.751423,-1.927594,-8.218696,-4.968796,22.050146,-13.477886,-1.699311,0.000000
0.036000,10.589479,6.581833,1.126052,1.271386,12.456908,10.757430,6.092237,-3.633439,-7.607802,-10.699918,2.777564,2.423045,-6.227554,-7.577539,-4.966979,-6.267434,-1.023163,-10.039562,-2.366211,16.963794,-8.533707,-2.098081,0.000000
0.040000,6.756763,6.633182,-0.626663,-0.928763,9.083033,10.116513,5.745867,-3.691290,-7.722870,-8.460993,3.132123,2.221602,-4.496088,-7.021493,-4.166251,-3.646105,0.408854,-9.703741,0.240395,12.741481,-5.220162,-1.395632,0.000000
0.044000,8.849281,5.475489,0.896308,1.108081,11.385693,8.734670,4.932876,-3.382747,-7.929749,-9.498142,1.919007,1.737221,-4.907558,-7.799958,-4.326396,-5.621551,0.614863,-10.268031,0.023289,14.582507,-6.223475,-0.300548,0.000000
0.048000,9.860143,6.709428,1.345243,2.757914,13.330082,9.629373,4.682092,-3.123218,-7.632285,-8.136443,1.752653,0.208997,-5.574688,-8.179304,-5.231682,-5.778297,-0.717917,-13.320701,-0.838432,16.280468,-6.321996,-1.699311,0.000000
0.052000,9.344834,6.938165,1.152030,2.889900,12.861989,10.709039,4.116801,-2.878954,-6.728875,-5.568264,2.031789,-1.276192,-6.078327,-7.390955,-5.493739,-4.420943,-1.974072,-14.881444,-0.767403,15.774091,-5.190002,-3.168625,0.000000
0.056000,13.286209,3.714053,3.425121,5.583322,15.458108,9.393868,2.406539,-2.585678,-5.958896,-6.291447,0.841934,-2.448227,-8.396824,-6.401193,-4.759186,-6.197399,-2.837050,-13.794154,-2.082098,18.753994,-7.958662,-3.150220,0.000000
0.060000,17.079412,2.397644,4.815765,8.078763,18.655548,9.460541,1.434238,-2.542289,-5.469243,-6.657153,0.375297,-3.641323,-10.629734,-5.808078,-4.747275,-7.481383,-4.053008,-14.328164,-4.306759,22.631820,-10.874099,-4.389475,0.000000
0.064000,15.189396,2.803770,3.419438,6.375241,16.999216,11.395121,1.458905,-2.359895,-5.416606,-4.449978,1.443911,-4.051535,-9.401908,-5.308872,-5.368004,-5.273597,-3.961309,-16.395392,-4.242431,21.332937,-8.742814,-5.444682,0.000000
0.068000,14.269083,0.970757,3.066297,6.120216,16.329482,10.933790,0.826807,-1.941273,-5.349278,-3.797350,1.451664,-3.692599,-7.997423,-5.186542,-5.356093,-5.231353,-3.031754,-16.760116,-4.033366,20.275005,-7.510288,-4.352665,0.000000
0.072000,15.528545,0.734239,3.546894,7.762219,18.093835,9.653031,0.158736,-1.848871,-4.974694,-3.865553,0.716464,-4.183389,-8.446200,-5.321229,-5.211829,-6.368597,-3.280473,-16.406402,-4.994259,21.600243,-8.640271,-4.254507,0.000000
0.076000,13.095232,2.995163,2.144884,5.235459,15.991015,9.967037,0.730194,-2.345432,-5.706725,-2.869560,1.046352,-3.887633,-7.321515,-6.020611,-5.656531,-4.798912,-2.388603,-15.577860,-3.694307,19.422260,-6.285805,-4.073526,0.000000
0.080000,10.675089,2.112889,1.648051,2.681853,12.986214,8.770157,0.280017,-2.214462,-5.982155,-3.645658,0.932160,-2.852946,-5.154440,-6.836145,-5.794177,-4.050755,-0.219224,-12.942214,-1.268622,16.218347,-3.675986,-1.665569,0.000000
0.084000,12.823583,-0.770451,2.812198,5.907696,15.765970,5.875276,-1.915368,-1.423821,-3.772596,-5.055569,-0.514275,-3.736551,-5.529701,-6.446913,-4.833303,-6.546464,-0.745553,-10.817181,-2.271060,18.145966,-6.398401,-0.552080,0.000000
0.088000,14.846954,-0.272518,2.691237,9.792352,20.083233,5.818282,-3.253567,-0.981094,-1.008506,-3.564521,-1.028140,-6.324185,-7.302862,-5.223612,-4.137133,-7.714835,-4.090693,-12.048984,-5.125595,21.745191,-9.798404,-3.104208,0.000000
0.092000,15.133420,-0.368993,2.916923,9.582068,19.924802,6.768904,-3.275150,-0.992343,-1.181108,-2.541482,-0.810329,-6.718831,-7.742861,-5.154415,-4.204633,-7.446921,-4.831824,-13.030298,-5.191262,21.835548,-9.289710,-3.380280,0.000000
0.096000,18.569363,-1.956152,5.268760,11.238612,21.948406,6.392526,-3.468377,-1.095994,-1.913139,-4.298286,-1.494778,-6.318691,-9.523703,-6.224494,-4.708893,-9.987098,-5.213695,-12.699982,-5.771550,24.339193,-10.793673,-2.288264,0.000000
0.100000,21.743536,-1.470668,6.315194,13.482385,24.605738,6.232297,-3.481739,-1.454354,-1.457762,-4.098382,-2.238437,-7.216946,-12.169181,-5.669684,-4.211250,-11.542330,-7.052705,-12.920193,-7.552619,27.272035,-13.562333,-3.552058,0.000000
0.104000,20.484075,0.805817,5.559391,10.734155,22.801777,7.508754,-1.834172,-2.206427,-3.133599,-3.495142,-2.179227,-6.273824,-11.775267,-6.102164,-4.955067,-10.706351,-6.133200,-13.166553,-6.669456,26.007035,-11.684390,-3.585800,0.000000
0.108000,17.739600,-0.059341,5.808619,4.934574,17.182853,6.707608,-0.254440,-2.862081,-6.955340,-5.741123,-2.731156,-2.366734,-8.636025,-8.722993,-6.670345,-10.641874,-0.593558,-10.686431,-1.945402,20.982803,-6.040506,1.552198,0.000000
0.112000,15.782084,-1.175021,5.980724,2.393273,13.870190,3.805200,-0.524752,-2.956090,-7.714302,-6.806493,-4.343240,-1.131519,-6.829946,-9.098633,-6.512847,-10.568503,2.877198,-7.154803,1.501483,17.187804,-3.320101,4.739291,0.000000
0.116000,10.745883,0.091595,3.964980,-1.086476,9.763569,2.139460,-0.974930,-2.784142,-6.627272,-4.799222,-5.277925,-1.934546,-4.554242,-6.975774,-4.651982,-7.561423,3.703748,-3.221290,3.802532,12.105216,-0.796740,4.929474,0.000000
0.120000,7.013595,-0.067121,3.150727,-4.870465,6.594935,1.569517,-0.928679,-2.959304,-7.961576,-4.658113,-5.643059,-1.288095,-2.479336,-6.899163,-3.992870,-5.930597,5.466133,0.072235,6.311307,8.500344,2.185048,6.812895,0.000000
0.124000,7.112376,-0.169820,3.738483,-3.982352,7.900196,1.707164,-1.281215,-3.108755,-8.544263,-4.473496,-5.789676,-2.044424,-3.331902,-7.516992,-4.465366,-6.082896,5.243793,-0.412228,7.032311,9.266497,2.516805,6.687129,0.000000
0.128000,7.150242,2.673063,2.520756,-0.981334,10.946406,3.014807,-1.734475,-3.365874,-6.671341,-1.179783,-5.227878,-5.373738,-5.926906,-6.100929,-3.803607,-4.633272,1.764245,-3.281848,5.785965,11.388006,0.675053,2.362008,0.000000
0.132000,8.319155,4.112399,2.150567,1.053273,14.174451,4.648285,-2.062344,-3.709771,-5.578191,0.201906,-4.556822,-7.620749,-8.695277,-4.686101,-2.582001,-4.147471,-1.990402,-3.481414,3.375022,14.591919,-2.519864,-0.996862,0.000000
0.136000,12.728094,2.539244,3.879739,3.054324,18.635744,5.868824,-2.218570,-4.628972,-7.178132,-2.178127,-3.865325,-7.178489,-12.049580,-5.978599,-2.859939,-6.698764,-3.509093,-1.985358,0.850166,20.090526,-6.165166,-1.150235,0.000000
0.140000,15.372141,2.593705,3.711693,3.982705,21.174251,6.830200,-2.005815,-5.861537,-8.290868,-3.174120,-3.029325,-6.828710,-14.549123,-6.889278,-3.558756,-7.489165,-3.338256,-1.855984,-0.146911,23.525979,-8.141631,-2.027529,0.000000
0.144000,-15.360375,-13.408597,-6.525334,-10.607408,-10.499484,-10.274545,-10.064810,-2.443459,-2.123690,5.739248,-1.348866,-1.805439,4.193062,2.009926,3.968086,9.768473,13.391213,21.544148,15.752714,-15.064039,14.098127,9.061345,1.000000
0.148000,-17.625760,-14.793472,-6.838695,-9.972083,-11.709326,-12.140302,-11.312562,-1.406947,-1.079505,6.438912,-1.186036,-1.812764,6.592755,1.820870,4.077938,10.363219,14.113502,21.856572,16.119917,-17.562037,15.823261,10.233115,0.000000
0.152000,-21.130850,-13.713581,-8.003654,-12.016757,-15.445073,-13.310299,-11.654820,-0.601843,-0.506611,6.836368,-0.865311,-1.744090,10.007407,1.473650,4.064703,12.765548,15.841971,21.804272,17.984076,-21.795644,18.807060,11.205500,0.000000
0.156000,-23.588859,-14.183505,-8.532960,-13.190095,-18.172619,-14.375985,-12.194416,-0.085998,-0.098975,6.168453,-0.608731,-1.532575,12.139371,0.786625,3.878087,14.188492,17.814134,21.811154,20.914999,-25.031559,21.191687,12.702422,0.000000
0.160000,-22.871048,-15.289848,-6.898770,-10.893752,-16.609906,-14.486747,-13.005351,1.005152,0.607349,4.967853,-0.913948,-2.196423,12.737374,-0.645502,2.350748,12.922294,17.629479,19.220926,21.571676,-24.133635,21.563656,13.364993,0.000000
0.164000,-22.087383,-14.231742,-5.555211,-9.052651,-15.605305,-13.597421,-13.384610,2.391988,2.098342,5.406466,-1.081007,-3.731972,13.402309,-0.908697,1.070907,12.817797,15.737710,15.745727,20.267703,-23.192415,21.505347,11.981568,0.000000
0.168000,-21.833844,-13.886301,-4.805091,-8.803218,-16.456876,-12.800576,-13.366110,3.132813,3.185371,5.912106,-0.685564,-4.476398,13.289292,0.270120,1.426933,13.828309,13.987886,15.107116,19.057542,-23.484193,20.918239,10.481579,0.000000
0.172000,-17.936921,-15.691306,-2.253547,-6.081833,-13.961577,-13.110281,-13.696034,3.275032,3.736231,4.192931,-1.327719,-4.879285,10.421072,1.065884,1.809429,11.849528,12.324737,16.000345,17.411829,-20.336753,17.476012,9.711646,0.000000
0.176000,-14.850005,-16.601589,-0.569836,-3.616592,-11.916367,-13.108130,-13.950929,3.810161,4.809794,3.553238,-1.856387,-5.811420,8.668758,2.656174,2.492364,10.881259,10.514618,15.236490,15.050472,-17.678748,14.216755,8.070554,0.000000
0.180000,-15.506900,-16.760305,-1.081281,-3.504739,-12.773339,-13.084472,-14.047542,4.656244,5.992306,4.586860,-1.680164,-6.255511,9.920724,4.554144,3.641177,11.958472,9.744596,14.124426,13.408779,-18.467491,13.577369,6.996943,0.000000
