Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-0.104975,1.645068,-1.480184,-1.480211,-0.605030,0.269967,0.769750,0.144898,-0.605192,-0.480225,0.394930,0.269960,0.769836,-0.605098,-0.604989,-0.105207,0.145001,0.019968,0.644884,0.144931,0.895054,-0.042700,0.000000
0.004000,-1.036868,1.587952,-2.036981,-2.286889,-1.161950,0.213261,0.713033,0.213067,-0.911978,-0.286982,0.588062,0.463127,1.088125,-0.536835,-0.662070,0.463040,0.713183,0.212972,1.338176,-0.411973,1.587852,0.150684,0.000000
0.008000,-1.940264,1.184608,-2.315379,-2.940511,-1.565550,-0.065195,0.559855,0.309531,-0.940279,-0.315228,0.809737,0.559591,1.559653,-0.315317,-0.440288,0.809763,1.059734,0.559587,1.934550,-1.065255,2.184882,0.372177,0.000000
0.012000,-2.639266,0.485736,-2.264152,-3.264186,-1.889139,-0.389354,0.110671,0.485741,-1.014240,-0.264247,0.985784,0.485810,1.985755,-0.014159,-0.139128,1.110902,1.485929,0.985821,2.360871,-1.514441,2.360657,0.548383,0.000000
0.016000,-3.042813,-0.417536,-1.917531,-3.167585,-2.042854,-0.792649,-0.417585,0.832500,-0.792593,-0.292493,0.832446,0.457396,2.332512,0.457433,0.207519,1.332426,1.582404,1.457493,2.457492,-1.917836,2.207308,0.644945,0.000000
0.020000,-3.179076,-1.304121,-1.304001,-2.679062,-1.928948,-1.179016,-0.928868,1.070961,-0.428968,-0.428900,0.695983,0.195940,2.571153,0.945978,0.571111,1.321081,1.571026,1.820991,2.321034,-2.053900,1.695741,0.633493,0.000000
0.024000,-2.940289,-2.065244,-0.440320,-1.940381,-1.565550,-1.565384,-1.440150,1.309680,-0.065343,-0.565306,0.309719,-0.190394,2.559645,1.434746,0.934703,1.309737,1.309572,2.184697,1.934550,-1.940513,0.934452,0.497109,0.000000
0.028000,-2.542637,-2.542711,0.332396,-1.042623,-1.167468,-1.542532,-1.792459,1.457335,0.332291,-0.542572,0.082419,-0.417706,2.207437,1.707350,1.082458,1.082439,0.832414,2.207415,1.332528,-1.542787,0.207106,0.269890,0.000000
0.032000,-1.923231,-2.548486,0.826715,-0.048264,-0.673216,-1.423194,-1.798255,1.326658,0.576769,-0.423388,-0.173215,-0.673193,1.576613,1.826698,0.951648,0.951670,0.451729,2.076731,0.701668,-1.048247,-0.548122,0.014300,0.000000
0.036000,-1.360820,-2.110809,1.014149,0.764185,-0.110777,-0.860782,-1.485690,1.014111,0.514222,-0.235657,-0.235717,-0.860868,0.764082,1.639311,0.764352,0.889173,0.014156,1.514185,0.014322,-0.485674,-0.860881,-0.298289,0.000000
0.040000,-0.866540,-1.241550,0.758492,1.258479,0.258532,-0.116400,-0.991381,0.508635,0.258567,0.258644,-0.241551,-0.991477,-0.241361,1.258513,0.258653,1.008597,-0.241372,0.883484,-0.366513,0.008431,-0.866336,-0.553879,0.000000
0.044000,-0.656250,-0.031198,0.093735,1.343788,0.343667,0.843806,-0.156355,-0.156330,-0.281282,0.843883,0.093669,-0.781357,-1.406403,0.593734,-0.406396,1.093783,-0.281194,0.093752,-0.531215,0.343794,-0.281428,-0.718632,0.000000
0.048000,-0.678851,1.320982,-0.803938,1.071048,0.446143,1.946201,0.696059,-1.054097,-0.929101,1.446001,0.445974,-0.554045,-2.429109,-0.053867,-1.179066,1.446075,-0.179031,-0.803946,-0.428945,0.445842,0.570779,-0.741537,0.000000
0.052000,-0.878004,2.622142,-1.752838,0.497216,0.247102,2.872129,1.622164,-1.877779,-1.752906,1.997139,0.872239,-0.127836,-3.252845,-0.752777,-1.752846,1.622221,0.122246,-1.502804,-0.127785,0.372140,1.622401,-0.690263,0.000000
0.056000,-1.161994,3.587985,-2.662001,-0.286880,-0.037073,3.463318,2.337959,-2.537084,-2.287048,2.463195,1.213084,0.338010,-3.787062,-1.411978,-2.161924,1.963169,0.463107,-2.037003,0.338076,0.088237,2.587953,-0.474495,0.000000
0.060000,-1.304153,4.196048,-3.304016,-1.179118,-0.178964,3.820909,2.696064,-3.054136,-2.678974,2.696050,1.446009,0.695930,-3.929096,-1.679005,-2.304031,1.946049,0.821036,-2.303999,0.571155,-0.053932,3.320754,-0.241550,0.000000
0.064000,-1.287120,4.088233,-3.411976,-1.661870,-0.286958,3.712997,2.713038,-3.036901,-2.662089,2.463195,1.463093,0.963117,-3.661988,-1.786976,-2.037060,1.713182,0.963022,-2.162060,0.712965,-0.162086,3.338332,0.025492,0.000000
0.068000,-0.980201,3.519958,-2.980136,-1.855072,-0.105259,3.019821,2.395090,-2.855033,-2.355064,2.019873,1.144957,1.019945,-2.980285,-1.480241,-1.355065,1.144935,1.019911,-1.730198,0.644884,-0.104956,2.644928,0.207424,0.000000
0.072000,-0.161969,2.462986,-1.912025,-1.536917,0.463091,1.963129,1.588216,-2.162029,-1.536967,1.088106,0.463058,0.838000,-2.162000,-0.912056,-0.412045,0.338046,0.713183,-1.036968,0.088051,0.338124,1.213268,0.275616,0.000000
0.076000,1.218674,0.968657,-0.406328,-0.781174,1.218659,0.718543,0.593802,-1.281239,-0.406375,-0.031392,-0.406348,0.468857,-1.156254,-0.156261,0.718866,-0.781327,0.093801,-0.156153,-0.781240,1.093890,-0.906340,0.156150,0.000000
0.080000,2.838104,-0.536902,1.213073,0.338138,2.213075,-0.661885,-0.536815,-0.161989,0.962987,-1.286952,-1.412009,-0.161980,-0.036942,0.588157,1.838183,-1.912044,-0.787035,0.588142,-1.786989,2.212930,-3.412048,-0.099440,0.000000
0.084000,4.588229,-1.911864,2.963176,1.713129,3.213010,-1.911972,-1.662051,0.963178,2.338057,-2.411962,-2.287040,-0.786848,0.837976,1.213005,2.837986,-3.036986,-1.786864,1.213008,-3.036817,3.338076,-5.912301,-0.474495,0.000000
0.088000,6.252863,-2.997074,4.377909,3.127763,4.127810,-2.997017,-2.497077,1.877922,3.377801,-3.372319,-2.997274,-1.372080,1.377947,1.752858,3.503036,-3.872133,-2.622188,1.627778,-3.997080,4.377745,-8.122222,-0.934660,0.000000
