Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.000000,-3.903574,-1.778091,0.721962,-0.153084,-0.028222,0.596860,0.346829,-0.403220,-0.153214,-0.153022,0.596900,0.846813,0.471924,0.096816,0.221818,1.346930,0.096884,-0.653256,0.221922,1.659495
0.004000,-3.134554,-0.509378,0.615666,0.490598,0.115513,-0.134356,-0.009428,-0.634318,0.740616,-0.384425,-0.009430,0.365703,-0.009335,-0.134425,-0.259357,0.740591,-0.259316,1.116089,-0.009371,1.303059
0.008000,-1.065873,0.809457,0.434446,0.934482,0.184256,-0.815557,-0.440596,-0.690727,1.559406,-0.690648,-0.565639,-0.190546,-0.565608,-0.440567,-0.815633,0.059323,-0.815594,2.934015,-0.565765,0.747041
0.012000,1.628148,2.253175,0.128107,1.253173,0.128012,-1.496929,-0.871906,-0.871966,2.128066,-0.996871,-0.996942,-0.621800,-0.996988,-0.871880,-1.371908,-0.621946,-1.371872,4.503203,-0.996979,0.065652
0.016000,4.496872,3.496967,-0.128037,1.496866,0.121762,-2.128115,-1.128091,-1.003164,2.496842,-1.378132,-1.378124,-1.003197,-1.253205,-1.128088,-1.878220,-1.253165,-1.878171,5.621553,-1.503239,-0.690510
0.020000,7.003127,4.378150,-0.371816,1.503165,0.003025,-2.621930,-1.246891,-0.996977,2.628106,-1.496978,-1.621869,-1.246779,-1.496952,-1.371895,-2.246899,-1.746895,-2.121878,6.502825,-1.996889,-1.434303
0.024000,8.515861,4.765680,-0.484387,1.390570,0.015524,-2.859502,-1.359400,-0.859410,2.640723,-1.609318,-1.734377,-1.359311,-1.484482,-1.484332,-2.359395,-2.109461,-2.109343,6.890507,-2.359514,-2.047103
0.028000,8.340341,4.465792,-0.534398,1.215576,0.215502,-2.909346,-1.284346,-0.659429,2.465632,-1.409362,-1.659460,-1.284527,-1.284379,-1.409430,-2.159384,-2.284345,-1.909428,6.965322,-2.409341,-2.472128
0.032000,6.322275,3.696892,-0.553221,1.071879,0.446999,-2.678111,-1.178127,-0.428150,2.321972,-1.053041,-1.553151,-1.053053,-0.803120,-1.053186,-1.678209,-2.178207,-1.553228,6.697152,-2.178048,-2.615490
0.036000,2.934340,2.434339,-0.565585,0.934482,0.684474,-2.190634,-1.065617,-0.065672,2.184511,-0.565730,-1.190698,-0.815525,-0.440715,-0.565571,-0.940698,-2.065597,-0.815594,6.309470,-1.690549,-2.503049
0.040000,-1.553246,0.946940,-0.553221,0.821887,1.071933,-1.678149,-0.928090,0.321917,2.071842,0.071874,-0.928092,-0.553070,0.071914,0.071848,-0.178204,-1.678149,-0.053052,5.697341,-0.928083,-2.115692
0.044000,-6.140428,-0.640701,-0.640694,0.859484,1.484388,-1.015618,-1.015581,0.734435,1.984407,0.734418,-0.640688,-0.390682,0.484394,0.734402,0.734337,-1.390656,0.734397,4.984162,-0.015522,-1.578227
0.048000,-10.027981,-2.028137,-0.653058,0.846886,1.721863,-0.403102,-1.028162,0.971901,1.846946,1.346865,-0.403142,-0.278150,0.721906,1.346854,1.346939,-1.028089,1.471868,4.222401,0.971778,-0.965427
0.052000,-12.309735,-3.059404,-0.809365,0.815588,1.940590,0.065705,-1.059327,1.065614,1.690669,1.690607,-0.184325,-0.309488,0.815624,1.690698,1.940610,-0.684363,1.815696,3.565577,1.690569,-0.371741
0.056000,-12.366065,-3.615779,-0.865650,0.759290,1.759359,0.384295,-1.115653,1.009386,1.384315,1.884491,-0.115607,-0.365754,0.759315,1.884404,2.134414,-0.490639,2.009424,2.634752,2.259267,0.071836
0.060000,-9.971652,-3.471855,-0.971946,0.528195,1.403147,0.653213,-0.971835,0.778107,1.028155,1.653088,-0.096878,-0.471876,0.528038,1.778167,1.903215,-0.471943,1.778090,1.777771,2.278028,0.340569
0.064000,-5.572234,-2.696795,-1.071968,0.178206,0.803211,0.678221,-0.821870,0.428185,0.428063,1.303057,-0.071817,-0.696939,0.303191,1.303119,1.428091,-0.321940,1.303211,0.803223,1.928013,0.365868
0.068000,0.171744,-1.578166,-1.078057,-0.328078,0.046770,0.671883,-0.578123,-0.078046,-0.328084,0.796877,-0.078148,-0.702993,-0.078114,0.796904,0.671959,-0.328124,0.671883,-0.203389,1.296880,0.234312
0.072000,6.141041,-0.109247,-0.984310,-0.859361,-0.859383,0.640709,-0.109357,-0.609388,-0.984400,0.140623,0.015630,-0.734331,-0.234377,0.015546,-0.109310,-0.234355,-0.234408,-1.234292,0.390470,-0.046789
0.076000,11.240903,1.240668,-0.759354,-1.384346,-1.634300,0.615702,0.365699,-0.884340,-1.634297,-0.509343,0.115608,-0.634264,-0.259317,-0.634440,-1.009437,-0.134401,-0.884457,-2.259366,-0.634353,-0.321705
0.080000,14.415766,2.540742,-0.334354,-1.959328,-2.084523,0.540679,0.915667,-1.209332,-2.209376,-0.834434,0.290635,-0.334416,-0.209438,-1.209357,-1.584333,0.040626,-1.459457,-3.209623,-1.584438,-0.521849
0.084000,14.978245,3.353043,0.103194,-2.146921,-2.396990,0.603198,1.353125,-1.271929,-2.396864,-1.021812,0.478193,-0.021748,0.103088,-1.521866,-1.896841,0.353144,-1.771865,-4.147250,-2.146983,-0.584254
