Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-3.165717,-0.290448,-0.665602,0.084325,0.834362,0.084335,-0.290626,-0.540669,0.584404,0.334441,0.959436,-0.165576,-0.290615,-0.415564,0.209392,0.209421,0.084397,1.833484,0.209290,0.396860,0.000000
0.004000,-4.553527,-1.552974,-1.303062,-0.053008,1.446893,-0.053096,-0.678181,-0.303160,0.696828,0.821793,0.696823,0.071943,-0.428188,-0.303217,0.571831,0.071892,0.446844,2.822941,0.946979,0.634381,0.000000
0.008000,-5.034819,-2.659344,-1.784352,-0.284342,1.840603,-0.034370,-0.909351,-0.284423,0.840592,1.090550,0.340585,0.090699,-0.534280,-0.284462,0.840578,-0.159353,0.840605,3.714699,1.590709,0.778145,0.000000
0.012000,-4.728621,-3.353190,-2.103082,-0.603027,1.896966,-0.103085,-1.103210,-0.228210,0.771943,1.396930,-0.103095,0.146792,-0.603066,-0.228196,0.896931,-0.353210,1.021829,4.645952,1.896969,0.834400,0.000000
0.016000,-3.440864,-3.565691,-2.065737,-0.940742,1.684500,0.059420,-1.190649,-0.190567,0.434423,1.309338,-0.565615,0.059322,-0.565546,-0.315720,0.809404,-0.565679,0.934366,5.433776,1.934357,0.746892,0.000000
0.020000,-1.384592,-3.134250,-1.884405,-1.259428,1.240782,0.115598,-1.134357,-0.384355,0.115556,1.115632,-1.009438,-0.009392,-0.509482,-0.509340,0.490642,-0.634361,0.615650,5.990865,1.615743,0.553124,0.000000
0.024000,0.952864,-2.296725,-1.546902,-1.671886,0.578243,0.328092,-0.796930,-0.546915,-0.296831,0.703139,-1.296931,-0.046905,-0.296868,-0.796918,-0.046850,-0.546902,0.203173,6.202892,0.953156,0.265598,0.000000
0.028000,3.247194,-1.253139,-1.003104,-2.003181,-0.128225,0.496945,-0.503140,-0.753196,-0.628134,0.246849,-1.503167,-0.003082,-0.003177,-0.878191,-0.503154,-0.503091,-0.378110,5.997101,0.121834,-0.065682,0.000000
0.032000,5.047294,0.046816,-0.453115,-2.203105,-0.703180,0.671828,-0.203186,-0.953061,-0.953218,-0.203073,-1.453118,0.046876,0.421835,-1.078062,-1.078158,-0.328175,-0.828200,5.421304,-0.828156,-0.390712,0.000000
0.036000,5.909824,1.159223,0.034366,-2.215715,-1.215694,0.784344,0.159386,-0.965722,-1.215624,-0.590678,-1.340652,0.409377,0.784313,-0.965715,-1.340567,-0.215682,-1.215662,4.408982,-1.715724,-0.653236,0.000000
0.040000,5.652790,1.902974,0.528038,-2.221905,-1.471813,0.778154,0.403210,-0.846883,-1.096982,-0.846894,-1.096880,0.778189,1.153044,-0.721898,-1.471943,0.028081,-1.471930,3.028731,-2.221930,-0.784282,0.000000
0.044000,4.152850,2.153306,0.653053,-1.846819,-1.346931,0.653102,0.528124,-0.596882,-0.846764,-0.721873,-0.596823,1.153136,1.403178,-0.346795,-1.346904,0.278102,-1.346855,1.278473,-2.471945,-0.784282,0.000000
0.048000,1.684289,1.934366,0.684407,-1.440552,-1.065670,0.434419,0.684346,-0.065651,-0.315734,-0.565596,-0.190680,1.559460,1.684362,0.184417,-0.940616,0.434407,-1.065572,-0.690047,-2.315564,-0.628234,0.000000
0.052000,-1.321628,1.428068,0.678216,-0.821980,-0.696826,0.053072,0.678182,0.428105,0.303095,-0.196899,0.303192,1.928096,1.678109,0.803153,-0.446801,0.553159,-0.571931,-2.695983,-1.696867,-0.384461,0.000000
0.056000,-4.240429,0.634411,0.384450,-0.240551,-0.115516,-0.365568,0.634381,1.009472,0.884367,0.134369,0.759384,2.134414,1.634336,1.509413,0.259407,0.634358,0.009352,-4.741415,-0.865545,-0.053181,0.000000
0.060000,-6.684839,-0.309364,0.190536,0.315659,0.315493,-0.684389,0.565598,1.565686,1.440767,0.565577,1.065574,2.315664,1.440698,1.940597,0.815570,0.690687,0.690695,-6.433469,-0.059256,0.253097,0.000000
0.064000,-8.046774,-1.047078,-0.046914,0.828078,0.703125,-1.046851,0.453176,1.953095,1.828033,0.828160,1.328186,2.203128,1.203071,2.203169,1.328227,0.703205,1.078157,-7.672369,0.703142,0.515621,0.000000
0.068000,-8.065749,-1.565853,-0.190702,1.184364,0.809496,-1.190630,0.434358,2.059442,1.934487,0.934467,1.309346,1.934407,0.934393,2.309448,1.559461,0.559418,1.434486,-8.316763,1.309484,0.621880,0.000000
0.072000,-6.584785,-1.584366,-0.209475,1.290745,0.790709,-1.209356,0.540615,1.915620,1.790724,0.790731,1.290650,1.540704,0.540648,2.040625,1.415582,0.415631,1.415590,-8.335471,1.540641,0.603129,0.000000
0.076000,-3.922155,-1.421771,-0.171930,1.328117,0.578243,-1.046851,0.578089,1.703094,1.453203,0.453096,0.953108,0.953129,0.203183,1.578182,1.203188,0.203162,1.203232,-7.672369,1.453185,0.390609,0.000000
0.080000,-0.597102,-0.971818,-0.096841,1.278136,0.278195,-0.721841,0.528124,1.278210,0.903022,0.028062,0.653103,0.403067,-0.221828,0.903180,0.778059,0.028081,0.778158,-6.472965,1.153103,0.090582,0.000000
0.084000,2.997060,-0.628115,-0.003179,1.122003,-0.003067,-0.378105,0.496814,0.871895,0.371992,-0.378064,0.121837,-0.253047,-0.753146,0.371968,0.246904,-0.253070,0.246904,-4.753887,0.871877,-0.315705,0.000000
0.088000,6.015915,-0.359269,0.015594,1.015621,-0.109437,-0.109433,0.265644,0.515716,-0.109292,-0.609392,-0.484357,-0.859377,-1.234438,-0.234448,-0.109369,-0.609325,-0.109424,-2.860200,0.640719,-0.671988,0.000000
0.092000,7.953157,-0.296888,-0.171930,1.078212,-0.046996,0.078146,-0.171877,0.203088,-0.421940,-0.671903,-1.046831,-1.421885,-1.796807,-0.546850,-0.171889,-0.921935,-0.296946,-0.922860,0.578297,-0.984301,0.000000
0.096000,8.403398,-0.847054,-0.471888,1.278136,0.278195,0.153050,-0.721819,0.278206,-0.471934,-0.471830,-1.596937,-1.971948,-2.346886,-0.596864,-0.096866,-1.221861,-0.096827,0.777509,0.903088,-1.159317,0.000000
0.100000,7.265721,-1.609319,-0.984332,1.640612,1.015607,0.140672,-1.359363,0.390631,-0.359261,-0.109307,-2.109362,-2.359340,-2.734377,-0.359298,0.265574,-1.484400,0.265621,2.016409,1.640777,-1.171818,0.000000
0.104000,4.566002,-2.684297,-1.559484,2.065679,1.815737,-0.184337,-1.934451,0.815683,-0.059298,0.565577,-2.434391,-2.559347,-3.184402,0.190669,0.940608,-1.684352,0.815590,2.816705,2.690578,-0.996802,0.000000
0.108000,0.884724,-3.740762,-1.990648,2.634499,2.634378,-0.490621,-2.490720,1.134388,0.509289,1.259368,-2.615602,-2.740598,-3.365749,0.634357,1.759351,-1.865691,1.634426,3.010023,3.884405,-0.678238,0.000000
0.112000,-3.190730,-4.565811,-2.440584,3.059337,3.309350,-0.940683,-2.815656,1.559440,0.934361,1.934444,-2.565697,-2.690640,-3.315722,1.184324,2.434386,-1.815621,2.309470,2.935190,4.934531,-0.253199,0.000000
0.116000,-6.890983,-4.890598,-2.515674,3.234499,3.734557,-1.140640,-2.765691,1.734323,1.234324,2.484500,-2.265692,-2.640682,-3.140629,1.609440,2.859344,-1.515694,2.859439,2.359393,5.484303,0.171839,0.000000
0.120000,-9.534638,-4.534419,-2.284415,3.090747,3.715769,-1.284419,-2.409445,1.715585,1.215670,2.590614,-1.659354,-2.284491,-2.534486,1.590685,2.965712,-1.159438,2.965618,1.839720,5.465771,0.528122,0.000000
0.124000,-10.653339,-3.528262,-1.653146,2.721851,3.222043,-1.153177,-1.778228,1.346914,0.846810,2.346938,-0.903157,-1.903234,-1.653196,1.221834,2.596935,-0.528126,2.721947,1.347070,4.597060,0.784395,0.000000
0.128000,-9.846874,-1.722008,-0.846935,1.903126,2.278243,-0.846894,-0.721819,0.653123,0.153114,1.528125,0.028068,-1.221879,-0.721880,0.528077,1.778193,0.278102,1.903112,1.153752,2.903204,0.840650,0.000000
0.132000,-7.241171,0.509245,0.384450,0.759297,1.009252,-0.240675,0.509306,-0.365618,-0.865667,0.509433,1.009341,-0.615548,0.509381,-0.615619,0.509312,1.009390,0.634367,1.384487,0.509372,0.696887,0.000000
0.136000,-3.290783,2.959439,1.709496,-0.540666,-0.540723,0.459334,1.709445,-1.540673,-1.915538,-0.790558,1.959405,0.209371,1.584309,-1.915608,-1.040647,1.709385,-0.790587,1.833484,-2.165685,0.396860,0.000000
0.140000,1.547147,5.296943,2.921908,-1.828248,-2.078265,1.296932,2.796839,-2.578152,-3.078082,-2.203222,2.671882,1.046910,2.671959,-3.203093,-2.578102,2.296886,-2.453093,2.546475,-5.078077,-0.015678,0.000000
0.144000,6.353164,7.228362,3.978150,-3.021829,-3.521870,2.103108,3.603259,-3.521944,-3.896887,-3.396905,3.228171,1.728090,3.478208,-4.271952,-4.021864,2.603236,-3.896943,3.228285,-7.521977,-0.459468,0.000000
0.148000,10.328564,8.453056,4.703281,-3.921944,-4.422016,2.578086,4.078254,-4.172014,-4.421947,-4.296943,3.578225,2.328110,3.953246,-4.921947,-5.047005,2.703212,-4.922017,3.577505,-9.297112,-0.859289,0.000000
0.152000,12.916154,8.790723,4.915767,-4.334402,-4.959396,2.915632,4.040618,-4.334405,-4.334396,-4.709436,3.415711,2.665720,4.040793,-5.084491,-5.459460,2.540648,-5.334494,3.540089,-10.084544,-1.146815,0.000000
0.156000,13.828711,8.203127,4.703281,-4.421983,-4.921821,2.828191,3.578114,-4.046929,-3.796899,-4.421964,3.078169,2.703232,3.828180,-4.671878,-5.296910,2.078158,-5.296882,2.953898,-9.671971,-1.234323,0.000000
0.160000,12.703109,6.953077,4.078203,-3.921944,-4.422016,2.453192,2.703235,-3.296926,-2.797022,-3.671836,2.328156,2.578250,3.203277,-3.671972,-4.547024,1.453104,-4.546972,1.827248,-8.297054,-1.109312,0.000000
0.164000,9.878324,5.128311,3.003188,-2.996839,-3.497004,1.753183,1.628171,-2.246956,-1.496933,-2.496867,1.503213,2.253085,2.378267,-2.246948,-3.246970,0.628100,-3.246914,0.128957,-5.996856,-0.809285,0.000000
0.168000,5.696779,3.196892,1.696914,-1.928210,-2.303164,0.946848,0.446849,-1.053163,-0.053080,-1.053141,0.571845,1.696888,1.446951,-0.553102,-1.678170,-0.178129,-1.678169,-1.677425,-3.178097,-0.365710,0.000000
0.172000,0.952864,1.203091,0.453148,-0.796990,-1.171765,0.078146,-0.671854,0.078172,1.453203,0.328075,-0.296818,0.953129,0.578168,1.203079,-0.046850,-0.796924,-0.046797,-3.421446,-0.171746,0.140586,0.000000
0.176000,-3.634070,-0.384222,-0.759464,0.240687,-0.259462,-0.759452,-1.509421,1.115650,2.615747,1.740739,-1.009438,0.240572,-0.259348,2.615598,1.490605,-1.384425,1.490634,-4.760123,2.490631,0.678135,0.000000
0.180000,-7.440415,-1.565853,-1.690690,0.934459,0.434297,-1.440576,-2.065691,1.809441,3.309443,2.809401,-1.440606,-0.565590,-0.815680,3.809492,2.559424,-1.565600,2.559440,-5.315134,4.559347,1.121926,0.000000
0.184000,-9.765796,-2.140570,-2.390658,1.234345,0.734346,-1.765586,-2.390627,2.109409,3.609406,3.359456,-1.765636,-1.015561,-1.140638,4.359459,3.234459,-1.640705,3.234484,-4.891081,5.609472,1.421953,0.000000
0.188000,-10.615388,-2.365546,-2.615726,1.259335,0.759488,-1.865723,-2.240731,1.884391,3.384310,3.509366,-1.740611,-1.365617,-1.240691,4.384466,3.259466,-1.365649,3.384394,-3.741565,5.759351,1.571967,0.000000
0.192000,-9.765796,-2.265736,-2.640689,0.859488,0.359423,-1.640692,-1.890650,1.359406,2.734389,3.109413,-1.390701,-1.515666,-1.015571,3.859506,2.984382,-1.015651,2.984334,-1.764730,5.109444,1.546965,0.000000
0.196000,-7.572382,-1.946985,-2.321959,0.178097,-0.196744,-1.196819,-1.321889,0.678106,1.803160,2.428163,-1.071856,-1.321970,-0.696866,3.053218,2.178143,-0.446927,2.178096,0.428289,3.803126,1.365698,0.000000
0.200000,-4.571640,-1.821819,-1.821897,-0.571847,-0.821984,-0.696926,-0.821912,-0.071896,0.803034,1.553207,-0.446821,-0.946847,-0.321882,1.928094,1.303219,0.053116,1.303112,2.677432,2.178195,1.115675,0.000000
0.204000,-4.290456,1.209531,-0.165539,0.209277,0.084240,-0.040559,-0.665690,0.709335,-0.540582,0.459463,-0.040678,-0.040594,0.334288,0.334458,1.334393,-0.040601,1.459321,-2.415360,1.584532,0.521871,1.000000
0.208000,-6.134545,2.240640,0.490693,-0.134399,-0.634385,0.240651,0.115586,0.615648,-0.884321,0.615547,0.490588,1.115624,1.240591,0.615601,1.240700,0.615582,1.365560,-6.009416,1.615743,1.178181,0.000000
0.212000,-7.147155,3.103118,1.103190,-0.521866,-1.521821,0.603113,0.728147,0.353156,-1.271836,0.728220,0.978132,2.228194,2.103120,0.728132,0.978120,1.228118,1.103172,-8.397832,1.228205,1.665725,0.000000
