Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-10.845196,-6.051338,-1.500560,-3.360588,-6.822540,3.434773,4.814142,3.003616,-2.984496,3.492690,1.786322,2.713263,4.621391,-1.779557,-7.398379,-0.062922,2.741518,-1.736096,1.150759,1.280955,11.165333,2.337372
0.004000,-8.257352,-7.865799,0.491645,-1.361912,-4.169975,2.879769,4.468526,3.363096,-1.674113,2.970415,0.410539,2.423217,3.550557,-1.491206,-5.968272,0.218069,2.259419,-2.384979,-2.082179,1.525364,8.137769,2.558077
0.008000,-7.474084,-6.521921,0.701412,-2.677332,-3.019186,2.807168,5.164237,3.965184,-1.598032,2.615815,-0.081851,3.052026,2.032029,-1.659041,-5.870813,-0.455836,2.501912,-2.712309,-2.812716,2.014183,7.234937,2.795353
0.012000,-9.277436,-3.920137,-0.188838,-4.224694,-3.996362,3.256572,5.667359,3.631497,-2.979723,2.164608,0.985803,3.137466,0.526206,-2.007650,-7.360667,-0.913672,4.233042,-2.032618,-0.449635,1.787454,9.023565,2.939225
0.016000,-7.708453,-6.545450,1.228349,-2.704500,-3.460474,1.680360,5.952511,3.153533,-1.777643,1.643442,0.004990,2.929861,0.266664,-0.122278,-5.497502,-0.673257,3.086493,-0.288143,-1.398976,0.328278,6.792694,3.110215
0.020000,-5.745388,-7.197932,1.676188,-2.905625,-2.641323,1.370157,7.572354,2.548221,-0.657910,1.845912,-0.523547,3.837100,0.028903,1.061440,-3.870782,-0.732431,1.022897,0.563395,-2.708673,-1.742441,4.538892,2.661273
0.024000,-7.877345,-2.694810,-0.542456,-5.121645,-3.656662,4.036578,9.215337,0.647248,-2.623485,2.020251,1.321263,4.129395,-1.270013,-1.029105,-6.421245,-1.347162,1.354882,-0.768067,0.345650,2.218030,6.797935,1.265485
0.028000,-8.458677,-1.064962,-0.854586,-3.996401,-2.388698,5.441788,8.586808,-1.001846,-3.629842,1.550906,1.640413,2.534888,-2.012338,-2.603575,-7.394989,-1.817509,1.306768,-2.487992,1.099407,8.802521,6.603348,0.143130
0.032000,-5.203832,0.315115,0.029072,-1.487209,1.671582,6.671798,8.368092,-1.807452,-2.858590,1.533139,0.523388,1.353342,-2.122446,-2.061253,-6.377177,-2.377124,0.096228,-3.440136,-2.067890,7.119737,3.087679,-0.965667
0.036000,-3.945708,6.832697,-1.377259,-0.945470,4.124197,9.947823,8.938396,-2.505859,-3.593442,2.088358,1.213263,1.085780,-2.681458,-2.655330,-8.117034,-2.926257,0.715932,-4.600712,-2.893093,0.552927,3.017575,-2.275584
0.040000,-3.442703,9.897824,-2.278753,1.330969,5.711973,11.078831,7.276751,-2.439766,-3.907612,2.205324,1.173149,-0.198070,-2.375332,-2.803572,-9.223831,-3.169715,1.558402,-5.341536,-3.224871,-1.847485,3.050989,-3.031102
0.044000,-0.015294,6.943103,-1.098475,4.610598,8.538689,8.531212,4.404329,-0.862407,-1.979631,1.867381,-1.417520,-1.331650,-1.744326,-0.609887,-6.630994,-3.731359,-0.196785,-4.480852,-6.308666,-1.204740,-0.575405,-2.706448
0.048000,1.739715,7.858026,-1.446664,4.324726,8.973527,7.663605,4.476737,0.037100,-1.112009,2.328952,-2.134726,-0.918314,-2.653023,0.280305,-5.700047,-4.123258,-1.322164,-3.932575,-6.937392,-2.524551,-1.801238,-3.077051
0.052000,0.151150,9.268871,-2.802201,2.801693,6.367724,7.677405,4.676045,-0.448521,-1.384111,3.147715,-0.951579,-0.288756,-3.971904,-0.749626,-6.827607,-3.268789,-1.045029,-4.572312,-3.942905,-0.061737,0.271736,-4.047248
0.056000,1.585509,2.871650,-1.541661,3.979245,5.509336,4.379180,2.095493,0.450179,0.838050,3.862836,-2.318986,-0.332226,-3.506061,1.311344,-4.143244,-2.081255,-2.943114,-3.264918,-4.403733,2.810853,-1.318374,-3.840102
