Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-0.565749,-0.565540,0.809297,0.309469,0.934491,-0.190541,-1.065775,0.309538,0.309444,0.559331,-0.190752,-1.190759,-0.815731,-0.690707,0.059478,-1.065756,-0.940777,4.434659,-0.190536,-0.253040,0.000000
0.004000,-0.140614,-0.015697,1.109355,0.359369,0.984282,-0.265820,-0.890670,0.859251,0.234272,0.359251,-0.140710,-1.265745,-0.765731,-0.890696,-0.140591,-1.390704,-1.515311,4.859115,-0.640586,-0.703091,0.000000
0.008000,0.309379,0.434444,1.434520,0.559504,0.934491,-0.440865,-0.690510,1.309548,0.309444,0.184290,-0.190752,-1.190759,-0.690731,-0.940693,-0.440572,-1.815673,-1.940339,4.934421,-0.940702,-1.128194,0.000000
0.012000,0.634317,1.009361,1.634395,0.759372,0.884421,-0.740620,-0.365634,1.759501,0.384390,0.134491,-0.365627,-1.115773,-0.615731,-0.990691,-0.615601,-1.990590,-2.240777,4.509110,-1.240571,-1.428063,0.000000
0.016000,-0.234405,0.640635,0.890527,0.015671,0.140642,0.515536,0.515738,0.640466,-0.484489,-1.859264,-0.859314,0.140703,0.140721,-0.734375,-1.359416,0.390527,0.015357,2.015431,-0.234256,-0.296761,1.000000
0.020000,-0.703105,0.671903,1.046833,0.421811,0.171971,-0.078077,0.421921,0.796987,-0.453111,-1.452933,-1.453084,0.421745,0.671971,-0.578055,-0.953141,0.296967,0.046682,1.922153,-0.578093,-0.640598,0.000000
0.024000,-1.134391,0.740633,1.115755,0.865577,0.365538,-0.759212,0.365687,0.990659,-0.384486,-1.134302,-1.884354,0.615716,1.240721,-0.384394,-0.509307,0.240735,-0.009561,1.740733,-1.009371,-1.071876,0.000000
0.028000,-1.453178,0.671903,1.296922,1.296800,0.546798,-1.453046,0.296926,1.046731,-0.078154,-0.578131,-2.203166,0.671801,1.671971,-0.203075,-0.078238,0.171821,-0.077907,1.421535,-1.453246,-1.515751,0.000000
0.032000,-1.771966,0.728244,1.353045,1.853175,0.728057,-2.146879,0.228165,1.103148,0.228177,0.103200,-2.396874,0.603012,1.978221,0.103079,0.228125,-0.021759,-0.271555,1.228134,-1.896874,-1.959380,0.000000
0.036000,-1.909321,0.590783,1.465535,2.215552,1.090576,-2.659318,0.090642,1.215636,0.590718,0.715782,-2.409519,0.465745,2.090721,0.340566,0.340556,-0.284493,-0.534260,1.215297,-2.284432,-2.346937,0.000000
0.040000,-1.965699,0.534442,1.659502,2.409282,1.284422,-3.090584,0.034408,1.034347,1.034301,1.284293,-2.340645,0.284477,2.159470,0.659378,0.409292,-0.590538,-0.715804,1.159673,-2.590723,-2.653229,0.000000
