Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,1.844221,-5.350780,-2.855569,2.317082,4.336812,2.301249,-2.116573,-5.359275,0.749513,1.782201,3.484919,-1.937498,-1.245238,-0.628267,10.249002,-6.382205,0.141613,3.934480,3.326462,2.721271,-6.382205,-4.930830
0.004000,3.638762,-5.479381,-1.015902,2.810842,3.610825,0.742979,-3.035100,-4.211823,1.290772,-0.207735,1.699346,-2.024298,-0.058140,0.869090,10.010254,-6.362935,-1.693182,5.668152,2.161891,2.440989,-6.362935,-4.491834
0.008000,3.254492,-5.044653,-0.348679,2.161467,1.818002,0.976229,-3.103019,-4.425583,-0.049136,0.023103,1.114854,-1.832354,-1.087274,-1.349823,6.797940,-2.389156,-1.215618,6.611349,3.470360,0.250576,-2.389156,-3.242384
0.012000,1.457389,-3.685254,-1.288682,-0.504163,-0.430344,1.449275,-2.225459,-5.439940,-2.374926,1.102897,1.646415,-1.277106,-3.222945,-5.173099,3.364856,2.506565,1.309680,6.925237,6.506723,-1.583409,2.506565,-1.569744
0.016000,3.282672,-1.461292,-0.900643,-0.465469,1.196405,1.207023,-1.390484,-7.463946,-1.742605,1.837825,1.069806,-0.694564,-6.345100,-5.070550,3.041251,0.703252,-0.576800,8.996587,4.173119,1.140026,0.703252,-1.240677
0.020000,4.900449,-0.308074,0.400507,0.771874,2.948105,0.171723,-1.043341,-8.056158,-0.469599,1.859379,-0.520936,-0.095468,-7.444529,-4.206319,2.883764,-1.602108,-4.009675,11.971227,0.157357,3.641504,-1.602108,-0.346878
0.024000,2.210558,-0.781243,0.641271,0.039225,0.416641,-1.214679,-1.040106,-5.620762,-1.647362,1.018071,-1.335733,0.228464,-4.864189,-5.882764,0.646578,1.786457,-2.629703,11.391802,1.150142,1.895006,1.786457,1.806430
0.028000,1.088490,-0.832264,1.806671,0.550650,-2.599605,-2.735302,-1.161391,-2.778683,-2.538001,-1.505852,-1.876304,0.084842,-1.817067,-5.726712,-0.354439,3.453862,0.211904,7.983552,3.260648,-0.327810,3.453862,2.359666
0.032000,3.832178,-1.373927,5.449506,2.784766,-4.007292,-4.357409,-1.458942,1.352011,-1.647826,-5.713781,-3.803777,-0.017617,2.432160,-2.367877,-0.866453,1.854411,-0.955129,5.329706,0.619169,-1.392234,1.854411,2.451632
0.036000,5.271910,-3.374235,8.378374,3.040478,-6.010478,-4.958129,-1.623350,7.073813,-1.903357,-9.274390,-5.352850,-0.062359,8.538252,-1.294090,-3.389849,3.328097,-2.412628,2.832421,-2.250985,-3.820806,3.328097,3.938184
0.040000,6.068630,-4.783956,9.667997,4.620173,-5.369111,-4.448253,-1.220685,9.840606,-1.934949,-10.736597,-5.082564,0.334055,11.277345,-1.954710,-5.122930,3.294627,-2.952213,-0.231244,-4.672713,-4.235559,3.294627,4.347003
0.044000,8.786700,-4.414228,11.275225,8.252294,-1.589708,-3.972752,-0.068753,9.440644,-0.204312,-11.472220,-5.108467,1.421735,10.176337,-0.991646,-5.120773,-1.234954,-5.895121,-0.769227,-9.990251,-1.176757,-1.234954,3.890764
0.048000,9.858814,-3.692942,11.548005,7.140283,0.136685,-3.581548,0.953270,9.966980,0.488872,-11.527843,-6.030816,2.156846,10.186605,-0.495995,-6.264176,-2.270490,-9.547138,1.592220,-14.483442,0.888906,-2.270490,5.247987
0.052000,6.778249,-2.450962,7.828971,1.790517,-0.072095,-1.528134,1.988769,8.931113,-0.652652,-8.936476,-4.835366,2.103156,8.822587,-1.782310,-7.114896,0.496348,-8.855602,2.625209,-12.989802,1.300419,0.496348,6.055567
