Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-6.891576,-2.634649,-1.095623,-7.584526,-6.088473,-6.117492,-5.810038,2.670825,-3.651627,4.282712,-1.786346,-0.351383,4.413547,-1.115227,1.654483,10.033659,2.880396,4.819220,7.654893,-9.336267,10.033659,4.017047,0.000000
0.004000,-8.736605,-3.318969,-1.921996,-8.271559,-8.961372,-9.050282,-5.053428,4.045185,-3.101337,3.656839,-1.716050,0.623147,6.144728,-0.766791,2.672995,10.293787,3.667727,7.042065,8.559847,-11.529638,10.293787,5.428692,0.000000
0.008000,-7.910353,-1.977801,-0.837748,-7.038359,-9.077261,-7.616875,-3.711198,4.696477,-3.474424,2.003176,-1.049156,0.781462,6.325244,-1.439044,0.319856,9.755715,2.611501,6.258965,6.259302,-9.870749,9.755715,5.236879,0.000000
0.012000,-5.396836,0.924318,0.623057,-4.872638,-6.664077,-2.787036,-1.974716,3.306832,-4.235543,0.176832,0.019342,0.154978,4.335710,-3.087167,-2.847082,8.226129,0.588172,4.416144,3.001803,-5.927561,8.226129,3.793265,0.000000
0.016000,-2.046371,4.750519,1.849430,-2.237362,-2.698235,3.912739,-0.236462,0.895058,-5.280613,-0.666212,0.496132,-1.569853,1.152126,-6.582249,-6.037167,6.829280,-2.023873,1.744779,0.106621,-1.134969,6.829280,1.949727,0.000000
0.020000,1.269333,7.707584,2.973238,0.168079,0.817496,9.769281,1.135890,-1.151196,-6.696102,0.347251,0.882453,-3.317477,-1.621849,-10.249655,-9.836334,6.785629,-4.586010,-1.363251,-2.541983,2.668500,6.785629,0.052280,0.000000
0.024000,3.012751,8.077217,3.673604,1.564388,2.664040,11.804610,1.873895,-2.994752,-7.781203,2.001668,1.700942,-3.606387,-3.356894,-11.432567,-11.920378,7.165130,-5.580104,-2.569186,-3.826028,3.655406,7.165130,-1.292920,0.000000
0.028000,3.274798,6.346435,3.534410,2.015820,2.441866,9.298408,2.353199,-4.811059,-8.202861,2.673539,2.229079,-2.785860,-3.724550,-10.437128,-9.855865,6.309916,-4.618094,-0.444476,-2.405276,2.080792,6.309916,-1.583774,0.000000
0.032000,2.595614,4.006258,2.832579,1.556150,0.265582,3.543994,2.112218,-4.723334,-8.199124,3.043030,1.863540,-1.423243,-2.240128,-8.702527,-6.597782,5.947341,-2.710878,2.202520,-0.074537,-0.633753,5.947341,-0.608410,0.000000
0.036000,1.518010,1.246498,1.701444,0.228215,-3.360916,-3.413360,1.275872,-2.259722,-7.229312,2.732356,1.368412,1.078379,0.614996,-5.343158,-4.896404,6.724160,-0.550555,3.842486,0.921835,-4.122299,6.724160,1.200025,0.000000
0.040000,0.140924,-1.216057,0.376903,-1.241411,-6.594928,-9.328648,0.307517,-0.177581,-5.534142,1.931540,0.913017,3.453719,3.056094,-1.267351,-2.672025,6.653783,1.428977,5.890796,1.862014,-7.484433,6.653783,2.847363,0.000000
0.044000,-1.278946,-2.015263,-0.387931,-2.640191,-8.054747,-12.134908,-0.395935,0.681726,-3.946787,1.546967,0.124480,3.966240,3.990689,0.729838,0.248241,5.783425,2.590621,7.306830,3.413603,-8.963683,5.783425,3.650972,0.000000
0.048000,-1.877912,-0.933837,-1.174744,-3.511752,-7.304349,-10.531589,-0.612109,0.988764,-2.986582,2.459385,-0.716014,3.140785,3.549613,0.722264,0.601248,5.588330,2.170983,5.834813,3.494957,-7.675161,5.588330,3.183976,0.000000
0.052000,-1.581103,1.328916,-1.746172,-3.090799,-4.466025,-4.940761,-0.060156,0.338801,-2.164617,4.432771,-0.737409,1.888434,1.498252,-0.104638,-2.168556,5.796788,0.240850,2.271676,1.324409,-5.251142,5.796788,1.393092,0.000000
0.056000,-1.000855,3.374386,-1.117601,-1.362506,-0.409264,2.076244,0.971101,-1.427663,-1.091258,6.606738,-0.473952,-0.356927,-1.447406,-1.352566,-4.153497,4.388358,-2.253044,-1.082020,-0.783236,-2.135181,4.388358,-1.358111,0.000000
0.060000,-0.062297,5.062709,0.116098,0.742254,3.419560,7.930978,2.145885,-3.600852,-0.607152,7.985167,0.026066,-2.761219,-4.187707,-2.810060,-4.919552,2.225380,-4.195909,-3.668423,-2.011927,1.191468,2.225380,-4.243458,0.000000
0.064000,1.050068,6.468813,0.968844,2.172339,5.750789,11.249685,3.905401,-4.654217,-0.742723,8.252860,0.706408,-3.356286,-5.846019,-3.515136,-6.633228,1.056588,-5.373850,-6.235068,-3.947639,3.859441,1.056588,-6.192306,0.000000
0.068000,1.961887,7.198089,1.165181,2.702854,6.305264,12.133589,6.052969,-4.884828,-0.726711,7.697115,1.266941,-2.320155,-6.390326,-2.832784,-8.016321,-0.073007,-6.009928,-7.388971,-6.128251,5.305424,-0.073007,-6.946395,0.000000
0.072000,2.245326,7.098189,0.795951,2.098198,5.129086,10.100067,8.342290,-5.260318,-0.656791,6.735683,1.690551,-0.857744,-6.007214,-1.407483,-6.278774,-2.298345,-5.515427,-5.907075,-6.289281,5.473974,-2.298345,-6.930724,0.000000
