Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,5.181357,5.591700,0.779092,3.539801,4.638127,3.318784,-7.642588,-3.066164,-0.838293,4.925335,-1.659743,-8.463419,-4.181181,-3.059815,0.822529,0.833336,-0.962946,-3.443494,0.893499,0.833336,1.961244,0.000000
0.004000,2.053461,6.959880,-2.625360,-0.552574,3.827451,5.180924,-5.461770,-5.111531,-3.896996,8.273016,-0.725442,-8.475303,-4.739755,-3.978525,0.030494,1.514261,-0.132125,-1.201564,6.691102,1.514261,0.854417,0.000000
0.008000,-2.443252,7.316850,-5.931548,-4.806857,1.336921,7.318897,-2.581892,-5.855224,-6.554251,12.812417,1.771434,-7.397291,-4.269577,-4.415943,-1.466539,5.384307,-1.055504,-0.243160,8.811630,5.384307,-3.116065,0.000000
0.012000,-3.910670,5.366573,-6.631782,-4.679067,0.648569,7.167208,-1.161468,-6.536731,-5.392547,15.537796,3.449096,-7.105068,-3.874780,-2.784791,-0.013694,3.668412,-2.469222,1.832911,8.234415,3.668412,-5.013008,0.000000
0.016000,-0.405769,4.568675,-3.380530,-0.966960,2.655884,6.199409,0.971956,-5.864531,-3.152341,13.694072,2.757525,-4.541469,-5.001145,-2.853547,1.182058,-0.280411,-5.412907,-0.153634,1.719111,-0.280411,-1.455410,0.000000
0.020000,3.941799,5.693692,0.802304,1.781761,3.883674,5.602569,3.499167,-2.957445,-2.734252,8.543961,0.399277,0.569649,-5.349847,-4.221462,-0.661114,0.527282,-8.873375,-5.708984,-8.023306,0.527282,2.756335,0.000000
0.024000,6.661204,5.997801,2.916160,2.972191,3.204439,4.064007,3.373016,-1.131209,-1.835674,3.399644,-1.726180,2.865492,-4.127493,-3.530629,-1.886994,1.282457,-9.494838,-7.507994,-11.513066,1.282457,4.735358,0.000000
0.028000,8.726029,5.533242,3.149056,3.774909,3.244707,1.849271,1.066047,-1.804678,-0.848694,-1.092667,-3.461386,0.801051,-3.421956,-2.109019,-0.858621,-1.858673,-6.049245,-5.159575,-6.632695,-1.858673,7.010363,0.000000
0.032000,9.144463,5.315577,1.827509,2.709167,2.791883,0.578829,-0.560680,-2.664706,-2.337484,-4.282418,-4.640510,-0.854417,-2.600907,-2.160750,-0.304263,-2.922618,-1.727654,-2.441741,0.204302,-2.922618,7.850225,0.000000
0.036000,6.296628,3.736574,-1.746393,-0.667336,0.995024,0.135881,-1.404013,-2.844918,-4.367606,-5.172042,-4.989957,-1.543030,0.553134,-1.382171,-0.073281,-0.379109,0.165935,3.101359,4.920772,-0.379109,5.042948,0.000000
0.040000,1.799915,0.436773,-5.832509,-3.577966,-0.628606,-0.387869,-2.177650,-3.723981,-4.850176,-3.624618,-4.326635,-2.771349,4.062926,0.289579,1.637997,0.300005,0.799518,11.913587,9.647422,0.300005,0.713473,0.000000
0.044000,-0.929433,-2.989272,-7.682520,-3.751661,-0.788918,-1.174596,-1.935104,-4.432986,-4.914137,-2.537944,-3.528346,-3.534066,5.923029,0.624846,3.721525,-1.723755,1.470015,18.592258,12.575237,-1.723755,-1.260576,0.000000
