Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-3.190246,3.935119,-0.815459,-0.440129,-13.065152,-14.940466,3.559770,5.310072,-4.190076,1.184998,-1.815374,3.934632,6.434658,-0.940190,-2.315072,-0.315538,-2.940088,8.184886,1.684521,1.559200,7.809913,1.371287,0.000000
0.004000,-3.321498,4.678606,-0.320813,-0.320828,-18.570943,-18.696671,4.678753,6.553800,-5.571422,1.804290,-1.446179,4.178823,7.553782,-0.945933,-3.071128,-0.945832,-3.321299,7.179176,2.053785,2.930504,12.179281,2.742192,0.000000
0.008000,-2.695898,5.053484,0.928952,0.179222,-22.071275,-20.446070,6.179309,7.053701,-6.071058,1.303766,-0.696088,3.678841,7.679161,-0.821007,-3.946106,-2.196173,-2.571174,3.178785,1.304110,4.554416,16.053671,4.365927,0.000000
0.012000,-1.406377,4.844104,2.468887,0.843417,-23.406953,-20.281459,8.094270,6.718426,-5.656579,-0.030965,0.468697,2.968892,6.843300,-0.530949,-5.031541,-3.906423,-1.031443,-2.656129,-0.406347,6.219570,18.843886,6.031800,0.000000
0.016000,0.190674,3.814757,4.065668,1.315545,-22.935195,-18.684567,9.690662,5.690518,-4.559339,-1.684533,1.565232,2.315204,5.690510,-0.309815,-6.060037,-5.684571,0.940628,-8.309655,-2.684634,7.688823,20.440627,7.503837,0.000000
0.020000,1.360440,2.360380,4.860664,1.236011,-21.639315,-16.889174,10.735993,4.235989,-3.514098,-2.638922,2.236024,2.611017,4.736236,-0.264584,-7.014297,-6.639621,2.611097,-11.639273,-4.889069,8.735344,20.861483,8.548870,0.000000
0.024000,1.576957,0.452138,4.702004,0.202067,-20.673472,-16.048365,10.826506,3.076581,-2.923276,-2.548432,2.201574,4.076738,4.826788,-0.298328,-7.548365,-6.548664,3.326919,-10.923603,-6.298541,9.199319,20.327561,9.015203,0.000000
0.028000,0.611253,-1.639155,3.360607,-1.764288,-20.764717,-16.389691,9.735919,2.485333,-3.139559,-1.139471,1.485933,6.736150,5.985383,-0.514436,-7.514490,-5.264375,2.860923,-6.014481,-6.514525,9.111679,19.361476,8.922498,0.000000
0.032000,-1.604691,-3.479693,1.145307,-4.105470,-22.355689,-17.980127,7.894610,2.644940,-4.230016,1.269832,0.394598,9.894963,8.270068,-0.855470,-6.980422,-2.855292,1.394975,1.645077,-5.479890,8.642549,18.269762,8.456166,0.000000
0.036000,-4.224929,-4.974190,-1.224411,-6.599797,-24.849408,-19.974830,5.650432,3.400813,-5.849500,4.025543,-0.599240,12.900650,10.900706,-0.974652,-5.724893,-0.224580,-0.349276,9.151085,-3.599433,8.023916,17.276039,7.838135,0.000000
0.040000,-6.559670,-5.934580,-3.059606,-8.435005,-27.184904,-21.435352,3.690214,4.440767,-7.435072,6.065108,-1.059434,14.690605,13.065816,-0.934446,-4.310080,1.940456,-1.559573,14.065595,-1.684835,7.565097,16.690609,7.377421,0.000000
0.044000,-8.048463,-6.423552,-3.923327,-9.423260,-28.673953,-21.423248,2.701675,5.327137,-8.298697,6.826499,-0.548540,14.952196,13.951596,-0.423254,-3.048064,3.076779,-1.673483,14.077268,-0.298355,7.451681,16.577543,7.265052,0.000000
0.048000,-8.156722,-6.531376,-3.531344,-9.406338,-28.781700,-20.031314,2.843656,5.468675,-8.281364,6.094093,0.968540,13.593779,13.344436,0.343534,-2.281197,2.968527,-0.281318,9.468962,0.093901,7.719755,16.843876,7.531929,0.000000
0.052000,-7.247542,-6.622902,-2.246792,-8.872443,-27.497468,-17.497590,4.002571,4.877427,-7.372524,4.253183,3.003014,11.252800,11.503222,1.253196,-2.121913,1.877682,2.253185,1.877648,-0.372208,8.250748,17.377798,8.065683,0.000000
0.056000,-5.957064,-6.706904,-0.957150,-8.332626,-25.458035,-14.707266,5.292818,3.792302,-5.832168,2.167665,4.917889,8.917622,9.167456,2.042959,-2.582466,0.417884,5.167606,-5.457749,-1.082169,8.792052,17.792373,8.605055,0.000000
0.060000,-5.088122,-7.088051,-0.088338,-8.338549,-23.588473,-12.588298,6.286681,2.536528,-4.462879,0.661851,6.161973,7.537164,7.286771,2.411994,-3.337802,-0.462863,7.537069,-9.588344,-1.463277,8.910624,17.911720,8.849458,0.000000
0.064000,-5.281646,-7.781388,-0.406507,-9.406338,-22.781824,-11.656308,6.343474,1.593944,-3.781625,0.468852,6.219172,7.468721,6.468324,2.343787,-3.781057,-0.156042,8.593975,-8.406634,-0.656471,8.596152,17.469507,8.532015,0.000000
0.068000,-6.815467,-8.690373,-2.065224,-11.440382,-22.941019,-11.815271,5.059438,1.059914,-3.815537,1.559684,5.309834,8.685032,7.184610,1.934546,-3.565556,1.309521,8.060021,-2.065274,1.559808,7.683668,16.184325,7.621824,0.000000
0.072000,-9.099432,-9.599358,-4.474819,-14.099700,-23.974811,-12.474523,2.900448,1.275734,-4.724377,3.525726,3.525607,10.776020,8.650848,1.275453,-2.724452,3.775612,6.400555,7.150441,5.026009,6.276278,14.400397,6.214400,0.000000
0.076000,-11.571173,-10.321531,-6.946351,-16.571182,-24.821258,-12.696425,0.429101,1.803742,-5.945961,5.679111,1.678981,12.429090,10.303994,0.928676,-1.071074,6.303836,4.053745,15.928852,8.929056,4.678142,12.179281,4.615948,0.000000
0.080000,-13.241994,-10.616168,-8.741669,-17.866573,-24.866881,-11.866913,-1.491184,2.258470,-6.991203,7.008893,0.383548,13.008534,11.134050,0.883444,0.883573,8.133868,2.258363,20.758953,12.633537,3.260441,9.884043,3.197287,0.000000
0.084000,-13.247742,-10.247559,-9.372066,-17.747272,-23.247759,-9.747139,-2.122110,2.377925,-7.247426,6.878107,0.252899,11.878067,10.378293,1.378123,2.627764,8.627727,1.503060,19.753244,15.003095,2.255163,7.877752,2.191583,0.000000
0.088000,-11.429384,-9.554222,-8.678884,-16.054210,-20.179387,-6.554162,-1.429068,1.946284,-6.429018,5.445816,1.071239,9.321319,8.195769,2.320812,3.571212,7.696377,2.071317,13.071558,15.696335,1.822119,6.321212,1.758961,0.000000
0.092000,-8.434553,-8.309226,-7.435057,-13.434659,-16.059751,-3.184471,0.315517,0.814983,-4.809534,3.065498,2.815166,6.065642,4.940557,3.440121,3.690135,5.565290,3.690656,3.190458,14.815676,1.940691,5.440555,1.876949,0.000000
