Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,2.840841,0.465508,0.215488,-0.284340,0.715602,1.715713,-0.034407,-0.284472,0.465691,0.840756,0.465588,-1.534428,-0.909391,-0.534437,-0.034285,-1.909321,-1.659510,-3.909439,1.715637,1.653137,0.000000
0.004000,4.965688,1.215557,-0.159243,1.715612,2.715738,1.340761,-3.409425,-0.409478,2.090739,2.465574,-1.409335,-3.659463,-1.909333,0.340532,0.090547,-2.534389,-2.284348,-2.784223,0.840549,0.778049,0.000000
0.008000,6.771850,1.897009,-0.353021,3.397043,4.397114,0.896914,-6.353079,-0.603160,3.521916,3.771998,-3.228193,-5.353233,-2.728168,1.021812,0.146815,-2.728287,-2.603108,-1.727984,0.021954,-0.165687,0.000000
0.012000,8.009320,2.384582,-0.615760,4.634343,5.759410,0.384491,-8.615739,-0.740512,4.509509,4.759467,-4.615786,-6.615737,-3.240662,1.634435,0.134285,-2.615683,-2.490706,-0.740721,-0.865738,-1.053154,0.000000
0.016000,8.409666,2.534509,-0.840598,5.534321,6.534499,-0.090470,-10.090895,-0.840568,5.159348,5.284507,-5.465809,-7.090730,-3.465638,1.909308,0.159346,-2.090579,-2.090672,-0.090445,-1.590701,-1.778117,0.000000
0.020000,8.178085,2.303251,-0.946891,6.053110,6.803264,-0.571780,-10.697000,-0.946798,5.428201,5.428262,-5.822033,-6.946906,-3.321878,1.928099,0.178023,-1.446839,-1.446812,0.178091,-2.071910,-2.259326,0.000000
0.024000,7.084672,1.709291,-0.915545,6.084445,6.584494,-0.915618,-10.540897,-0.915675,5.334530,5.209542,-5.540633,-6.290785,-2.915647,1.834386,0.084400,-0.540547,-0.790559,0.209157,-2.290682,-2.478098,0.000000
0.028000,5.365615,0.990460,-0.884483,5.740584,6.115747,-1.384546,-9.509420,-0.884295,5.115666,4.865598,-4.884464,-5.259353,-2.384479,1.490614,0.240675,0.240502,-0.009511,-0.259464,-2.259396,-2.446813,0.000000
0.032000,3.665821,-0.209372,-1.209345,0.290578,2.415765,0.915646,-1.459303,-0.959401,0.290735,-0.084382,0.415561,-0.709407,-0.209417,-1.584303,0.290560,-0.459253,-0.959449,-0.959236,0.290693,0.228193,1.000000
0.036000,3.534326,-0.840711,-1.340715,0.534441,2.909351,0.534344,-1.840740,-1.215586,0.659337,0.159327,0.159390,-0.590659,-0.215642,-1.340748,0.534312,-0.215660,-0.715624,-0.965554,0.159475,0.096975,0.000000
