Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-2.260293,-7.557840,-6.241286,-4.070296,-1.618701,-3.844831,-7.840141,-3.298409,5.432428,1.987268,3.767060,-3.216400,7.837226,9.165659,7.155853,5.420773,0.756361,0.961107,2.563018,-1.213359,-2.377444,-1.509090,0.000000
0.004000,-1.048955,-7.263796,-5.985511,-2.328810,-0.887390,-4.457722,-7.338116,-4.355415,4.914394,2.525551,5.756089,-3.641230,7.672468,9.470114,7.504732,5.408989,-0.380170,1.022733,1.691178,-0.478735,-4.593958,-3.206091,0.000000
0.008000,0.058469,-7.108796,-5.489611,-0.948343,-0.222040,-6.335110,-7.098857,-4.881235,5.103919,2.999137,7.259551,-4.562523,7.585485,9.947027,7.923604,5.277955,-1.093104,1.020920,0.788632,0.568667,-6.326302,-4.468746,0.000000
0.012000,0.564678,-6.695463,-4.974931,0.190719,0.319417,-6.889656,-6.315598,-5.513918,5.679385,3.167350,8.027866,-5.558435,8.273167,10.388786,8.185671,4.618541,-1.972539,1.377082,-0.663886,1.085155,-7.928166,-5.364029,0.000000
0.016000,0.423652,-5.447106,-5.042452,-0.174651,1.110954,-4.898306,-5.421525,-6.130505,4.952299,4.907066,8.269290,-6.316562,8.711156,10.501547,7.740212,3.511819,-3.175181,1.351707,-1.941487,1.988863,-8.814443,-6.106652,0.000000
0.020000,0.012450,-4.470759,-5.336235,-1.254992,1.749346,-2.141933,-5.150365,-6.344678,3.843866,7.498847,8.654807,-6.575241,7.753312,10.223624,6.859062,2.498424,-3.692639,0.502991,-2.070893,2.886801,-8.886658,-6.556756,0.000000
0.024000,0.091870,-4.630318,-5.188673,-0.891798,2.219679,-1.457611,-4.474563,-6.321428,4.117815,7.746639,8.766276,-5.960382,6.728952,9.847532,6.508012,1.492099,-3.606124,-0.158129,-2.035251,3.606998,-9.521003,-6.880791,0.000000
0.028000,0.373922,-4.909926,-4.682041,-0.078415,2.408960,-3.208494,-3.248884,-5.965963,4.912096,5.992690,8.381846,-5.179372,6.884499,9.739414,6.149909,0.585228,-3.606532,0.208455,-2.133950,3.880535,-9.977272,-6.527208,0.000000
0.032000,0.291533,-4.571053,-4.056912,0.310334,2.524822,-3.533478,-2.928193,-5.496927,5.083243,5.537866,7.832117,-4.542625,6.728952,8.686093,5.045758,-0.371606,-3.832206,0.042609,-2.373569,3.956132,-8.921945,-5.411305,0.000000
0.036000,0.056985,-3.840882,-3.556541,0.623508,3.181569,0.265463,-3.255600,-5.136097,4.567506,5.824476,7.253026,-3.622327,5.178596,6.589400,3.402283,-1.595222,-4.113789,-1.235223,-2.806747,4.865035,-7.775529,-4.869604,0.000000
