Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-2.619363,0.341363,0.914997,0.060477,-1.675278,-6.877813,-2.007856,4.270524,-2.390145,-0.688710,-11.877105,3.647945,3.306106,-3.282567,-2.170886,-3.085856,4.707995,3.705644,4.392025,-2.067984,6.125542,7.270416
0.004000,-1.852368,-0.124234,1.310299,1.170734,-0.890151,-8.812626,-4.921115,3.836823,-2.875903,0.962637,-11.758993,3.073713,2.416011,-3.098876,-0.609155,-2.591773,5.039871,4.851203,4.544718,-1.152720,4.594592,6.887495
0.008000,-1.660306,0.585815,1.417426,1.079730,-0.348464,-7.236884,-6.280975,2.936934,-4.793116,2.453215,-10.861466,2.385043,1.108056,-3.711179,0.029537,-1.968137,4.831243,4.594292,4.620385,-0.484662,4.594592,6.710008
0.012000,-1.727246,1.244913,1.541159,0.713183,-0.195915,-4.218342,-7.859840,2.249834,-6.581761,2.536261,-9.479188,0.806926,0.316637,-4.039015,0.330162,-1.377020,4.668699,4.258603,4.460228,-0.580530,5.610479,7.323284
0.016000,-1.353758,0.546247,1.551336,1.035744,-0.226973,-3.628579,-10.294346,2.220054,-6.709791,1.583356,-7.970186,-0.190828,0.240113,-3.346986,1.275991,-0.620160,4.609397,5.113632,4.402883,-0.730662,5.269374,7.224344
0.020000,-0.663713,0.116424,1.564727,1.109053,-0.206876,-5.384834,-10.707907,2.120428,-5.922249,-0.272945,-6.281555,-0.161196,-0.060948,-2.083475,2.415002,0.106278,4.279665,5.907445,4.684516,-0.708956,3.805902,6.346725
0.024000,-0.377185,0.638933,1.313512,-0.081086,-0.088582,-5.471506,-9.010373,1.392719,-5.777005,-2.406600,-4.328403,0.102419,-0.365030,-1.229441,2.767721,0.709458,3.701294,5.562222,4.847388,-0.340559,2.984401,5.455510
0.028000,-0.437869,1.035151,0.870003,-0.771711,0.196877,-2.437975,-8.123663,0.310903,-5.717832,-3.146033,-2.335881,-0.129522,-0.451623,-0.167479,2.954933,0.708409,2.580990,5.475414,3.965165,-0.178971,1.694267,4.105093
0.032000,-0.507937,1.319712,-0.009516,-0.929452,0.623467,1.378214,-6.787740,-1.207322,-5.584423,-2.330474,-0.604804,-0.059531,-1.060794,1.192980,3.073772,0.621866,1.099517,5.302803,3.262441,0.262381,-0.552324,1.497913
0.036000,-0.178242,2.234645,-0.034691,-1.036636,0.926282,2.720006,-4.011485,-2.620505,-5.071768,-3.047549,1.048147,0.531050,-2.030433,2.509430,2.896328,0.612425,0.027084,4.345912,3.307570,0.706145,-2.733294,-1.100205
0.040000,0.839622,2.594006,0.466132,-0.882939,1.105322,1.460977,-2.254871,-2.789438,-4.686066,-5.452170,2.376905,0.316990,-1.482682,3.751894,3.137804,0.578332,-0.727763,3.874743,2.618418,0.758601,-3.706466,-1.896256
0.044000,1.585347,2.282885,0.741450,-0.116477,1.442392,0.222149,-2.268114,-2.856577,-4.795806,-6.475345,2.554073,-0.585229,-0.165665,5.121920,3.505175,0.355418,-1.212895,4.185344,1.786754,1.092027,-4.338533,-2.058638
0.048000,1.427693,2.614602,0.593078,-0.161474,1.317704,1.305879,-1.713474,-3.344423,-5.325137,-5.262653,1.769122,-1.054219,0.124321,5.236089,2.996174,0.564695,-1.278270,3.992661,2.269262,0.968424,-4.352771,-2.688530
0.052000,1.086737,3.160960,0.380429,-1.421889,0.491928,3.148155,-1.767461,-3.751052,-5.671569,-4.354998,0.626143,-0.778343,0.277369,4.451577,2.088873,1.301624,-0.464835,3.316265,3.173879,0.022411,-2.826773,-2.489140
0.056000,1.212484,1.967970,0.355254,-1.734338,-0.121467,1.924315,-3.852580,-3.126761,-5.945918,-5.596969,-0.861943,-0.769658,2.072661,4.505153,2.524074,2.341716,0.665829,4.414154,2.991667,-0.455118,-1.466066,-1.045070
0.060000,1.326971,-0.625062,1.009270,-1.007312,-1.198447,-3.072703,-5.346899,-1.878719,-5.936235,-6.528047,-2.489672,-1.322433,4.260641,5.541602,3.686418,3.687070,1.825786,6.382628,3.644851,-1.533778,-0.872381,0.446581
0.064000,0.939719,-2.262510,1.301728,-1.001750,-2.410621,-6.788534,-5.444177,-0.997781,-5.541388,-5.477190,-3.321992,-1.467013,4.690585,5.554359,4.195961,5.560600,3.027540,6.945121,5.318020,-2.626909,-0.690376,0.495674
0.068000,0.194621,-2.386633,0.768768,-1.460313,-3.274306,-6.418385,-6.358900,-0.650712,-5.358489,-3.495787,-3.396427,-1.448110,4.851688,4.836179,4.349529,7.040227,3.566257,6.735378,5.744201,-3.751393,-0.276221,0.190546
0.072000,-0.648698,-2.545445,0.368110,-1.688330,-3.654309,-4.386473,-7.289411,-0.405435,-6.165935,-1.963153,-3.011948,-1.842512,5.071191,3.935584,4.698992,7.751455,3.312260,6.620972,5.420833,-4.259672,0.382466,0.299304
0.076000,-0.837006,-3.220263,0.986773,-1.449696,-4.524845,-4.306317,-6.343111,0.141971,-6.439746,-1.182730,-2.189471,-2.037669,4.376434,3.105787,4.488989,8.521952,3.193656,6.023355,6.087250,-5.390185,0.892576,0.102180
0.080000,-0.020588,-2.792607,1.811121,-0.908218,-4.902108,-5.615525,-5.318887,0.613032,-5.478450,-1.210944,-1.585994,-1.425631,3.356450,1.686649,3.686418,9.354865,3.245099,4.658018,6.463891,-5.780891,0.922911,-0.759579
0.084000,0.782692,-1.409368,2.223563,-0.387974,-4.190515,-5.689816,-5.354539,0.760848,-4.293909,-1.686332,-1.849900,-0.854975,2.995982,0.241360,3.234938,9.087893,2.966809,3.696110,5.345165,-4.954862,0.601615,-1.264097
0.088000,1.047324,-0.486304,2.102509,-0.510831,-3.097549,-3.240834,-5.210913,0.009315,-4.162114,-1.028881,-2.727742,-1.086405,2.371708,-1.361468,2.882219,8.220887,2.723886,3.205372,4.602062,-3.609702,0.607806,-1.250503
0.092000,1.234381,-0.411505,1.657393,-1.230273,-2.818485,-0.750145,-4.706695,-0.789864,-3.984056,0.650681,-3.474553,-1.478763,1.350718,-2.517827,2.478491,8.359356,3.464087,2.837569,5.009242,-3.450526,0.378132,-1.806379
0.096000,1.626011,-0.707449,0.760733,-1.595809,-2.699734,-0.621766,-4.644050,-1.003195,-2.738729,1.188353,-4.010978,-1.128297,1.599420,-2.774228,2.598416,8.602202,4.119979,3.074910,4.838905,-3.578952,-0.495989,-2.409837
0.100000,2.077700,-1.508558,-0.322865,-1.517949,-2.354442,-2.635431,-4.569690,-1.160216,-1.931283,0.849247,-4.036199,-0.761484,2.521735,-2.101972,3.645177,8.354111,4.164991,3.604787,4.421206,-3.231659,-1.270441,-2.236126
0.104000,2.195940,-2.263594,-1.189528,-1.363241,-2.074007,-3.323596,-3.990604,-1.788297,-2.049630,2.373895,-2.562877,-1.039915,1.990095,-1.641469,4.227977,8.560241,4.140699,3.043799,4.612242,-2.832512,-2.173658,-2.852423
0.108000,1.996371,-1.515062,-2.247415,-1.621594,-1.873501,-0.288110,-3.343269,-2.890689,-2.104499,5.414673,0.337015,-0.848334,0.702278,-2.156186,3.958283,9.062192,3.690934,1.070810,4.199972,-2.890394,-3.573367,-5.078949
0.112000,1.659794,0.028074,-3.639005,-1.873879,-1.037220,4.859444,-3.018838,-4.470097,-2.227149,7.009591,3.285506,-0.123391,-0.521098,-2.987896,3.379824,8.809381,2.711025,-1.261453,2.792148,-1.919660,-4.495156,-6.961074
0.116000,1.951327,0.255181,-4.246420,-1.405710,-0.535725,7.687699,-2.831412,-5.537294,-2.584878,6.310617,5.957786,0.271010,-1.651840,-3.129491,3.370056,8.509364,1.989044,-2.703562,2.031401,-1.282955,-4.774355,-7.649877
0.120000,3.180021,-0.295513,-3.690427,-0.083108,0.210122,6.596149,-2.326684,-5.540002,-2.013050,4.573562,7.976761,0.301152,-2.801713,-2.278008,4.099370,8.068781,1.697537,-3.344834,1.060617,-0.405677,-6.388261,-8.596981
0.124000,4.286721,0.237837,-3.420465,0.493760,1.131813,5.879962,-1.488358,-5.284437,-0.832813,3.379502,8.718651,0.338447,-3.244747,-1.582152,4.174255,7.006659,0.833374,-3.672997,-0.454091,0.527072,-7.679633,-9.348472
0.128000,4.370552,0.901813,-3.884864,0.365848,1.604990,7.935986,-1.393626,-5.242204,-0.414296,3.336915,7.989680,0.530539,-3.906276,-1.684841,3.703240,5.450454,-0.129744,-3.642890,-1.113723,1.014248,-6.942944,-8.849240
0.132000,4.028345,0.836771,-4.079301,0.393655,1.510446,9.610130,-2.373032,-4.363973,-1.139976,3.873522,6.657845,0.275097,-4.586936,-1.730125,3.543160,4.121884,-0.368738,-3.058319,-0.798158,0.809248,-5.435518,-7.726159
0.136000,4.192254,0.995583,-3.231920,0.756663,1.388498,7.643385,-3.329518,-2.839792,-1.020553,3.694121,5.176526,0.472809,-4.960494,-1.935502,3.843242,3.323064,-0.265495,-2.409520,-0.630536,0.573498,-4.677162,-6.759418
0.140000,4.759054,1.608068,-1.781410,0.858285,1.026307,3.967306,-3.767016,-1.536523,-0.136182,2.572461,3.772102,1.454215,-5.096425,-2.629444,3.647347,2.500117,-0.164396,-2.511381,-0.248805,0.214146,-3.216166,-5.291179
0.144000,4.983022,1.031899,-0.242519,0.977602,0.206012,1.801149,-4.922643,-0.392440,0.126332,2.070988,2.405203,1.742353,-5.145763,-3.251314,3.398274,1.832422,0.111393,-2.550018,0.892655,-0.362868,-1.016005,-3.695301
0.148000,5.118153,0.553293,1.479561,1.208147,-0.763179,2.502348,-5.961637,0.537770,-0.503056,2.929667,1.344657,1.427138,-5.534424,-4.158287,3.366258,1.991872,0.113536,-2.685498,1.458296,-1.468058,0.428896,-3.386397
0.152000,5.629900,1.585303,3.060231,1.078718,-1.496695,5.229594,-4.964916,0.650392,-0.581595,4.153006,1.040765,1.701993,-7.062889,-5.445397,2.455158,2.389971,-0.337658,-4.415126,1.453885,-2.453865,1.075820,-4.745877
0.156000,6.775388,2.333835,4.935503,1.968542,-2.158046,6.504915,-3.853090,0.368838,0.677181,3.879378,1.102897,2.206234,-8.738361,-5.809590,1.090950,2.466024,-0.993192,-6.469905,1.511229,-3.112879,1.534548,-6.219402
0.160000,8.138587,1.438957,6.933972,4.198158,-2.731705,4.351792,-4.016578,1.020743,2.362542,2.996211,1.315129,1.376561,-8.903491,-4.949815,0.824511,2.578792,-1.923802,-6.812619,1.169877,-3.819526,1.347590,-6.896876
0.164000,8.921222,1.200467,7.687616,6.004096,-2.280451,2.484101,-4.072603,1.438201,3.201726,3.368855,1.508906,0.355817,-8.643713,-4.368766,1.153896,2.696281,-2.771174,-6.783015,0.005343,-3.378173,0.047551,-7.776762
0.168000,8.412603,2.788049,6.933437,6.067799,-1.399410,3.873465,-3.201681,0.610325,3.263051,5.356115,2.250796,-0.063618,-9.589186,-4.560748,0.456598,2.518474,-3.357762,-7.732378,-0.381478,-2.372469,-0.978861,-8.893046
0.172000,7.173900,2.622191,5.832698,5.739171,-0.970536,5.915804,-3.541391,-0.382694,3.469620,6.459674,2.828437,-0.361462,-9.519710,-4.182524,-0.041549,1.925260,-3.531023,-7.376116,-0.642751,-1.815955,-1.142913,-8.458768
0.176000,6.229858,0.068184,4.776954,5.385264,-0.703347,4.508845,-4.422499,0.127893,3.402377,5.032446,3.006835,-1.291269,-7.073965,-2.575230,0.818000,1.348829,-3.658915,-4.513474,-1.672237,-1.420426,-1.158390,-6.215626
0.180000,5.730623,-2.233783,3.848692,5.376669,-0.575004,0.892067,-3.845450,1.084634,2.517468,2.590029,3.235677,-1.542112,-4.453020,-0.878005,1.631423,1.350927,-3.100906,-2.033187,-2.337637,-1.303455,-1.633214,-4.322172
0.184000,4.819113,-2.734611,3.116473,5.289709,-0.422912,-0.363052,-2.278809,1.100336,1.530889,0.830615,3.882832,-0.678721,-3.436057,0.062772,1.184285,1.238159,-2.274254,-1.434065,-2.241271,-1.038161,-2.325330,-3.828983
0.188000,3.126844,-3.128661,2.074655,5.260385,-0.329738,2.058560,-2.088836,0.563760,0.665884,0.095973,4.648098,-0.210241,-2.272087,0.618309,0.737688,0.947583,-2.282470,-0.730572,-2.561586,-0.818088,-2.730818,-3.643943
0.192000,1.272543,-4.051724,0.481130,4.990404,-0.638947,5.294109,-2.853821,-0.210513,-0.688645,-0.581175,5.938101,-0.276145,-0.232120,1.196169,1.069244,1.486250,-2.297832,0.605160,-2.347816,-1.247382,-3.238452,-3.668111
0.196000,-1.759152,-6.400847,-2.775555,3.156154,-3.055073,4.725852,-4.169372,-2.751536,-3.263757,-2.759548,6.175555,-0.906063,-0.363016,0.999085,0.616136,1.412294,-2.804040,-0.270442,-2.106562,-4.041408,-5.756194,26.098458
0.200000,-1.360014,-6.231736,-2.381325,4.476228,-2.340740,4.482778,-2.898641,-2.047110,-1.427773,-1.959959,9.057608,1.311168,2.241819,4.235995,3.475872,4.135522,-0.504489,1.602192,0.292405,-3.323908,-5.679430,-5.156742
0.204000,-2.035045,-7.705493,-3.123721,4.109681,-2.355356,2.393519,-4.394487,-2.595599,-0.582133,-2.771259,9.639555,0.433982,4.350255,5.936410,5.307297,5.059174,-0.467336,3.430168,0.346356,-3.083335,-6.910133,-4.982275
