Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,-0.485168,-0.039179,6.116913,6.050206,3.694672,2.565076,6.227954,3.100321,6.239529,-0.039087,3.767510,-5.304791,-6.406013,1.931737,3.186544,-0.911505,-8.392106,-0.585717,-0.909683,3.523501,-13.049561,-10.283516
0.004000,-6.745532,2.134790,2.923842,4.468442,-0.013554,7.141371,9.616471,0.945024,4.159911,3.399519,9.255321,-9.830058,-4.842303,0.238998,2.443656,2.685057,-8.439381,-2.793019,2.776933,0.642640,-8.616331,-11.549907
0.008000,-10.344935,3.683519,-1.430945,2.878648,-1.872475,8.684936,10.874907,-4.707145,1.599757,5.412935,11.858171,-11.507168,-3.043709,-0.839298,2.498129,6.631435,-6.477894,-3.498535,7.729393,-0.637106,-5.540328,-11.951292
0.012000,-7.541891,2.780093,-4.638291,4.885964,1.939114,4.208372,7.963616,-9.393760,4.458681,5.185039,9.126144,-10.748073,0.888494,0.497561,1.604453,6.767587,-6.270952,3.814682,9.246116,0.604207,-11.099166,-14.279324
0.016000,-7.648891,2.632595,-8.503357,4.025048,2.338942,3.319103,6.564627,-14.285585,7.068875,7.416267,8.021455,-8.718495,4.835669,1.840813,0.408411,7.347917,-5.419101,6.984768,10.436256,-0.857893,-12.090605,-15.718897
0.020000,-10.095853,3.806072,-12.110386,-0.871016,-2.015099,5.622740,7.195480,-20.618624,2.621170,10.493869,9.002906,-5.421985,5.936162,1.330790,0.502357,10.305510,-1.124167,4.199796,13.675689,-3.917837,-4.763559,-13.754367
0.024000,-6.829729,3.241567,-12.119170,-3.418968,-3.418103,3.458878,5.976267,-23.818950,-4.111467,10.009170,7.089744,-0.286780,5.515991,0.463465,0.847354,10.778671,3.127952,6.010935,14.804209,-4.186052,-1.498307,-11.636498
0.028000,-3.781112,2.302352,-10.095500,-4.346794,-4.551083,2.348237,5.613445,-22.607855,-7.460492,8.586670,5.227066,4.187881,5.545000,-0.239771,0.124203,8.828061,5.166150,6.762223,12.361430,-4.534405,0.339104,-9.773892
0.032000,-7.505933,4.226875,-10.436988,-8.484540,-10.433125,6.596628,9.387665,-21.269839,-9.977964,9.744300,6.803921,6.418108,4.564289,-2.716015,-2.330249,9.442766,8.322905,-0.592030,11.036607,-8.519201,10.824066,-5.102495
0.036000,-9.552084,6.593893,-10.825690,-12.053992,-14.602074,8.271657,12.539748,-19.707634,-13.286515,9.976229,7.285738,8.056153,2.500865,-7.014989,-6.652579,10.837310,12.382354,-5.561419,11.769881,-11.839182,20.749756,0.131743
0.040000,-6.770090,7.021745,-8.650493,-11.361692,-13.648576,6.016375,12.739136,-15.139638,-15.454440,7.948696,6.273848,9.816719,1.538870,-10.456584,-10.202811,9.380083,13.024587,-4.672027,11.018121,-11.718158,21.131079,2.163922
0.044000,-6.912171,7.768454,-7.349327,-10.630137,-13.068465,7.201815,13.935468,-9.673700,-17.087375,6.087883,8.660660,8.974169,1.840195,-12.772291,-10.940962,7.858823,10.018579,-7.101085,9.565658,-10.430234,20.841556,3.212934
0.048000,-8.075136,9.094852,-7.373484,-11.609707,-12.944270,8.975063,15.630816,-6.414065,-17.745994,5.070082,12.170721,6.543292,2.046070,-15.084446,-11.713850,7.797487,6.984919,-9.613005,9.668651,-9.498841,22.125342,3.966095
0.052000,-4.664299,7.930593,-4.876564,-10.310751,-9.607027,5.063641,13.706661,-4.138963,-13.951021,3.765900,10.819556,6.695999,2.128420,-15.446719,-13.294363,6.403617,5.795896,-5.918122,9.780447,-8.523289,16.461994,2.177452
0.056000,-1.492896,5.096137,-0.530561,-6.540567,-6.313051,0.748007,10.059920,-2.163966,-7.938819,2.239199,7.130576,8.825901,1.804635,-12.532196,-11.882007,3.825496,5.405204,-3.803153,7.406329,-7.474142,7.797494,0.331984
