Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,1.476609,-7.457798,-13.396280,-1.136368,-1.127018,-7.529931,-3.304236,-11.039351,3.091295,-2.500534,-7.516953,4.715038,17.137027,2.736017,2.148696,2.502407,4.848420,9.804762,0.628006,4.300756,-0.791426,2.411894,0.000000
0.004000,2.843660,-6.827166,-13.212559,-1.352158,1.524661,-6.949261,-3.107446,-12.753256,1.851576,-5.294937,-6.270248,2.632408,16.828166,2.974846,5.018359,1.985186,4.383861,12.962913,0.431092,6.011594,-5.734378,2.053940,0.000000
0.008000,3.317134,-4.786571,-12.592952,-1.191739,3.012064,-4.108539,-2.585877,-12.823941,0.307999,-6.345152,-4.997040,2.133210,15.472421,0.542557,4.582083,-0.459514,4.754253,11.971525,1.332190,4.417020,-5.258180,3.306237,0.000000
0.012000,3.740175,-4.029354,-12.167873,-0.787586,3.940707,-1.791271,-1.580679,-12.921679,-0.370597,-5.996622,-4.565569,0.334765,12.894030,-0.825998,4.072903,-0.323750,5.485968,9.564102,1.633382,5.646579,-5.348669,3.397078,0.000000
0.016000,3.746541,-3.953861,-12.501992,-1.095487,4.840648,-2.142302,-0.852708,-13.584901,-1.159450,-6.149297,-4.526875,-1.214498,10.441914,-1.102537,5.048784,0.270513,6.954280,11.099235,1.355473,7.290498,-6.506926,3.744217,0.000000
0.020000,3.147721,-4.271084,-12.842416,-1.265739,5.225346,-1.501322,-0.898238,-13.673913,0.050080,-5.688960,-4.854453,-0.711967,7.912156,-2.139559,4.664746,-0.866338,8.283783,11.058988,1.762429,6.310365,-4.852112,5.151159,0.000000
0.024000,2.775601,-4.370978,-12.044491,-0.613195,5.056375,0.758730,-1.278665,-12.964440,2.431731,-4.131373,-5.422679,-0.339444,4.724576,-3.027313,2.874866,-1.735889,7.944083,7.704530,2.284066,4.994284,-1.582072,5.961151,0.000000
0.028000,1.938332,-4.032404,-9.553454,-0.774132,4.495301,1.194039,-0.961474,-10.905834,1.579875,-3.685688,-5.070188,-0.091095,1.959333,-2.143487,2.062015,-2.655235,7.354666,7.685639,1.849616,2.943442,0.557988,6.252597,0.000000
0.032000,0.978164,-3.426174,-5.616065,-1.507402,3.659707,0.464142,-0.233502,-8.279126,0.378221,-4.376578,-5.133795,2.629908,-0.526911,-1.155174,1.349622,-4.595869,7.242363,8.415012,1.110507,0.277482,1.963958,6.381287,0.000000
0.036000,1.570618,-4.337426,-1.636349,-0.714622,3.217606,0.900225,0.265808,-6.242337,3.931993,-3.994121,-6.799780,5.205901,-4.042976,-0.463826,0.437461,-4.332796,5.424585,3.534457,0.478400,1.935595,0.949352,4.713179,0.000000
0.040000,3.171224,-5.986831,1.360821,0.772101,3.624987,1.522647,1.006932,-4.529304,8.316619,-3.105062,-8.789632,4.700870,-7.719443,1.204838,0.993713,-2.381827,2.104315,-1.131722,-0.656023,7.082304,-3.412209,1.850631,0.000000
