Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,1.883392,3.133587,8.633705,-0.491472,1.133654,-1.241668,4.383726,3.383904,-6.366775,-0.491377,-3.491529,-3.366935,-3.366850,-3.866155,-2.241542,-2.491488,0.383348,-1.991707,-2.241395,10.758910,-2.116980,0.069891,0.000000
0.004000,1.798483,4.048093,7.798616,0.423380,2.673130,-0.451543,4.673435,3.423067,-6.826837,-1.076812,-4.951972,-3.201261,-2.702012,-3.327008,-2.451651,-4.076516,-0.701463,-1.576816,-3.701808,13.922705,-3.701575,-0.013990,0.000000
0.008000,1.383536,4.758489,5.508665,1.258462,3.758400,0.258714,4.633737,3.133397,-6.616692,-1.366659,-5.741842,-2.616225,-1.741628,-2.491154,-2.616737,-5.116440,-1.491295,-1.241301,-4.616689,15.508767,-4.616900,0.069891,0.000000
0.012000,0.968589,5.344024,2.344001,2.218590,4.468706,0.843464,4.094016,2.468978,-5.781485,-1.656507,-6.031642,-1.531061,-0.656270,-1.531017,-2.656358,-5.656194,-2.031472,-0.781375,-5.031177,15.093925,-4.781265,0.282391,0.000000
0.016000,0.690235,5.440378,-1.309605,3.065170,4.690354,1.315257,2.940246,1.565530,-4.434619,-1.934876,-5.559899,-0.184960,0.315373,-0.559502,-2.434843,-5.684546,-2.184534,-0.559575,-4.934592,13.316269,-4.184827,0.629100,0.000000
0.020000,0.593513,5.344024,-4.531088,3.594103,4.468706,1.718592,1.468893,0.218462,-2.906094,-2.280971,-4.656179,1.219126,1.093926,0.218586,-2.031432,-5.156560,-1.906644,-0.406454,-4.406534,10.593973,-3.281313,1.031731,0.000000
0.024000,0.764069,4.764190,-6.860664,3.889471,4.014500,1.889168,-0.110573,-1.235967,-1.360907,-2.735544,-3.486082,2.514489,1.514446,0.763860,-1.485748,-4.235928,-1.486094,-0.360855,-3.485828,7.388528,-2.111074,1.451138,0.000000
0.028000,1.207073,3.957441,-7.542491,3.707651,3.457510,1.957626,-1.667234,-2.792355,-0.042526,-3.417404,-2.042527,3.332504,1.582562,0.957288,-0.792387,-3.167653,-0.792855,-0.542687,-2.417576,4.457978,-1.167207,1.769887,0.000000
0.032000,1.872317,2.872462,-6.503303,3.246990,2.996988,1.996990,-3.127606,-4.377777,0.622307,-4.127961,-0.627842,3.747724,1.247047,0.872390,-0.127840,-2.127729,-0.127851,-0.752665,-1.377960,2.372106,-0.502858,1.934854,0.000000
0.036000,2.479971,1.605038,-3.894866,2.355135,2.480193,1.854938,-4.019540,-5.645170,0.855026,-5.019889,0.480155,3.604831,0.605289,0.605442,0.605142,-1.145044,0.604768,-0.895090,-0.395130,1.230874,-0.269597,1.918078,0.000000
0.040000,2.894918,0.269768,-0.105194,1.269960,2.144850,1.644999,-4.354859,-6.355503,0.519653,-5.730446,1.144735,3.019795,0.019827,0.145066,1.269688,-0.480114,1.020117,-0.855121,0.395017,1.144240,-0.730213,1.708374,0.000000
0.044000,2.985734,-0.889329,3.985768,0.110764,1.985792,1.360896,-4.139478,-6.639097,-0.139268,-6.264225,1.485741,1.985368,-0.639382,-0.139387,1.860996,-0.014181,1.360421,-0.639513,0.860951,1.985586,-1.764629,1.297356,0.000000
