Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,2.315396,-2.184933,6.065229,2.065601,4.440117,-4.434756,-9.309887,5.315508,0.940274,-1.184759,-0.809750,1.940055,0.565514,0.065089,0.190199,-1.684487,-0.809855,1.315278,-1.934511,-0.933826,-3.434819,1.502721
0.004000,2.371954,-3.627703,7.372477,1.871956,5.372260,-7.753090,-14.127637,5.747561,1.372267,-0.377708,-0.502821,3.621989,0.872225,0.122128,0.872282,-1.877962,-1.002880,2.372204,-1.877938,-0.127265,-3.002620,2.309645
0.008000,2.036956,-4.838070,8.037065,1.411726,5.786822,-10.588059,-17.837923,5.661758,1.912132,0.536820,-0.087956,5.037184,1.161770,0.287134,1.286967,-1.713179,-1.213146,3.162069,-1.462940,0.537794,-2.088232,2.974613
0.012000,1.360869,-5.514077,7.985896,0.860482,5.361090,-12.514501,-20.139424,4.985962,2.360759,1.485722,0.360663,6.110806,1.610965,0.611034,1.610474,-1.389042,-1.264119,3.610753,-1.014315,0.861480,-0.764558,3.423448
0.016000,0.411564,-5.962769,7.162318,0.036845,4.412190,-13.588140,-20.838757,3.912283,2.912218,2.411870,0.786910,6.536847,2.036698,1.036789,1.786694,-0.838086,-1.087961,3.787285,-0.213198,0.787191,0.912166,3.599668
0.020000,-0.662170,-6.162094,5.713137,-0.912017,2.963087,-13.787100,-19.787509,2.338210,3.338162,3.338017,1.213157,6.463493,2.588321,1.713109,1.962913,-0.161895,-0.911802,3.713164,0.712932,0.337923,2.462876,3.525490
0.024000,-1.911669,-6.162094,3.963034,-1.911872,1.088250,-13.037080,-17.287002,0.587975,3.713194,3.963034,1.337969,5.838140,3.087871,2.337821,2.088283,0.713198,-0.536996,3.463078,1.713041,-0.286454,3.963596,3.275468
0.028000,-3.054142,-6.179057,1.946120,-2.929155,-0.803963,-11.429304,-13.803830,-1.304252,3.946077,4.446199,1.445905,4.696352,3.446082,3.071180,2.196119,1.445997,-0.053871,3.196017,2.696140,-0.928519,5.070650,2.883490
0.032000,-4.013889,-6.263876,0.110735,-3.764411,-2.514340,-9.389348,-9.888917,-3.014243,3.985899,4.735711,1.360734,3.361178,3.735627,3.611013,2.235571,2.110944,0.485849,2.986103,3.485783,-1.513983,5.736133,2.423359
0.036000,-4.593392,-6.343606,-1.468805,-4.344056,-3.843667,-7.093882,-6.094306,-4.343814,3.656233,4.656313,1.031433,1.905972,3.906149,3.906394,2.406530,2.531237,0.906381,2.906325,4.156348,-1.719161,5.905888,1.968877
0.040000,-4.866611,-6.491191,-2.616454,-4.616450,-4.616316,-4.741452,-2.741557,-5.366620,3.258518,4.383746,0.508632,0.508559,3.758516,4.008249,2.508229,2.758443,1.383509,2.883692,4.633457,-1.616572,5.508056,1.571251
0.044000,-4.565548,-6.690516,-3.440641,-4.690681,-4.815529,-2.690351,-0.315256,-5.690090,2.684880,3.809564,0.059621,-0.565063,3.434638,3.809971,2.559955,2.684776,1.684853,3.059658,4.684887,-1.064715,4.809248,1.247051
0.048000,-3.786787,-6.536993,-3.787250,-4.287253,-4.412138,-0.912097,1.212708,-5.661996,1.963043,3.088204,-0.411763,-1.411957,2.838382,3.338041,2.588010,2.338150,1.838149,3.212991,4.337934,-0.162640,3.587635,1.025646
0.052000,-2.639093,-6.139192,-3.764102,-3.639187,-3.764230,0.485987,1.986246,-5.014295,1.235662,2.110739,-0.889034,-1.763904,2.111087,2.610794,2.485434,1.736015,1.735827,3.360667,3.735811,0.861480,2.360814,0.798216
0.056000,-1.246894,-5.246897,-3.622169,-2.747128,-2.747065,1.378004,2.252712,-4.122093,0.502736,1.127947,-1.122174,-1.746862,1.378070,1.627550,2.253105,1.128063,1.377887,3.378207,2.752713,2.002339,0.877799,0.565515
0.060000,0.207084,-3.917784,-3.167739,-1.792457,-1.667840,1.957546,2.457340,-3.167626,-0.167685,0.207609,-1.417721,-1.542363,0.457364,0.582514,1.832283,0.457301,0.957355,3.207333,1.707503,2.957477,-0.417757,0.269931
0.064000,1.679335,-2.195959,-2.821130,-0.571201,-0.695978,2.179208,2.928434,-2.071167,-0.820967,-0.821175,-1.445981,-1.196344,-0.446175,-0.571167,1.428995,-0.320862,0.428879,2.928957,0.428882,3.679137,-1.570635,-0.133342
0.068000,3.008885,-0.116199,-2.366700,0.633272,0.008404,2.133390,4.008914,-1.116700,-1.366377,-1.616607,-1.491510,-0.741407,-1.366309,-1.616203,0.883679,-0.866390,-0.241649,2.258477,-0.741342,3.884315,-2.491271,-0.678947
0.072000,4.002567,2.002579,-1.996943,1.627963,0.503023,2.128024,5.877549,-0.497094,-1.746954,-2.372339,-1.372192,-0.496896,-2.246959,-2.496912,0.377816,-1.371982,-0.747262,1.503126,-1.747386,3.627842,-3.247359,-1.309651
0.076000,4.468953,3.968682,-1.656425,2.593607,0.593631,2.218835,8.344326,-0.030871,-2.031252,-2.906339,-1.281134,-0.406502,-2.906160,-3.156256,-0.031610,-1.656184,-1.281360,0.468832,-2.656109,2.968090,-3.656646,-1.968594
0.080000,4.594251,5.593813,-1.281185,3.219081,0.593631,2.218835,11.219236,0.218945,-2.406285,-3.156152,-1.156321,-0.530980,-3.531599,-3.780969,-0.405966,-1.781419,-1.656166,-0.406470,-3.156164,2.094315,-3.906593,-2.593650
0.084000,4.349746,6.724450,-0.900463,3.599271,0.349114,2.599418,14.349367,0.224261,-2.775772,-3.275733,-1.150434,-0.775490,-4.150743,-4.150364,-0.650569,-1.775603,-1.775729,-1.400591,-3.525666,0.974681,-3.775371,-3.088046
0.088000,3.696283,7.196043,-0.428977,3.821318,0.071085,2.946153,17.071368,0.196166,-3.179033,-3.303812,-1.053880,-1.179302,-4.554160,-4.428769,-0.929364,-1.553824,-1.803840,-2.179140,-3.429137,-0.054745,-3.553543,-3.366685
0.092000,2.787003,7.037432,0.161904,3.661883,-0.088410,3.536840,19.036695,0.161996,-3.463331,-3.087889,-0.963215,-1.588301,-4.837983,-4.588342,-1.213419,-1.463097,-1.587952,-2.838304,-3.213132,-0.963895,-3.088018,-3.400573
0.096000,1.769828,6.145136,0.769841,3.394653,-0.105166,4.019792,20.145283,0.269820,-3.854998,-2.730114,-0.980092,-1.855039,-4.980466,-4.605318,-1.479940,-1.354922,-1.230012,-3.354885,-2.730088,-1.605960,-2.479815,-3.167495
0.100000,0.763964,4.888968,1.514229,2.889239,-0.110751,4.639374,19.888936,0.514321,-4.236080,-2.360720,-0.860774,-1.986186,-4.985616,-4.610750,-1.735940,-1.110656,-0.860828,-3.735673,-2.235968,-1.860663,-1.736225,-2.673476
0.104000,-0.161848,3.338477,2.088054,2.212771,0.087841,5.213137,18.588088,0.837792,-4.412002,-1.911928,-0.661780,-2.037311,-4.911799,-4.411793,-2.162023,-1.036988,-0.411811,-3.912204,-1.786947,-1.786375,-0.787469,-1.974619
0.108000,-0.911896,1.713346,2.713047,1.587943,0.337944,5.588354,16.213505,1.338185,-4.412002,-1.536724,-0.411763,-1.786873,-4.661738,-4.161908,-2.537256,-0.911753,-0.037005,-4.161725,-1.286892,-1.411395,-0.036589,-1.224553
0.112000,-1.520113,0.355395,3.105343,0.855318,0.604802,5.855009,12.979935,1.729994,-4.269853,-1.145060,-0.020055,-1.394916,-4.145021,-3.770104,-2.894955,-0.769846,0.230232,-4.269794,-0.894840,-0.894913,0.729914,-0.457542
0.116000,-1.872513,-0.747252,3.252759,0.253082,0.752505,5.878125,9.127984,2.127878,-3.872137,-0.872009,0.502745,-0.872553,-3.497265,-3.247247,-3.122024,-0.622123,0.627901,-4.372205,-0.622262,-0.371355,1.377692,0.190482
0.120000,-2.025655,-1.400358,3.224738,-0.275570,0.724578,5.724571,5.224313,2.224312,-3.150805,-0.525369,0.974521,-0.400574,-2.775693,-2.525432,-3.150955,-0.275498,0.849411,-4.400495,-0.400719,-0.026445,1.724492,0.661909
