Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-3.356000,7.105003,-8.976497,-0.056437,-2.793861,9.886728,0.209780,-9.485975,-4.717223,8.040581,-1.239737,4.522746,-8.798436,-6.764367,3.136755,3.817135,-6.745328,-6.770175,4.801003,-0.768242,16.254926,2.698739,0.000000
0.004000,-3.969377,5.193352,-8.943568,-0.059703,-2.551915,8.012190,-0.708220,-10.673953,-3.704762,8.411600,-2.529980,4.355517,-6.990002,-5.206303,4.254957,3.523757,-6.592867,-4.716753,5.898747,-1.097803,15.126641,2.968638,0.000000
0.008000,-5.923450,3.360981,-8.107358,0.221139,-2.460037,5.620283,0.250152,-10.278362,-2.305851,7.790379,-2.197583,3.625957,-6.716786,-4.119420,5.384599,3.567290,-4.987481,-2.889694,6.112895,-1.584358,12.808530,2.826299,0.000000
0.012000,-6.071573,3.305485,-8.330880,0.425239,-2.687691,5.527896,1.137392,-10.718578,-2.389786,8.048293,-1.577560,3.559800,-6.448216,-4.309476,4.892704,3.858776,-4.662081,-3.022508,6.137387,-1.679052,12.387304,2.614736,0.000000
0.016000,-9.345452,1.381942,-6.905930,0.996719,-2.481475,4.500550,-1.434929,-9.845384,-0.958526,7.439925,-1.922168,1.097304,-3.708616,-2.002076,8.383153,3.901363,-4.797475,-0.274989,5.960291,-1.694627,9.731391,1.981602,0.000000
0.020000,-13.813804,-0.367185,-4.279553,1.496356,-1.715823,3.122131,-3.625631,-6.896546,1.034922,5.371473,-1.901139,-2.114967,-1.849070,0.433018,12.445573,3.476437,-4.085234,2.702356,4.910275,-1.515206,6.116779,1.055236,0.000000
0.024000,-14.459465,0.034173,-3.456315,1.444923,-1.505524,3.207128,-3.447799,-5.451676,1.323447,4.640574,-1.694917,-2.478829,-1.948506,0.518148,12.704390,2.791256,-3.968044,2.554529,4.184934,-1.391854,5.594349,0.804782,0.000000
0.028000,-12.932667,1.750596,-3.945268,0.481571,-1.483065,4.213225,-2.686484,-5.069353,0.415904,4.501763,-2.221325,-0.455539,-2.368554,-0.485586,11.398867,1.426572,-4.076132,1.478157,4.311790,-1.396215,6.553049,0.587774,0.000000
0.032000,-13.321962,2.512680,-3.094091,-0.632816,-1.167616,3.814112,-2.424061,-2.797120,0.507707,2.909724,-2.401769,0.726092,-2.720761,-0.519242,11.814976,-0.115085,-2.661891,1.964372,4.102666,-1.691512,5.381000,-0.185365,0.000000
0.036000,-12.742767,3.642427,-2.928445,-1.721078,-1.756658,3.403913,-1.262864,-2.026442,-0.321147,2.355338,-2.344787,2.095166,-3.455844,-1.183449,10.209169,-0.285434,-1.164593,0.841804,4.282274,-2.308894,6.782808,-0.111473,0.000000
0.040000,-10.627278,3.435307,-3.605995,-2.848527,-4.008696,1.757571,-1.085032,-3.997158,-1.635249,3.895109,-3.329767,4.237905,-2.275623,-1.009230,7.692499,0.653377,-0.321509,-0.281918,5.857299,-3.863252,10.226469,1.132238,0.000000
0.044000,-10.162023,1.167884,-2.531296,-3.398781,-5.250074,-1.234852,-2.781648,-3.687198,-0.805520,4.060482,-4.371052,4.949089,-0.004394,1.067529,8.476099,0.277663,0.502233,1.488551,6.557520,-5.164677,9.259563,1.584921,0.000000
0.048000,-10.663360,-1.193684,-0.687243,-3.122837,-5.024462,-3.436441,-4.933900,-1.606730,1.001698,3.038252,-4.228596,3.965928,1.418376,3.132409,10.669605,-0.436856,1.100697,3.807600,5.873627,-5.516043,5.664097,1.178907,0.000000
0.052000,-9.425210,-1.967660,-2.008415,-2.737496,-5.564502,-3.496493,-6.102787,-3.957357,0.718418,4.829940,-3.746281,4.118456,1.797534,3.101723,10.314983,1.077357,0.629662,3.383750,6.766644,-5.943414,6.596812,1.612145,0.000000
0.056000,-10.610187,-2.725780,-2.655031,-2.588095,-6.829360,-4.057284,-6.165269,-5.817115,0.317106,5.939569,-3.761883,3.870369,2.680377,3.452139,10.725372,2.674851,0.914103,3.798361,7.835500,-6.638670,7.701847,1.941156,0.000000
0.060000,-13.923946,-3.578045,-1.053459,-1.809249,-6.461847,-4.501666,-5.875931,-3.884993,1.553393,4.536038,-3.295849,1.692713,2.884824,4.383612,13.127648,2.462861,1.190580,5.475283,6.769156,-6.240579,5.215519,1.332135,0.000000
0.064000,-14.111947,-3.677146,-1.870710,-0.506274,-4.847851,-2.996678,-6.268123,-4.854672,2.178531,5.029587,-2.563898,0.066363,1.755715,3.866897,13.858340,2.979586,-0.314682,5.302048,6.287479,-5.041325,4.479741,1.248909,0.000000
0.068000,-13.580227,-3.217319,-4.826382,0.666077,-3.363507,-0.933670,-6.153734,-9.296623,1.838421,7.464774,-2.195547,-0.845128,0.616384,2.513737,13.034703,4.719038,-2.155585,3.887289,7.436720,-4.047657,6.589974,1.848598,0.000000
0.072000,-13.475782,-3.347141,-5.082833,1.367365,-2.349783,-0.850521,-5.196323,-10.101070,2.659407,8.054291,-2.721956,-1.363355,0.060657,2.438506,12.644333,3.966664,-3.444673,3.463439,7.254600,-3.401617,6.894953,2.530733,0.000000
0.076000,-10.443075,-3.440295,-4.912198,2.240913,-1.192117,-0.131748,-6.519972,-9.811614,3.676240,9.003688,-3.211054,-1.506694,-0.483917,2.524626,11.939379,2.376741,-6.397172,2.061384,6.033767,-2.528187,7.197196,3.526325,0.000000
0.080000,-6.552020,-3.200472,-7.611420,3.857386,1.473374,2.844046,-10.257335,-13.661385,3.979628,12.126931,-3.142540,-2.870255,-1.048007,1.765391,11.039956,3.187791,-10.745708,-0.356987,6.143039,-0.845493,9.284180,4.591918,0.000000
0.084000,-6.417191,-2.095500,-7.900800,3.873714,2.545287,3.738355,-10.482269,-13.872447,3.867716,12.305157,-2.721956,-3.631056,-1.153019,1.293220,9.980381,3.180220,-10.977812,-1.874532,5.866719,-0.387595,10.274335,4.588807,0.000000
0.088000,-6.648869,-1.533599,-7.281127,0.759963,-0.233520,1.171836,-8.982710,-11.574886,1.587491,9.035392,-3.964035,-2.892307,-2.989331,-0.730086,5.408907,-0.174708,-10.166586,-5.294206,3.237910,-2.726297,9.844903,34.147759,0.000000
0.092000,-3.171796,0.884456,-5.573782,1.805772,1.290638,3.063004,-7.710968,-9.529394,2.473177,10.403792,-2.677862,-1.054624,-1.266394,0.355808,4.819778,0.552114,-9.194935,-5.491695,4.001558,-1.115870,12.327129,4.809704,0.000000
0.096000,-7.831947,-0.409798,-4.358384,2.132332,1.131383,1.981149,-9.739218,-9.192901,3.172632,9.746583,-2.339360,-4.336727,0.816185,2.194007,7.558086,2.389990,-7.959322,-3.759337,4.213194,-1.470351,11.672040,4.388133,0.000000
0.100000,-12.514887,0.616885,-1.086389,-0.657308,-3.713665,-1.396530,-6.567074,-4.371039,1.554267,6.797282,-1.528718,-2.425536,1.548480,2.745368,7.546647,2.901037,-1.910966,-3.364360,4.269714,-4.736060,12.737414,3.553548,0.000000
0.104000,-12.731373,1.667351,0.045189,-3.443683,-9.547936,-4.381563,-3.021962,-2.358111,-0.833498,6.469963,-1.308251,2.517833,1.215787,2.173220,5.451805,3.287161,2.328345,-4.549292,5.370599,-8.459667,16.134575,3.975118,0.000000
0.108000,-12.372461,0.714994,-1.691094,-2.841995,-9.668398,-4.131193,-4.108181,-5.305742,-0.629782,8.596681,-1.559245,2.832077,1.634905,2.280126,6.354088,4.049945,0.976680,-4.139301,6.660512,-8.654663,16.622815,4.380355,0.000000
0.112000,-14.932316,-1.283866,-1.192162,-1.639438,-8.088092,-4.880454,-6.377706,-5.405846,1.558639,8.690079,-1.334707,0.182137,2.510313,3.918370,9.592871,4.123763,0.281506,-2.151709,6.518584,-8.212963,13.992887,4.130680,0.000000
0.116000,-12.835818,0.172914,-1.267002,-2.302355,-9.041584,-4.528459,-4.737804,-4.718387,0.651096,8.897438,-1.228883,2.234830,1.283627,2.745368,7.369336,3.311767,0.290608,-4.184342,6.156227,-8.634727,15.796774,4.569362,0.000000
0.120000,-9.242906,0.162013,-3.419394,-0.512805,-6.487368,-1.948082,-5.646191,-8.527151,1.095250,11.366899,-2.785043,1.253507,1.554985,2.237562,5.895082,2.536679,-4.693938,-5.365810,6.083379,-6.330913,16.967454,5.805295,0.000000
0.124000,-10.091760,-3.409574,-2.518323,2.649114,-0.559178,-1.415008,-10.414020,-9.437733,5.176571,10.847644,-4.711589,-5.139795,4.393091,5.406154,9.642918,1.090606,-9.271165,-1.516512,4.633955,-2.563074,11.390311,5.815407,0.000000
0.128000,-11.210272,-3.719759,0.202851,1.989462,-0.233520,-2.974505,-10.018943,-5.397403,5.709906,7.651568,-4.397508,-6.043935,5.012940,6.395039,9.870276,0.149902,-6.842038,-0.117922,3.197718,-2.500775,8.455404,4.821371,0.000000
0.132000,-10.101255,0.093633,-0.667286,-0.978970,-4.580384,-2.780491,-4.264866,-4.601398,1.416125,6.900105,-3.071312,-0.633794,2.806763,3.084895,5.227307,1.233510,-2.252295,-3.103351,4.318070,-4.869380,12.589711,4.232572,0.000000
0.136000,-10.952008,0.803194,-1.945550,-1.685973,-6.084125,-2.122694,-3.352634,-5.601229,-0.152404,7.080902,-2.310869,0.885970,2.167399,1.979204,5.567629,2.743937,-0.715176,-2.792682,5.533879,-5.692972,13.185992,3.458655,0.000000
0.140000,-12.571857,0.041110,-0.187314,-2.324398,-6.421012,-2.951408,-5.472203,-2.112073,0.130002,4.585735,-1.221421,0.410010,1.954587,2.821588,8.347405,3.219021,1.653650,-0.631854,4.839311,-6.232481,10.106118,2.017381,0.000000
0.144000,-11.707811,2.168801,-1.113331,-3.505729,-8.549525,-2.142095,-2.827789,-1.790052,-2.045304,4.567741,0.220097,3.256582,-0.418865,0.543884,6.404136,4.172975,3.611743,-2.617136,5.233067,-7.374420,12.247807,1.664258,0.000000
0.148000,-11.328010,3.059715,-4.125882,-1.997837,-7.416360,0.632294,-0.980255,-6.139135,-2.454486,7.125459,0.308962,2.887208,-1.787736,-1.273527,5.560479,4.954687,0.771883,-4.009952,6.006763,-6.061159,14.048959,2.218055,0.000000
0.152000,-12.296501,-1.230351,-3.596016,1.991911,-1.475919,1.140424,-6.262356,-7.609333,2.476674,7.672133,-1.143409,-3.801961,-0.192114,1.878237,10.405069,3.812403,-4.880532,-0.389324,4.473187,-2.394867,8.627724,2.795187,0.000000
0.156000,-12.359168,-4.308417,-2.076270,4.342328,1.831699,0.365295,-9.129782,-7.577975,5.664441,7.379088,-2.844061,-8.225265,1.183262,4.463792,12.467022,2.775168,-8.259692,1.813079,3.000526,-0.131547,5.788550,3.839002,0.000000
0.160000,-13.359942,-3.643452,-3.248760,4.806043,1.167113,0.666478,-5.469320,-10.845215,4.795368,8.893154,-4.146514,-8.519295,1.468559,3.763950,10.147682,3.480223,-9.229068,0.608514,3.966390,0.188047,9.326576,5.183051,0.000000
0.164000,-16.168567,-4.322291,-3.281689,5.226490,1.945016,-0.151150,-4.670516,-11.954798,5.735261,9.064525,-4.583379,-9.985766,2.327240,4.497448,11.051395,3.548363,-8.971933,1.563620,4.581831,0.336941,8.942276,5.269387,0.000000
0.168000,-14.884841,-5.235008,-1.812834,4.825637,3.258875,-1.474135,-6.596873,-9.286974,7.085210,7.501619,-4.552174,-9.893882,2.448050,5.541767,11.826415,1.934780,-8.211906,2.642301,3.712678,0.406716,6.010104,4.756813,0.000000
0.172000,-11.396374,-2.680193,-2.619108,2.974041,2.062416,-0.869923,-4.225455,-8.809371,4.867937,7.267697,-4.462631,-5.985129,1.095907,3.470947,8.029962,1.119944,-6.746465,0.214691,4.080058,-0.343363,8.296761,4.657254,0.000000
0.176000,-12.391451,-0.075829,-3.602003,2.004974,1.397830,0.841090,-2.535567,-9.118125,3.081703,7.295973,-3.632316,-4.891707,0.839418,1.842601,6.751608,1.485248,-5.629181,-1.477245,4.567387,-0.696598,10.115692,3.823446,0.000000
0.180000,-14.370212,-1.200621,-1.125306,2.260507,2.681063,0.313558,-6.942925,-5.209257,4.716679,5.160686,-2.167735,-7.817300,2.151600,3.747122,10.074756,1.397234,-4.725796,0.154636,2.845410,-0.507209,6.170116,2.393839,0.000000
0.184000,-11.975570,-1.094583,-0.949682,2.540532,3.267042,1.080373,-9.083642,-4.053843,4.923019,5.182965,-1.064719,-7.905508,1.319870,3.494704,9.923184,1.363165,-5.451689,-0.852441,1.785345,-0.229979,5.530071,2.251501,0.000000
0.188000,-11.252050,1.676270,-3.682830,2.065387,1.950120,3.217290,-5.433753,-6.838655,2.549242,7.012353,0.134623,-5.536734,-0.699516,0.502310,6.977536,2.604819,-5.077365,-3.936038,2.953426,-0.724010,9.226740,2.309836,0.000000
0.192000,-13.798612,3.867385,-4.902220,1.283276,0.746515,4.006278,-2.520187,-7.520084,1.187053,7.434784,1.848164,-4.393695,-2.375059,-1.392312,6.252564,3.791583,-2.929265,-5.724986,3.862142,-1.788698,11.347915,1.720260,0.000000
0.196000,-10.786795,6.348865,-6.525744,0.324822,-0.703120,5.403173,-1.618529,-8.326944,-0.720711,9.056813,2.934220,-1.438700,-4.663015,-3.710601,3.304056,4.315879,-2.853035,-9.580058,4.267830,-2.778005,15.437091,2.313725,0.000000
0.200000,-5.689873,9.145485,-10.184910,-0.035211,-1.808722,8.149847,0.099235,-12.688087,-3.178422,12.862114,2.455975,2.289961,-6.778120,-6.752489,-1.190201,4.631025,-5.498338,-14.325563,5.627451,-2.987330,21.829334,4.024898,0.000000
0.204000,-6.620384,9.158368,-10.532167,0.501981,-0.735788,8.505538,0.928799,-13.919483,-2.525305,13.383083,1.120960,1.558563,-6.392457,-6.529767,-1.014320,3.687481,-7.019529,-14.113061,5.862951,-2.198002,22.325779,4.567806,0.000000
0.208000,-8.266819,7.196176,-7.954685,1.280827,1.443769,7.217659,-1.544512,-11.275781,-0.138414,11.342907,0.254015,-1.644520,-4.415819,-4.015483,1.450872,2.206392,-7.553140,-11.527228,4.357634,-1.054194,18.459525,4.182015,0.000000
0.212000,-5.424013,4.621541,-7.423821,2.646664,2.851548,6.764038,-5.776921,-11.842633,1.296343,11.979551,-0.554592,-3.743155,-2.566496,-2.111952,2.182994,2.317118,-10.116524,-10.353845,3.600266,0.017971,16.736327,4.899152,0.000000
0.216000,-7.011579,1.791227,-7.118475,4.425601,4.218493,6.336285,-8.790458,-13.387607,3.009134,12.507375,-1.426286,-7.335827,-0.373329,0.061815,4.987079,3.307035,-12.124678,-7.743759,3.592102,1.117547,14.739606,5.217274,0.000000
0.220000,-12.940263,-0.714037,-4.511057,5.053413,4.470648,4.278820,-9.254745,-11.315581,4.596898,9.811704,-2.029349,-11.064487,1.493650,2.624603,9.168183,4.036696,-10.466956,-3.283516,3.161294,1.431533,11.056612,4.395911,0.000000
0.224000,-11.895812,-0.507908,-4.997017,4.279465,2.837256,3.985952,-7.782101,-12.048871,2.974161,9.607772,-2.441793,-9.451000,1.419306,2.007911,7.726817,5.057843,-9.239308,-3.079098,3.979578,0.891401,12.202676,4.471359,0.000000
0.228000,-7.446450,-1.618826,-7.936723,4.610924,2.077729,4.000734,-7.889762,-17.177074,2.052629,12.863827,-3.693369,-7.196163,2.142307,1.538709,5.511862,5.994762,-11.156441,-3.449823,6.046327,0.700144,14.241793,5.780406,0.000000
0.232000,-7.712310,-3.731651,-8.362811,5.655100,3.410985,3.127675,-8.369428,-18.995826,3.757551,13.660704,-5.286839,-7.958801,3.000059,2.779024,7.123389,5.107055,-12.917700,-1.265897,6.678096,1.418450,12.535007,6.345870,0.000000
0.236000,-6.578606,-5.169601,-8.272006,6.656007,4.558443,3.071318,-8.342513,-19.572326,4.904658,13.689837,-7.170648,-8.306123,2.953593,3.465997,7.965615,3.751835,-15.279700,0.424884,6.392983,2.650723,11.155081,7.049007,0.000000
0.240000,0.216023,-6.466829,-11.288548,7.865096,4.868787,4.302841,-9.772862,-24.382128,4.603018,17.319482,-8.591815,-6.271808,2.979614,2.863163,5.959429,3.731961,-19.613445,-0.290003,7.414740,3.489267,12.421494,8.643509,0.000000
0.244000,3.554469,-9.875890,-12.330317,9.620357,6.876838,3.478746,-13.236267,-27.066836,6.902477,19.387934,-9.573404,-7.060174,4.279716,4.522195,7.300699,3.117758,-22.820803,1.620210,7.785888,4.433095,9.632923,9.450871,0.000000
0.248000,1.613689,-12.045203,-10.297669,10.913535,9.667896,2.237985,-13.916836,-24.790985,9.985326,17.476287,-10.287040,-9.768920,4.586387,6.424736,10.242057,0.977987,-23.676402,4.614879,6.318879,5.892136,4.746426,9.083747,0.000000
0.252000,1.647871,-10.671669,-10.785624,10.969866,10.353920,3.220062,-10.437090,-24.988780,9.643467,17.064139,-10.619437,-9.050385,3.285356,5.091373,8.734915,-0.194582,-23.955154,3.939260,6.072075,6.700776,4.950201,9.027745,0.000000
0.256000,2.048560,-9.524083,-11.839369,10.078357,9.472910,3.222834,-8.525152,-26.169521,8.464011,17.656227,-10.453916,-7.236592,3.283498,4.097538,6.911759,-0.035589,-22.778706,2.891761,7.095716,5.973125,6.446374,8.919630,0.000000
0.260000,-1.335461,-9.933369,-9.287831,9.528920,10.664265,1.796374,-9.751714,-22.500661,9.837566,14.861160,-10.289753,-9.206588,4.362424,5.709056,9.129575,-1.057683,-20.677255,4.691103,6.130479,5.980601,3.559334,7.789478,0.000000
0.264000,-2.854663,-8.931461,-8.515484,10.207348,12.581458,3.316145,-9.491214,-20.819401,10.613087,13.654706,-10.012303,-11.097565,3.284427,5.378437,9.973231,-2.048546,-21.638666,4.358490,4.671007,7.363014,2.630722,7.376463,0.000000
0.268000,1.042089,-6.290430,-11.040080,9.950999,12.437515,6.015701,-6.859296,-22.987912,8.660733,15.281877,-9.850175,-8.195862,1.111705,2.477112,6.364098,-2.453597,-23.100693,1.219458,5.032735,7.841469,5.564261,7.779366,0.000000
0.272000,5.924423,-5.658167,-11.702661,9.215422,11.819889,6.189389,-6.862179,-23.126610,7.696359,15.933088,-10.297893,-5.316212,0.214923,1.547618,3.731604,-3.270326,-23.669575,-0.356987,5.066019,7.555517,6.935981,8.430390,0.000000
0.276000,9.937015,-5.809791,-10.837513,10.102849,13.105164,7.447704,-8.293489,-21.919336,8.066196,15.492664,-11.600347,-5.933674,-0.298985,1.685211,2.666309,-4.672865,-26.854178,-0.943679,3.180134,9.305494,6.821101,9.355201,0.000000
0.280000,12.770326,-3.262905,-12.513924,10.529827,11.883183,10.405020,-4.595538,-23.808039,5.758868,16.981024,-11.613914,-4.371643,-2.063741,-1.018139,-1.158743,-4.355827,-29.059166,-4.237468,2.753094,10.081739,10.651798,10.245011,0.000000
0.284000,13.227985,-0.099613,-12.973940,7.982657,7.532236,9.605870,2.353380,-23.473958,2.242356,16.669985,-10.818875,0.553350,-3.184486,-3.651209,-6.182073,-4.021754,-24.927943,-7.023099,3.823834,7.716249,14.530360,10.117450,0.000000
0.288000,13.693241,0.376070,-10.127034,5.700818,5.865156,6.731702,5.126603,-18.865570,1.500060,13.139735,-11.153985,2.934988,-2.738418,-3.258228,-8.182539,-5.746063,-20.669290,-6.198497,3.099750,6.460302,12.958968,9.352090,0.000000
0.292000,14.247749,1.226354,-9.031380,5.778376,7.310707,7.845893,5.436128,-16.580070,1.566508,11.205810,-10.972184,2.102517,-2.510738,-3.446304,-8.644405,-7.097498,-20.820613,-5.984839,1.525981,7.748644,10.727017,8.365832,0.000000
0.296000,14.502216,4.431268,-9.214987,3.657368,5.278156,8.774385,8.315089,-14.734786,-1.054701,10.005354,-9.450620,5.274359,-3.322024,-5.589385,-11.052401,-7.219581,-17.673556,-7.910066,1.649697,6.482107,11.903167,6.947892,0.000000
0.300000,15.713779,5.810749,-6.391033,0.205627,2.159399,6.198628,9.535884,-9.078324,-2.720279,6.621627,-9.626316,9.618643,-3.059030,-5.480499,-12.593861,-9.068814,-12.901772,-7.752999,1.249661,4.082352,11.536646,5.939078,0.000000
0.304000,20.841085,4.642352,-4.169788,-0.002555,3.825458,5.922390,6.181101,-5.569871,-1.742790,4.412650,-12.044673,10.144221,-2.167823,-3.957080,-12.552393,-12.249606,-14.994121,-6.062218,-0.685836,5.546377,8.562078,6.119529,0.000000
0.308000,24.285874,5.871200,-5.343276,-0.159304,4.259328,8.086100,5.718737,-5.995613,-2.880279,4.727974,-12.122007,11.687875,-2.804399,-5.257777,-13.870785,-12.792830,-16.368540,-7.010395,-0.915684,6.303309,8.780897,5.801406,0.000000
0.312000,23.180655,7.886907,-6.078701,-3.128552,-0.412172,6.188465,9.690646,-5.373282,-5.806625,4.537751,-9.802690,16.671673,-4.481800,-7.297910,-16.009954,-10.923724,-10.273536,-8.639966,1.112129,2.587801,11.438178,4.933375,0.000000
0.316000,22.162790,6.032734,-5.114765,-3.873926,-2.337533,3.324460,9.474363,-4.636374,-5.780395,3.772578,-9.697544,17.327726,-4.026439,-6.151634,-15.024735,-9.661249,-7.556554,-6.727443,1.934181,1.009769,10.625813,4.924819,0.000000
0.320000,21.177208,3.596841,-5.931017,-1.674543,0.089075,4.438650,5.755265,-7.052129,-4.240719,4.618296,-10.002128,13.494318,-2.648275,-4.741062,-11.853159,-8.240729,-10.276949,-4.249017,1.988189,2.820176,8.146323,4.787148,0.000000
0.324000,17.365911,4.293518,-7.304078,-2.522783,-0.977734,4.158717,6.779002,-8.213573,-5.275913,4.732258,-7.463700,13.771808,-3.299720,-5.727968,-10.885099,-5.500950,-6.405136,-4.145075,3.734658,1.262703,8.272143,3.349763,0.000000
0.328000,15.111795,4.860374,-6.169507,-5.166287,-3.868837,0.747779,9.448409,-5.688066,-6.428266,2.806901,-5.792218,16.588977,-4.171411,-6.064525,-11.724466,-4.529961,0.072158,-4.034205,4.887667,-1.753811,8.464977,2.401617,0.000000
