Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,0.809509,-2.440523,-6.315616,-2.940806,2.559524,0.434336,-2.190843,-2.190713,-1.690653,3.434432,0.684297,-0.440589,-2.815745,-0.190626,1.559453,0.434309,1.059468,2.809062,4.684423,2.746864,0.000000
0.004000,0.440786,-1.934276,-5.684306,-2.184423,1.065500,0.940601,-0.934283,-0.934376,-0.809234,3.440741,1.065683,0.315730,-1.809428,0.690516,1.690534,0.815637,1.315688,-4.558506,4.440828,2.628187,0.000000
0.008000,-0.009474,-0.884323,-4.509675,-1.384356,-1.009225,1.740718,0.615756,0.365498,0.115471,3.490721,1.865707,1.490592,-0.384438,1.490521,1.990405,1.490573,1.490733,-14.760407,3.990496,2.803080,0.000000
0.012000,-0.421853,0.452928,-3.046688,-0.672011,-3.546849,2.953275,2.328258,1.578298,1.078131,3.703258,2.703204,2.828193,1.328072,2.203223,2.453229,2.328135,1.828127,-26.671840,3.452823,3.140614,0.000000
0.016000,-0.859486,1.765466,-1.484578,0.015673,-6.109419,4.140795,4.015765,2.640795,1.890541,3.765692,3.640704,4.140721,3.015714,2.890611,3.015711,3.265635,2.015870,-38.360013,3.015312,3.578087,0.000000
0.020000,-1.322013,2.803061,-0.071947,0.677992,-8.447122,5.178086,5.428336,3.553332,2.553017,3.803218,4.428088,5.303287,4.428100,3.428059,3.428258,4.053127,2.428089,-48.198320,2.552961,3.990576,0.000000
0.024000,-1.822063,3.552972,0.803196,1.053188,-10.197196,6.053317,6.428101,4.303126,3.053010,3.678187,4.928103,5.928209,5.303262,3.928183,3.803096,4.553220,2.678413,-54.572914,2.302955,4.240663,0.000000
0.028000,-2.178158,3.697008,1.197036,1.321991,-11.178428,6.321857,6.946931,4.822108,3.321827,3.321856,5.072010,6.197031,5.822091,4.071957,4.071992,4.697019,2.946877,-57.054285,2.322186,4.259402,0.000000
0.032000,-2.422049,3.328231,1.202867,1.327980,-11.296925,6.328186,6.828411,5.078144,3.453256,2.828201,4.953159,6.078170,5.703199,4.078124,4.078277,4.453281,3.078388,-55.423427,2.327795,4.015801,0.000000
0.036000,-2.672074,2.703047,0.828109,1.203267,-10.671874,5.828250,6.328125,4.953063,3.453256,2.203206,4.578204,5.578137,5.328130,3.953173,3.953032,3.953188,3.203096,-50.547862,2.327795,3.515625,0.000000
0.040000,-2.703102,1.921858,0.422077,0.921781,-9.578381,5.172033,5.671827,4.796885,3.297047,1.421963,4.046924,4.796985,4.672014,3.671792,3.546770,3.296878,3.171806,-43.703360,2.296544,2.859536,0.000000
0.044000,-2.690835,1.184304,0.184606,0.809399,-8.440886,4.434373,4.809530,4.434427,3.184439,0.684392,3.559327,4.059472,4.059503,3.309275,3.059255,2.684429,3.059341,-36.565431,2.059359,2.122005,0.000000
0.048000,-2.659446,0.840627,0.215350,0.715687,-7.284334,3.715698,4.215718,3.965546,3.090651,0.090614,3.090577,3.340764,3.465729,2.840631,2.590595,2.215579,2.715599,-30.284393,1.715601,1.403214,0.000000
0.052000,-2.540748,0.834448,0.709374,0.709346,-6.415707,3.209434,3.834356,3.459349,2.959536,-0.540688,2.834472,2.834462,3.334574,2.334340,1.959430,1.959423,2.459379,-25.791559,1.084175,0.771868,0.000000
0.056000,-2.302990,1.197047,1.571794,0.946794,-6.053289,2.822032,3.696888,3.072013,2.946989,-0.928075,2.821833,2.447020,3.321969,1.946832,1.321980,1.821833,2.072102,-23.178358,0.197134,0.259441,0.000000
0.060000,-2.172025,1.828022,2.578393,1.203267,-5.796893,2.703170,3.703338,2.578254,2.953262,-1.046960,2.828263,2.328160,3.453124,1.578148,0.702936,1.953215,1.578256,-22.047176,-0.797281,-0.109324,0.000000
