Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,2.653160,2.153320,0.528235,-1.346822,0.278192,1.903129,1.278205,-1.971842,-0.721917,0.653175,0.653074,0.403124,0.028031,-0.596960,0.528171,0.403217,-0.471820,-7.096782,-0.346750,1.090608,0.000000
0.004000,3.678171,2.678116,0.428036,-2.071800,0.928173,3.553171,0.928120,-2.821946,-1.322014,1.678082,1.178178,0.428162,-0.821864,-1.321830,0.928177,0.553067,-0.446810,-10.696564,0.552918,1.990645,0.000000
0.008000,4.534368,3.034419,0.284418,-2.590665,1.659316,4.909366,0.534274,-3.340756,-1.840598,2.534346,1.534330,0.409316,-1.590751,-1.965672,1.159380,0.659443,-0.465690,-13.716193,1.534418,2.721910,0.000000
0.012000,5.184498,3.184310,0.184219,-2.940719,2.184345,5.809369,0.184460,-3.690616,-2.190772,3.309352,1.809334,0.309432,-2.315678,-2.440617,1.434406,0.684450,-0.440680,-15.940586,2.434579,3.247033,0.000000
0.016000,5.359521,3.234393,0.234319,-2.890604,2.609413,6.484427,-0.265650,-3.640695,-2.390569,3.734497,1.859354,0.109393,-2.765785,-2.765608,1.484362,0.609429,-0.390660,-17.266450,3.109453,3.546964,0.000000
0.020000,5.265801,3.015817,0.140800,-2.734605,3.015680,6.640694,-0.609484,-3.484331,-2.484495,4.015675,1.765754,0.015701,-3.109447,-2.734389,1.390582,0.390714,-0.234469,-17.484361,3.640873,3.578227,0.000000
0.024000,4.978135,2.478143,-0.021904,-2.522086,3.228213,6.478122,-0.896782,-3.021837,-2.271815,3.978111,1.728185,-0.146915,-3.272017,-2.646871,1.228091,0.228168,-0.021884,-17.021653,4.103278,3.415561,0.000000
0.028000,4.296962,1.797017,-0.203216,-2.078206,3.296994,5.921953,-1.078076,-2.453107,-2.078107,3.671944,1.671939,-0.203184,-3.203174,-2.328195,1.046844,0.171806,0.171822,-15.828801,4.297015,3.109524,0.000000
0.032000,3.534486,1.034328,-0.465642,-1.840817,3.159432,5.284499,-1.215610,-1.965653,-1.840598,3.159412,1.534330,-0.215568,-2.840710,-1.840622,0.909421,0.284337,0.534469,-14.215691,4.284690,2.721910,0.000000
0.036000,2.746880,0.121749,-0.878366,-1.628298,2.996879,4.496856,-1.378150,-1.503160,-1.503073,2.621889,1.496976,-0.128068,-2.503130,-1.378129,0.871909,0.371862,0.996911,-12.379009,4.246732,2.309383,0.000000
0.040000,1.884475,-0.740748,-1.365523,-1.490763,2.759355,3.759426,-1.365647,-1.240558,-1.365580,2.009397,1.509427,0.009239,-2.115784,-0.865651,0.884353,0.634436,1.384323,-10.491388,4.259549,1.946925,0.000000
0.044000,1.096869,-1.528121,-1.778247,-1.403343,2.471850,2.972008,-1.403156,-1.028084,-1.153134,1.596825,1.596802,0.221932,-1.778203,-0.528209,0.971821,0.846804,1.847010,-8.777812,4.096869,1.659451,0.000000
0.048000,0.353018,-2.147000,-2.272084,-1.396938,2.103184,2.353243,-1.521935,-0.896886,-1.021966,1.103154,1.728185,0.478239,-1.396939,-0.146920,1.103112,1.228065,2.228046,-7.146307,3.853343,1.415696,0.000000
0.052000,-0.240643,-2.490783,-2.490613,-1.365663,1.759508,1.634502,-1.490677,-0.865737,-0.865734,0.759422,1.759313,0.634393,-1.115761,0.134399,1.134312,1.384455,2.509533,-5.615267,3.634465,1.196854,0.000000
0.056000,-0.690619,-2.690756,-2.690534,-1.190824,1.309450,1.059419,-1.565695,-0.815609,-0.690531,0.434394,1.809334,0.684470,-0.940750,0.309435,1.184448,1.559312,2.559308,-3.941312,3.309598,0.996819,0.000000
0.060000,-0.996910,-2.746920,-2.621826,-0.872044,0.878192,0.378056,-1.496929,-0.621907,-0.496823,0.128070,1.628145,0.753124,-0.871907,0.503061,1.128180,1.503143,2.503157,-2.247547,2.878251,0.690537,0.000000
0.064000,-1.365583,-2.615632,-2.240593,-0.240514,0.509296,-0.365678,-1.490677,-0.365699,-0.115731,-0.115701,1.259327,0.634393,-0.740579,0.634425,0.759374,1.384455,2.134381,-0.241064,2.259575,0.321974,0.000000
0.068000,-1.603284,-2.478262,-1.728148,0.397044,0.021868,-1.103108,-1.478174,0.271930,0.271919,-0.353186,0.771791,0.396932,-0.728138,0.771927,0.396880,0.896818,1.646929,2.147471,1.646815,-0.165536,0.000000
0.072000,-1.853107,-2.228206,-1.103098,1.271992,-0.478171,-1.978117,-1.353144,0.896977,0.771999,-0.728194,0.146862,0.146816,-0.603170,0.896802,-0.228197,0.396869,1.021921,4.896833,0.897010,-0.790554,0.000000
0.076000,-2.009504,-2.009273,-0.384529,2.115665,-1.009390,-2.759455,-1.134340,1.615677,1.240693,-1.134322,-0.509411,-0.134261,-0.509443,0.990634,-1.009453,-0.259470,0.240723,7.865521,0.240869,-1.446836,0.000000
0.080000,-2.309292,-1.684450,0.315432,2.815774,-1.559410,-3.559482,-0.934291,2.440615,1.690648,-1.684417,-1.184361,-0.559376,-0.184305,1.190574,-1.684486,-0.934468,-0.434305,10.940335,-0.559219,-2.121925,0.000000
0.084000,-2.559410,-1.559243,0.940482,3.315798,-1.934496,-4.309521,-0.559472,3.190670,2.065650,-2.184376,-1.684348,-0.809491,0.065632,1.315624,-2.309382,-1.559452,-1.184364,13.940154,-1.434239,-2.746944,0.000000
