Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-0.490863,-0.115744,0.634411,0.884528,1.206078,-0.490737,0.509305,-0.990792,2.134261,1.384485,-0.115563,1.259342,1.384408,0.509290,1.134549,2.009502,-0.115499,-18.739006,-1.490657,-0.052883,0.000000
0.004000,-1.571772,-0.571752,0.553356,1.052903,1.267861,-1.071953,0.053168,-1.071877,2.553100,1.302984,-0.071873,1.178013,1.678285,0.303386,1.052985,2.428096,-0.446653,-16.944078,-2.196576,-0.259496,0.000000
0.008000,-2.509573,-0.759190,0.365679,0.990823,1.110313,-1.759352,-0.509513,-1.009401,2.740600,0.990565,-0.009561,0.865608,1.865609,-0.134471,0.865740,2.615697,-0.759209,-12.506159,-3.009554,-0.571801,0.000000
0.012000,-3.259493,-0.634231,0.115442,0.740716,0.785949,-2.259368,-0.884264,-0.884450,2.490713,0.490764,-0.009561,0.615597,1.740583,-0.509068,0.490810,2.615697,-1.259299,-6.009836,-3.509720,-0.946841,0.000000
0.016000,-3.659238,-0.409491,-0.159275,0.340545,0.375775,-2.534525,-1.159500,-0.784312,2.090758,-0.034462,-0.034271,0.340629,1.590637,-1.034992,-0.159506,2.465616,-1.659164,1.968537,-4.034141,-1.347111,0.000000
0.020000,-3.690418,0.184531,-0.315401,-0.315539,-0.252015,-2.690678,-1.315615,-0.690820,1.309397,-0.815684,-0.065785,0.059206,1.309221,-1.440599,-0.815522,2.184379,-2.065745,10.556199,-4.190547,-1.752836,0.000000
0.024000,-3.403401,0.847094,-0.528102,-1.028343,-0.875342,-2.528279,-1.153211,-0.528206,0.346944,-1.528292,-0.028183,-0.028147,0.846924,-1.652705,-1.528107,1.721740,-2.403099,18.600441,-4.278369,-2.090372,0.000000
0.028000,-2.615905,1.634616,-0.490567,-1.615648,-1.449586,-2.115708,-0.865767,-0.365592,-0.740622,-2.240552,0.009419,-0.115500,0.384198,-1.740773,-2.240692,1.134469,-2.615431,24.882690,-3.990649,-2.303122,0.000000
0.032000,-1.722076,2.278062,-0.346952,-2.097103,-1.869715,-1.596954,-0.346739,-0.096636,-1.596849,-2.721893,0.028041,-0.096997,-0.097003,-1.722167,-2.846718,0.528274,-2.596832,28.653686,-3.472082,-2.409497,0.000000
0.036000,-0.515648,2.734536,-0.015661,-2.265479,-2.086987,-0.890487,0.109399,0.109401,-2.265575,-3.015853,0.109333,-0.015668,-0.515476,-1.515022,-3.140522,-0.015604,-2.515723,29.238272,-2.765326,-2.328352,0.000000
0.040000,0.578053,2.953214,0.453262,-2.172135,-2.130235,-0.046936,0.703154,0.453239,-2.671937,-3.171888,0.328142,0.078139,-0.796893,-1.296714,-3.297072,-0.546758,-2.172169,26.578815,-2.046861,-2.109465,0.000000
0.044000,1.702934,2.828255,1.202884,-1.671922,-1.835390,0.703253,1.078275,0.828093,-2.671937,-2.921814,0.453124,0.203360,-0.921919,-1.047396,-3.047119,-1.046917,-1.797102,20.700013,-1.171989,-1.734425,0.000000
0.048000,2.703094,2.453378,1.953051,-0.922048,-1.384370,1.328192,1.453025,1.328341,-2.422050,-2.547050,0.578107,0.328150,-0.921919,-0.922117,-2.671751,-1.421792,-1.297012,12.581668,-0.421741,-1.234599,0.000000
0.052000,3.372267,1.746986,2.622163,0.121702,-0.691021,1.871931,1.621718,1.747061,-1.752986,-1.878327,0.746779,0.372041,-0.878095,-0.753424,-2.127994,-1.753274,-0.753010,3.121244,0.372000,-0.690450,0.000000
0.056000,3.690463,0.940813,3.315754,1.315515,0.066514,2.190811,1.565487,2.190594,-0.934529,-1.184527,0.815537,0.315671,-0.684326,-0.809242,-1.309289,-1.934349,-0.184209,-6.684993,0.940750,-0.121754,0.000000
0.060000,3.721643,-0.153046,3.722117,2.471813,0.827138,2.346963,1.346852,2.471956,-0.028056,-0.403305,0.846693,0.097073,-0.527936,-0.778232,-0.528296,-2.028312,0.346878,-15.404392,1.471863,0.409439,0.000000
0.064000,3.372267,-1.128006,3.871715,3.496804,1.516368,2.371947,0.871848,2.496769,0.746898,0.371996,0.871761,-0.127979,-0.377990,-0.878703,0.246997,-2.003190,0.871765,-22.131256,1.747037,0.934495,0.000000
0.068000,1.178469,-3.696662,2.053146,2.553097,0.404607,0.553018,-1.196864,0.803280,-0.197008,-0.571879,-0.696785,-1.946902,-1.947049,-2.446553,-0.571709,-3.571856,-0.446653,-27.820684,0.303415,31.740948,0.000000
0.072000,2.009138,-2.865777,3.009486,4.384237,2.293469,1.884423,-0.240566,2.009370,1.759262,1.634559,0.759313,-0.615521,-0.240504,-0.615741,1.509478,-1.740549,1.384254,-27.112593,1.884206,1.696849,0.000000
0.076000,0.996985,-3.503162,2.121689,4.122071,2.324360,1.496836,-0.753304,1.246813,1.871896,2.121821,0.621797,-0.878011,-0.252964,-0.377587,1.997105,-1.378073,1.496878,-24.881283,1.747037,1.934146,0.000000
0.080000,0.034401,-3.715779,0.909672,3.409267,2.046677,1.034297,-1.340771,0.409373,1.534329,2.284474,0.409434,-1.090584,-0.340611,0.159501,2.159355,-1.090636,1.409569,-19.587068,1.534592,2.097118,0.000000
0.084000,-1.015328,-3.640710,-0.390472,2.234211,1.558930,0.734484,-1.765834,-0.765702,0.984308,2.359357,0.234316,-1.140500,-0.515476,0.733801,2.109365,-0.765679,1.234434,-12.143880,1.359785,2.172126,0.000000
0.088000,-1.897164,-3.396854,-1.896789,0.728211,0.894414,0.478065,-2.021833,-1.896911,0.228239,2.353088,0.103245,-1.146955,-0.646947,1.228715,1.978249,-0.397004,1.103212,-3.268042,1.103011,2.165307,0.000000
0.092000,-2.484789,-2.984209,-3.109350,-0.859521,0.090198,0.140776,-2.234549,-2.984253,-0.609440,2.015592,-0.109475,-1.109518,-0.734165,1.765803,1.640593,-0.109241,0.765858,6.389989,0.890566,2.078025,0.000000
0.096000,-3.034037,-2.284344,-4.159257,-2.409290,-0.711959,-0.034443,-2.159451,-3.784474,-1.534461,1.590674,-0.284236,-1.034213,-0.784433,2.216064,1.090697,0.090757,0.465701,15.842180,0.715759,1.903461,0.000000
