Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000000,0.416150,1.665833,-0.708968,-2.959158,-0.833947,0.791399,3.165854,-0.209185,1.166108,4.541358,0.791407,-2.583938,-0.548220,0.040942,0.540747,-1.584049,-2.084212,-1.458944,-0.708857,2.915828,-1.334055,-1.021820
0.004000,0.911493,5.036299,-1.588790,-1.838887,-0.838852,5.036503,5.536054,-2.088481,3.286253,11.661524,3.911647,-5.463873,-2.449924,-1.088978,-1.588159,-2.338991,-5.213866,-5.838521,-2.588621,2.286471,-0.588507,-4.151397
0.008000,1.144567,7.644240,-2.355681,-0.605853,-0.730942,8.644258,7.394333,-3.855758,5.144658,17.770082,6.643955,-7.730938,-4.092091,-1.980836,-3.355872,-2.855750,-7.730801,-9.605962,-4.230990,1.644181,0.018877,-6.918615
0.012000,1.140540,9.265112,-3.109629,0.765520,-0.359386,11.515711,8.390478,-5.484394,6.515609,22.140525,8.765309,-9.359719,-5.261837,-2.484535,-4.484664,-2.984824,-9.359514,-12.234798,-5.484474,0.765668,0.390754,-9.047003
0.016000,1.002105,9.877557,-3.872637,2.002429,0.251901,13.377361,8.377077,-6.622751,7.252550,24.502510,10.002357,-10.122792,-5.860359,-2.622415,-5.122591,-2.872465,-9.998004,-13.623008,-6.122763,0.001818,0.627158,-10.435627
0.020000,0.781113,9.531794,-4.343450,3.156412,1.031186,14.281451,7.406841,-7.343559,7.156480,24.656800,10.406658,-10.093794,-5.972404,-2.593443,-5.093775,-2.343634,-9.718505,-13.718800,-6.218829,-0.593916,0.656316,-11.031200
0.024000,0.436789,8.562042,-4.688389,4.186783,2.061853,14.312182,5.561516,-7.688378,6.561683,23.062242,9.936883,-9.438567,-5.606935,-2.188529,-4.688364,-1.563620,-8.688718,-12.813446,-5.938481,-1.062917,0.561664,-10.875724
0.028000,0.173008,7.297900,-4.827530,5.047814,3.297305,13.672374,3.297632,-7.577659,5.422573,19.797994,8.672418,-8.452632,-4.934667,-1.702632,-3.827858,-0.702819,-7.202659,-11.202889,-5.202741,-1.327592,0.422155,-10.140349
0.032000,0.059240,5.934475,-4.690655,5.684481,4.308965,12.684083,0.683979,-7.315636,4.059465,15.809923,7.059305,-7.191052,-4.182541,-1.315869,-2.940524,0.184446,-5.440731,-9.190862,-4.190809,-1.315522,0.309111,-9.003119
0.036000,-0.012746,4.987812,-4.262555,5.862345,5.112162,11.487439,-1.762606,-6.637687,2.487553,11.363005,5.112275,-5.887767,-3.297592,-0.887917,-2.262851,0.862316,-3.762653,-7.012950,-3.012607,-1.137922,0.362493,-7.700382
0.040000,0.199185,4.449253,-3.675899,5.824370,5.449382,10.198604,-3.676276,-5.925970,0.949217,7.198506,3.199209,-4.801153,-2.616972,-0.676035,-1.550897,1.449183,-2.426144,-5.176153,-1.926316,-0.675819,0.573776,-6.363792
0.044000,0.454911,4.454448,-2.795106,5.455467,5.454900,8.955250,-4.919894,-5.045091,-0.420018,3.704835,1.579958,-3.795016,-2.116642,-0.670101,-1.295031,1.705009,-1.544817,-3.794952,-0.919926,-0.294756,0.955073,-5.107448
0.048000,0.826923,4.826186,-1.798471,4.826550,4.701367,7.701447,-5.423327,-4.173303,-1.423356,1.076532,0.326133,-3.173349,-1.796194,-0.798207,-1.173308,1.701759,-1.048254,-2.798479,-0.173101,0.200970,1.576363,-3.985891
0.052000,1.065030,5.314526,-0.810249,3.939943,3.564628,6.565035,-5.060158,-3.060272,-2.060551,-0.685733,-0.560220,-2.560154,-1.547251,-1.060354,-1.309936,1.439897,-1.060232,-2.185175,0.314622,0.564791,2.190027,-2.997867
0.056000,1.244240,5.744565,0.243983,2.744109,1.993796,5.369006,-3.880866,-2.006010,-2.255876,-1.630929,-1.005852,-2.005931,-1.436632,-1.381144,-1.630886,0.994175,-1.255881,-1.881053,0.618986,0.744114,2.744029,-2.068774
0.060000,1.335858,5.836345,1.335752,1.461475,0.085744,3.960937,-2.288821,-0.789079,-2.164218,-2.164237,-1.163808,-1.414240,-1.242490,-1.538921,-2.039279,0.461166,-1.539009,-1.664158,0.711358,0.585482,3.335712,-1.101439
0.064000,1.035833,5.285664,2.285791,0.285791,-1.838863,2.285513,-0.338968,0.535649,-1.964482,-2.338652,-1.214141,-0.589260,-0.938543,-1.589186,-2.214162,-0.089023,-1.714331,-1.339399,0.660554,0.035441,3.785643,-0.026901
0.068000,0.586802,3.961490,2.961432,-0.788754,-3.663530,0.461968,1.586317,1.836350,-1.538786,-2.664004,-1.038589,0.461188,-0.501365,-1.413956,-2.413887,-0.538923,-1.538646,-0.913785,0.586194,-0.663749,4.086643,1.149198
0.072000,-0.155207,2.094717,3.594683,-1.655211,-5.155882,-1.530594,3.219905,3.094841,-1.030500,-3.030276,-0.905595,1.719509,0.076174,-1.155649,-2.280240,-0.905251,-1.280201,-0.155235,0.594508,-1.781074,4.219873,2.407424
0.076000,-1.070889,-0.321005,3.928945,-2.321328,-6.070668,-3.571096,4.428680,4.303980,-0.570984,-3.571634,-0.820888,3.053748,0.805687,-0.696281,-2.071573,-1.071004,-0.446062,0.803856,0.554326,-3.071687,4.053897,3.741506
0.080000,-1.969454,-2.969353,4.155453,-2.594518,-6.594892,-5.470238,4.905758,5.280642,-0.094803,-4.345098,-0.844623,4.405255,1.547830,-0.219459,-1.594121,-1.219578,0.405500,1.905468,0.780637,-4.345058,3.905415,4.967759
0.084000,-2.931448,-5.556513,4.193959,-2.680931,-6.555651,-7.180695,4.819098,6.068985,0.318883,-5.181621,-0.806157,5.568763,2.238432,0.194181,-1.056554,-1.055683,1.568866,2.943996,1.069299,-5.430484,3.443821,6.006562
0.088000,-3.709199,-7.834854,4.040581,-2.459279,-6.084770,-8.585076,3.915420,6.540757,0.665420,-5.709562,-0.709173,6.540688,2.835528,0.540802,-0.459367,-0.709319,2.540576,3.915938,1.415692,-6.459871,3.040544,6.728146
0.092000,-4.144135,-9.519222,3.855815,-2.144239,-5.269923,-9.644662,2.605690,6.605695,0.980586,-6.144929,-0.769328,6.980872,3.219536,0.855657,0.105526,-0.269633,3.605573,4.605564,1.855382,-7.019395,2.605865,7.043486
0.096000,-4.327875,-10.577291,3.547764,-1.577322,-4.327547,-10.202112,1.047595,6.297566,1.172480,-6.077847,-0.702626,7.172781,3.312635,0.922677,0.547703,0.172839,4.297784,4.922536,2.297842,-7.203030,2.297687,6.985182
0.100000,-4.289617,-10.914395,3.210591,-1.039469,-3.414600,-10.414767,-0.789243,5.710529,1.335455,-5.789391,-0.664569,6.835556,3.268632,0.960376,0.960567,0.710027,4.835365,5.085305,2.835446,-6.914215,1.960352,6.523143
0.104000,-3.754001,-10.504559,2.871152,-0.503940,-2.628571,-10.254354,-2.504131,4.996215,1.496224,-5.129296,-0.754187,6.121030,3.021319,0.871016,1.245746,1.120927,4.996167,4.871135,3.246038,-6.253821,1.620773,5.808456
0.108000,-3.038169,-9.662953,2.462144,-0.037774,-1.913051,-9.913246,-4.038105,4.212093,1.461914,-4.412852,-0.912961,5.212314,2.734892,0.836808,1.336665,1.462183,4.962046,4.587263,3.462188,-5.037351,1.336819,4.899424
0.112000,-2.043454,-8.293755,2.206190,0.331517,-1.418871,-9.419100,-5.168707,3.331214,1.331044,-3.794349,-1.293528,4.081388,2.356385,0.706258,1.331200,1.581042,4.706505,4.331427,3.581347,-3.543274,1.081126,4.018604
0.116000,-0.961651,-6.712135,1.788121,0.663219,-0.962091,-8.837066,-5.836526,2.663006,1.037934,-3.336844,-1.711743,3.038434,2.011695,0.662974,1.287976,1.537863,4.163117,3.913212,3.538394,-1.961260,0.788200,3.225552
0.120000,0.159417,-4.966004,1.409529,0.909283,-0.590536,-8.216311,-5.965623,2.034410,0.659293,-3.216095,-2.465511,2.034253,1.714063,0.659483,1.034594,1.284359,3.659294,3.659713,3.159670,-0.090431,0.534749,2.596753
0.124000,1.362538,-3.262010,1.112803,0.987946,-0.137434,-7.387203,-5.637297,1.612640,0.112775,-3.262382,-3.137027,1.237620,1.444952,0.613058,0.612787,0.862780,2.987773,3.362601,2.612830,1.612283,0.112631,2.175464
0.128000,2.485116,-1.514724,0.609956,0.985234,0.359812,-6.389693,-4.889965,1.235028,-0.515107,-3.640058,-3.889977,0.610088,1.252439,0.609916,0.235198,0.235054,2.235306,3.235267,1.860000,3.234817,-0.264629,1.922816
0.132000,3.538225,0.287399,0.162764,0.913158,1.037931,-5.212102,-3.837089,1.037942,-1.086868,-4.087500,-4.462056,0.037946,1.016127,0.413044,-0.211947,-0.461851,1.413145,2.912844,0.913190,4.662510,-0.712316,1.725336
0.136000,4.451893,1.951563,-0.173762,0.826745,1.950877,-3.673736,-2.548354,0.701565,-1.673823,-4.548359,-4.673618,-0.298628,0.706884,0.201512,-0.798700,-1.298508,0.451599,2.451406,-0.173563,5.952261,-1.298616,1.514065
0.140000,5.071073,3.695963,-0.678551,0.571381,3.071061,-1.803481,-1.178320,0.321355,-2.178677,-4.679171,-4.553719,-0.553746,0.314727,-0.054003,-1.178773,-2.053914,-0.553869,1.696360,-1.428433,6.947163,-1.928878,1.134152
0.144000,5.571450,5.446712,-1.178487,0.446992,4.197376,0.446603,0.071551,-0.178340,-2.553152,-4.303507,-4.053253,-0.803325,-0.194363,-0.553165,-1.678085,-2.803285,-1.553165,0.821769,-2.553520,7.572209,-2.678463,0.509115
0.148000,5.797476,6.922121,-1.702691,0.297416,5.421791,2.797482,1.297301,-0.952721,-2.702648,-3.577671,-3.078101,-1.202782,-0.804701,-1.077808,-1.952831,-3.327937,-2.577871,-0.202741,-3.577460,8.047245,-3.452720,-0.389886
0.152000,5.871979,8.372132,-2.252782,0.121878,6.497217,5.247314,2.372065,-2.003088,-2.627900,-2.503005,-1.753073,-1.502863,-1.502230,-1.502967,-2.002514,-3.627871,-3.502756,-1.377949,-4.503025,8.247260,-4.502857,-1.565358
0.156000,5.637899,9.388063,-2.737185,-0.111787,7.513169,7.638143,3.138159,-3.112223,-2.487227,-0.987605,-0.237352,-1.987034,-2.207907,-1.987119,-1.737208,-3.862339,-4.237437,-2.487349,-5.112216,8.387787,-5.487052,-2.924518
0.160000,5.209004,10.083629,-3.291482,-0.291201,8.208455,9.708760,3.834120,-4.291490,-2.166179,0.584144,1.208803,-2.416466,-2.821504,-2.166189,-1.291056,-3.665943,-4.791352,-3.541064,-5.541283,8.333473,-6.541226,-4.353892
0.164000,4.492668,10.118263,-3.757442,-0.382651,8.618024,11.368205,4.242852,-5.382442,-1.757393,2.116986,2.492909,-3.007506,-3.282110,-2.257643,-0.507062,-3.257364,-4.882461,-4.257559,-5.632269,8.117078,-7.507478,-5.694870
0.168000,3.618265,9.743639,-4.257054,-0.382264,8.618024,12.492939,4.618529,-6.382157,-1.381938,3.368080,3.492614,-3.382201,-3.541646,-2.007016,0.367851,-2.756855,-4.756868,-4.632161,-5.382404,7.742912,-8.381769,-6.819562
0.172000,2.617510,8.742716,-4.632410,-0.507427,8.242790,12.867851,4.867342,-7.007507,-1.007463,4.117394,3.992671,-3.757547,-3.530442,-1.632470,1.492172,-2.007485,-4.132534,-4.507553,-4.882673,7.242875,-9.007545,-7.569983
0.176000,1.563897,7.314063,-5.060833,-0.560515,7.438980,12.688999,4.939260,-7.311090,-0.685925,4.564166,4.064283,-4.061212,-3.283740,-0.935739,2.689030,-1.061254,-3.185870,-4.185909,-4.185728,6.439366,-9.310788,-7.873412
0.180000,0.498707,5.624500,-5.251424,-0.750779,6.248900,11.874028,4.874042,-7.126018,-0.626126,4.499095,3.874000,-4.251166,-2.790132,-0.126259,3.748763,-0.125702,-2.126318,-3.500956,-3.251388,5.499641,-9.125971,-7.688471
0.184000,-0.748210,3.627272,-5.247864,-0.998006,4.752256,10.502221,4.752092,-6.623076,-0.497952,4.002012,3.127188,-4.247908,-2.105030,0.752334,4.752355,1.002068,-0.872932,-2.498252,-2.248231,4.377144,-8.497953,-7.060299
0.188000,-1.806857,1.568280,-5.057274,-1.306846,2.817839,8.693426,4.317898,-5.807134,-0.557015,3.318438,2.442986,-4.057302,-1.365128,1.568097,5.568146,2.068087,0.443250,-1.432076,-1.057098,2.942554,-7.306960,-5.994537
0.192000,-2.698375,-0.573256,-4.573194,-1.822612,0.676799,6.552129,3.676881,-4.572995,-0.573190,2.677127,1.551722,-3.697922,-0.529274,2.427143,6.052056,3.052390,1.677035,-0.448063,0.176988,1.301915,-5.698335,-4.635378
0.196000,-3.545091,-2.419826,-3.795301,-2.420141,-1.545175,4.204322,2.704858,-3.170342,-0.545252,1.955316,0.830282,-3.170091,0.261150,3.079892,6.329783,3.954977,2.829874,0.454565,1.329787,-0.544775,-3.670284,-3.107578
0.200000,-4.181889,-4.181543,-2.681205,-3.181584,-3.931466,1.693645,1.443819,-1.681322,-0.431292,1.568920,0.318767,-2.431454,0.996366,3.568582,6.318853,4.694133,3.693778,1.318643,2.568491,-2.556132,-1.431398,-1.493890
0.204000,-4.617832,-5.742383,-1.367783,-3.867464,-6.242956,-0.867431,0.007673,-0.117623,-0.242584,1.257655,0.007357,-1.617552,1.656615,3.882390,6.132542,5.382217,4.382723,2.007491,3.632152,-4.617492,0.882851,0.069645
0.208000,-4.924905,-7.050394,0.199653,-4.425469,-8.425077,-3.425434,-1.675053,1.449646,0.075034,1.199964,-0.175561,-0.675277,2.241692,4.074724,5.699806,5.700258,4.824838,2.574846,4.699969,-6.675404,3.199791,1.512184
0.212000,-5.035653,-8.160414,1.839570,-4.785459,-10.285918,-5.785532,-3.285859,2.839312,0.464458,1.339496,-0.160420,0.339656,2.685592,4.089385,5.089701,5.964441,4.964587,2.964245,5.464344,-8.535025,5.214385,2.776679
0.216000,-4.872552,-9.122662,3.377559,-4.872259,-11.747614,-7.997510,-4.747467,4.002670,1.002643,1.503178,-0.122364,1.377723,3.009503,4.002468,4.252547,5.877618,5.002701,3.252401,6.127573,-10.123075,7.002444,3.814856
0.220000,-4.695859,-9.821115,4.803912,-4.571170,-12.571657,-9.821669,-5.821338,4.929005,1.428829,1.803709,0.054007,2.304033,3.182052,3.803851,3.304103,5.554005,4.803785,3.303802,6.429167,-11.446449,8.428943,4.616684
0.224000,-4.278038,-10.278284,5.847467,-3.902727,-12.777668,-11.278293,-6.527574,5.597213,1.972160,1.972087,0.097383,3.097408,3.270669,3.472240,2.222509,4.972245,4.472380,3.347025,6.472582,-12.277546,9.347196,5.159596
0.228000,-3.977510,-10.352170,6.647687,-2.976983,-12.352770,-12.101869,-6.727249,6.022879,2.397856,2.147844,0.148125,3.647720,3.209146,3.022995,1.022670,4.148123,3.897775,3.148042,6.273059,-12.602570,9.897610,5.460516
0.232000,-3.554152,-10.054894,6.946031,-1.554460,-11.304323,-12.304690,-6.304223,6.070933,2.695867,2.320918,0.070784,3.945847,2.952666,2.445643,-0.304357,3.195392,3.195763,2.695949,5.695736,-12.429281,10.071212,5.508162
0.236000,-3.150930,-9.401466,6.724377,-0.150537,-9.776409,-11.776126,-5.400992,5.849171,2.974028,2.473866,-0.025790,3.973867,2.607976,1.723779,-1.776457,2.098730,2.224053,2.223997,4.974313,-11.650775,9.974318,5.286860
0.240000,-2.827748,-8.203129,6.172021,1.422337,-7.702813,-10.578253,-4.077861,5.422206,3.047060,2.672431,-0.077760,3.672157,2.073421,0.797014,-3.328050,0.922209,1.047257,1.422223,3.922199,-10.453272,9.797127,4.859929
0.244000,-2.474363,-6.599574,5.400923,3.026211,-5.349017,-8.848743,-2.598832,4.776077,2.900995,3.025958,-0.099039,3.026053,1.391375,-0.348962,-4.848839,-0.224132,-0.223916,0.525825,2.775866,-8.848842,9.401475,4.213576
