Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,0.786606,-0.837967,-0.337760,1.787159,2.411835,-1.588055,-4.337969,-1.337774,-0.087756,-1.337537,1.412199,0.537235,-0.215805,-0.088103,0.912107,2.287178,2.037106,0.287178,0.787258,2.661068,-4.087818,-1.650161,0.000000
0.004000,-2.995521,-7.495730,3.004327,0.629691,-2.870769,-5.871105,-3.870228,1.754193,0.504132,-3.745376,4.254498,5.879495,1.345907,0.504637,1.004060,3.254540,4.504389,2.379244,2.004463,-2.996450,-2.370737,1.191886,0.000000
0.008000,-6.142953,-12.893263,5.732520,-0.267829,-7.517800,-9.393325,-3.017885,4.357483,0.982247,-5.392362,6.732208,10.357468,2.560325,0.857199,0.982308,4.107410,6.482176,3.982509,2.857194,-8.017202,-0.892427,3.544511,0.000000
0.012000,-8.602531,-16.603163,7.647582,-0.977433,-10.977246,-11.727417,-1.977727,6.147639,1.397583,-6.477753,8.647624,13.648039,3.338306,1.022454,1.022847,4.522888,7.897597,5.022613,3.397457,-11.852006,0.272928,5.209931,0.000000
0.016000,-9.806539,-18.431836,8.568421,-1.307179,-13.056660,-12.807304,-0.806578,7.068376,1.568378,-6.931889,9.693202,15.443581,3.629633,0.943301,0.818176,4.568058,8.568476,5.443141,3.568519,-14.057017,1.193617,6.130824,0.000000
0.020000,-10.081362,-18.331554,8.543960,-1.456169,-13.831503,-12.581384,0.293393,7.168693,1.543704,-6.706171,9.918545,15.793900,3.521906,0.668381,0.543304,4.293905,8.543526,5.418781,3.543591,-14.831080,1.668701,6.356324,0.000000
0.024000,0.324139,3.574443,2.449219,-4.300849,-8.425835,-0.175895,2.449072,2.949396,-1.300865,-1.175538,1.574120,3.949602,-0.244783,-1.300774,-5.425768,0.199056,-1.175907,-0.676000,1.574229,-7.676331,9.449359,3.387040,1.000000
0.028000,0.485205,3.735860,3.735001,-4.514715,-9.014817,-0.139395,3.360631,4.110166,-1.014928,-2.639466,1.235397,4.360609,-0.003890,-1.264822,-6.264721,-0.639503,-1.389765,-1.015115,0.735252,-8.515490,10.610784,4.047790,0.000000
0.032000,0.696770,3.696712,4.947006,-4.052980,-8.928217,-0.053181,4.196824,5.071956,-0.677999,-3.928435,0.946986,4.697116,0.177720,-1.303190,-7.053247,-1.677974,-1.803223,-1.427951,-0.427798,-8.677641,11.072111,4.509497,0.000000
0.036000,1.159769,3.534760,6.034732,-3.340244,-8.090070,0.284756,4.784791,5.659625,-0.215509,-5.090505,0.659638,4.659866,0.209131,-1.590195,-7.590632,-2.840328,-2.090743,-1.840467,-1.715490,-8.214860,10.909983,4.722399,0.000000
0.040000,1.628083,3.127733,6.753176,-2.246756,-6.747009,0.753588,5.128121,6.003288,0.128273,-5.871878,0.503032,4.378188,0.247399,-1.746990,-7.746854,-3.997315,-2.497072,-2.246892,-2.996736,-7.372150,10.128331,4.690904,0.000000
0.044000,2.021977,2.646700,7.271592,-1.228434,-4.978038,1.271506,5.271673,6.021828,0.521677,-6.353014,0.271666,3.896865,0.232136,-1.978407,-7.728562,-4.978540,-2.728355,-2.478311,-4.228124,-6.104535,8.896651,4.459106,0.000000
0.048000,2.140517,2.015513,7.265674,-0.234272,-3.109299,1.765511,5.265094,5.765571,0.765670,-6.359494,0.140570,3.265705,0.235676,-1.984751,-7.234188,-5.734808,-2.859442,-2.609406,-5.109222,-4.733948,7.265548,4.078025,0.000000
0.052000,1.966693,1.216475,6.841157,0.341554,-1.283608,2.090861,5.091634,5.341456,0.966347,-6.033337,0.091320,2.466291,0.269962,-1.908619,-6.409078,-6.034006,-2.658653,-2.533762,-5.533438,-3.408337,5.466421,3.654111,0.000000
0.056000,1.390470,0.140185,6.265139,0.515152,0.265065,2.265179,4.640042,4.640227,1.015145,-5.235224,0.139861,1.640091,0.369726,-1.609832,-5.359522,-5.860033,-2.234898,-2.110028,-5.484871,-2.359684,3.765553,3.202483,0.000000
