Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,1.878038,1.127929,-1.621844,-2.621835,2.628075,2.253234,-0.246759,-0.996917,0.128013,1.253000,1.878050,0.003053,-0.121894,1.378097,2.378027,0.253164,1.003010,-12.371717,0.878393,0.940354,0.000000
0.004000,3.109425,2.734618,-1.515480,-3.515971,2.109340,3.609538,1.109280,-0.890605,-0.265647,0.609232,2.734480,-0.515680,0.234311,0.859501,1.984429,0.359332,0.609471,-14.890277,0.609498,0.922224,0.000000
0.008000,4.303192,4.553218,-1.071824,-4.071885,1.428256,4.678266,2.553216,-0.571945,-0.697070,-0.321966,3.303247,-0.696972,0.553052,0.053262,1.303261,0.303106,0.053113,-16.071006,-0.196692,0.615393,0.000000
0.012000,5.490576,6.365585,-0.134460,-4.134610,0.740834,5.240783,4.115759,-0.259312,-1.134508,-1.384279,3.615585,-0.759265,0.990626,-1.009426,0.240767,-0.009447,-0.884286,-15.884446,-1.259374,0.053336,0.000000
0.016000,6.546962,8.172164,1.172049,-3.828366,0.047074,5.547037,5.297064,0.046745,-1.578295,-2.453290,3.421936,-0.578253,1.296782,-2.078112,-1.078149,-0.327953,-1.953088,-14.328142,-2.703073,-0.640520,0.000000
0.020000,7.246965,9.497048,2.496759,-3.003104,-0.628160,5.372074,6.246980,0.246764,-1.878052,-3.503161,2.996844,-0.378245,1.496983,-3.128202,-2.628316,-0.628269,-3.002975,-11.627931,-3.878373,-1.315547,0.000000
0.024000,7.603348,10.228495,3.603054,-2.021645,-1.146896,4.978202,6.603331,0.228132,-2.272047,-4.146929,2.478051,-0.146952,1.603230,-4.022023,-3.896891,-0.896833,-3.896796,-8.147114,-4.896900,-1.834369,0.000000
0.028000,7.522062,10.147025,4.522217,-0.853241,-1.603227,4.521981,6.397092,0.271972,-2.478234,-4.603117,1.896790,-0.103096,1.646841,-4.728082,-5.103170,-0.978196,-4.603139,-4.477282,-5.353328,-2.040782,0.000000
0.032000,6.915774,9.165827,4.915819,0.165730,-1.834318,3.790818,5.540632,0.165660,-2.459520,-4.459561,1.415790,-0.209245,1.415614,-5.084411,-5.709456,-0.959344,-4.709546,-0.959644,-5.209454,-1.897130,0.000000
0.036000,5.853342,7.478114,4.728119,1.228362,-1.896722,3.228301,4.103315,-0.021755,-2.272047,-3.896823,0.978205,-0.521826,0.978041,-5.147098,-5.896974,-0.646791,-4.522066,1.728293,-4.146772,-1.334375,0.000000
0.040000,4.234333,4.984607,3.984712,2.109585,-1.890871,2.609477,2.359420,-0.140670,-2.015733,-2.890657,0.859516,-1.140563,0.359291,-4.640800,-5.515646,-0.265443,-3.765730,3.608622,-2.390519,-0.452935,0.000000
0.044000,2.465517,2.090429,2.715743,2.590475,-1.784589,2.090631,0.340717,-0.159302,-1.534518,-1.534534,0.715528,-1.784442,-0.409317,-3.784471,-4.534325,0.215789,-2.534444,4.214942,-0.034462,0.653050,0.000000
0.048000,0.496843,-1.003193,1.121996,2.872122,-1.753387,1.747023,-1.628214,-0.128066,-1.003176,-0.003272,0.872010,-2.503183,-1.128168,-2.753277,-3.253165,0.746964,-1.128178,3.996471,2.621746,1.809242,0.000000
0.052000,-1.334450,-3.709501,-0.584372,2.915783,-1.584213,1.290527,-3.334515,0.040717,-0.459470,1.540749,0.915737,-3.084489,-1.834432,-1.459336,-1.709291,1.040665,0.290587,3.041578,5.165832,2.853163,0.000000
0.056000,-2.809360,-6.059657,-2.184376,2.690712,-1.684645,0.940602,-4.684465,0.190594,0.065522,2.815524,0.940724,-3.434501,-2.434450,-0.184291,-0.059387,1.315513,1.690773,1.941856,7.315505,3.627910,0.000000
